Employer Name,Review Link,Job Title,Review Date,Review City Name,Review State Name,Current Job,Overall Satisfaction,Career Opportunities,Compensation & Benefits,Senior Leadership,Work-Life Balance,Culture & Values,Business Outlook,Recommend to Friend,CEO Approval,Pros,Cons,Advice to Sr. Management,Headline
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9821436.htm, ,3/6/2016, , ,Yes,3,2,4,3,5,4, , ,Approve,"Good Work Life balance, Free transport, Limited working hours, Good Pay","Monotonous work, No growth and learning", ,Research Associate
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9815925.htm,Senior Manager - Technology,3/6/2016,New York,New York State,Yes,3,3,3,3,4,3,Staying the Same, ,No Opinion,"Overall reasonable people with positive outlook. Because of its mid size, does not have the high level of politics and negative practices that large companies sometimes have","Does not have the high energy, focus and ""big picture"" vision that most mid-size companies have. The matrix layers disconnected to the Nth degree",cut down the processes and apply common sense. Make the change a ground up rather than top down one.,Matrixed Organization that is lost in translation
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9815078.htm,JRA,3/6/2016,Hyderābād,Andhra Pradesh,Yes,4,4,4,3,3,3, , ,No Rating,"Good package, Management Friendly Process, Great allowances for night shift employees","Promotions are Less, Have to prove hard.", ,Its a great platform to start your career.
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9811383.htm, ,3/5/2016, , ,Yes,2,1,2,3,4,5, , ,No Rating,Great work life balance. Have made good friends over the years.  Great place to start your career if just out of college.,"Contstant turmoil last year and half.  Out with the old, in with the new.  No career or growth prospects.", ,More than four in over a decade of service
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9804558.htm,Research Associate,3/4/2016,Hyderābād,Andhra Pradesh,Yes,3,4,3,3,3,4,Getting Better,Yes,Approve,"good work life balance, pay structure average, good career growth","Repetitive work, additional benefits not much", ,Work life balance
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9786039.htm, ,3/3/2016, , ,Yes,4,0,0,0,0,0, , ,No Rating,amazing work life balance coupled with great facilities for sports makes it to the place to be.,slow progress and needs greater enthusiasm to keep innovating otherwise might lose out on crucial clients due to competition, ,Great firm to begin with
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9773187.htm, ,3/2/2016,Hyderābād,Andhra Pradesh,No,3,2,4,1,4,1,Getting Worse,No,No Rating,"Good Work life balance, Cafetaria, Doable work targets and Modest salary",Very slow pace of growth and no equality and level playing field for all employees,Immediate revamp of middle management is very essential to held bright people,Good Work LIfe Balance
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9764806.htm,Research Associate,3/1/2016,Gurgaon,Haryana,Yes,3,3,4,4,4,4,Staying the Same,Yes,Approve,"The benefits are endless when it comes to working in this company. Some of these are flexible timings, transport facilities, salaries better than competitiors.
There are numerous portals and platforms that help you grow personally. Internal job portals are also one of the best.","If you are a fresher, then this job is worth only 1-2 years of your career. Beyond this, your work becomes monotonous and boring. There is very little growth if you stay in your current position.",We could have more transparency and better job rotations.,A company growing exponentially can provide employee growth if you are willing to work hard and smart.
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9752349.htm, ,3/1/2016, , ,Yes,4,1,0,0,0,0,Getting Better,Yes,No Rating,"Good work culture, nice people and relatively less stress",Need to cover long distance for attending work costly canteen,Nothing apart from nothing but nothing and something but nothing,Cool company
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW9722055.htm,Quality Engineer,2/27/2016,Gurgaon,Haryana,Yes,4,5,3,1,5,1,Getting Better,Yes,No Opinion,"Transport,  benefits,  flexi plan, good initial packages,  nice location,  best gender ratio in industry.","Less opportunity to grow,  monotonous work and too many changes.","I know its growing with big names and mergers,  why not let the good old capital iq be alive in there somewhere.",Nice work place but less growth opportunities
