,Pros,answer_re,answer_re_oth,answer_re_n
0,Innovation is welcome! Your experience and ideas are welcome. You’re expected to work hard but work/life balance is strongly encouraged. The benefits are great and will continue to improve.,Innovation is welcome! Your experience and ideas are welcome. You’re expected to work hard but work/life balance is strongly encouraged. The benefits are great and will continue to improve.,innovation is welcome your experience and ideas are welcome you re expected to work hard but work life balance is strongly encouraged the benefits are great and will continue to improve ,"great, work, balance, benefits"
1,"Strong, talent people, great resume builder. Most managers are flexible with work arrangements and remote working","Strong, talent people, great resume builder. Most managers are flexible with work arrangements and remote working",strong talent people great resume builder most managers are flexible with work arrangements and remote working,"work, flexible, great, working"
2,Competitive compensation. Leaders in Manila are reasonable and rational.,Competitive compensation. Leaders in Manila are reasonable and rational.,competitive compensation leaders in manila are reasonable and rational ,
3,"People are nice, great exposure to capital markets","People are nice, great exposure to capital markets",people are nice great exposure to capital markets,great
4,"Bus facility, good for internship","Bus facility, good for internship",bus facility good for internship,
5,Good atmosphere Great team leader friendly staff less pressure and great place,Good atmosphere Great team leader friendly staff less pressure and great place,good atmosphere great team leader friendly staff less pressure and great place,"pressure, friendly, place, great"
6,reliable sources disclosed its an exclusive organization which provides with resourceful working environment n the careers?,reliable sources disclosed its an exclusive organization which provides with resourceful working environment n the careers?,reliable sources disclosed its an exclusive organization which provides with resourceful working environment n the careers ,"environment, working"
7,"Brand Name, Huge Data, Started changing &amp; adopting new technology","Brand Name, Huge Data, Started changing &amp; adopting new technology",brand name huge data started changing amp adopting new technology,
8,great vision and outlook in the next 10 years,great vision and outlook in the next years,great vision and outlook in the next years,great
9,Good visibility and learning opportunities,Good visibility and learning opportunities,good visibility and learning opportunities,
10,The benefits are quite good,The benefits are quite good,the benefits are quite good,benefits
11,Generally good people here trying there best.,Generally good people here trying there best.,generally good people here trying there best ,people
12,"Interesting work, supportive work environment, some travel but not excessive, manageable hours.","Interesting work, supportive work environment, some travel but not excessive, manageable hours.",interesting work supportive work environment some travel but not excessive manageable hours ,work
13,A very good working culture,A very good working culture,a very good working culture,"culture, working"
14,"Nothing pros, you get paid for your work.","Nothing pros, you get paid for your work.",nothing pros you get paid for your work ,
15,Exceptionally strong brand and products,Exceptionally strong brand and products,exceptionally strong brand and products,
16,Work Life Balance and Benefits,Work Life Balance and Benefits,work life balance and benefits,
17,Flexible works must suggest us,Flexible works must suggest us,flexible works must suggest us,
18,only old application to work.,only old application to work.,only old application to work ,
19,Many pros but the current climate is all about populism and identity politics in the name of employee engagement and diversity.,Many pros but the current climate is all about populism and identity politics in the name of employee engagement and diversity.,many pros but the current climate is all about populism and identity politics in the name of employee engagement and diversity ,
20,"Process and Policies, Work Culture, Continuous Boost to Knowledge and breakthrough technologies","Process and Policies, Work Culture, Continuous Boost to Knowledge and breakthrough technologies",process and policies work culture continuous boost to knowledge and breakthrough technologies,
21,Great work life benefits! Great people.,Great work life benefits! Great people.,great work life benefits great people ,work
22,flexibility and work life balance,flexibility and work life balance,flexibility and work life balance,"work, balance"
23,"Flexible working arrangements (office, home, travel). Relatively relaxed office environment.","Flexible working arrangements (office, home, travel). Relatively relaxed office environment.",flexible working arrangements office home travel relatively relaxed office environment ,working
24,"Good Pay, Infrastructure, canteen, transport.","Good Pay, Infrastructure, canteen, transport.",good pay infrastructure canteen transport ,
25,Work life balance Learning and Development opportunities including generous training budget and good data science academy,Work life balance Learning and Development opportunities including generous training budget and good data science academy,work life balance learning and development opportunities including generous training budget and good data science academy,balance
26,Products sell themselves. Globally recognized brand.,Products sell themselves. Globally recognized brand.,products sell themselves globally recognized brand ,
27,Work place environment had reasonable deadlines.,Work place environment had reasonable deadlines.,work place environment had reasonable deadlines ,"environment, place"
