Employer.s.Name,Review.Link,Job.Title,Review.Date,Review.City.Town.Name,Review.State.Name,Review.Country.Name,Current.Job,Length.of.Employment,Employment.Status,Overall.Satisfaction,Career.Opportunities,Compensation...Benefits,Senior.Leadership,Work.Life.Balance,Culture...Values,Business.Outlook,Recommend.to.Friend,CEO.Approval,Pros,Cons,Advice.to.Sr..Management,Headline,Employer.Response
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW22492268.htm, ,9/15/2018,New York,New York State,US,No,More than 5 years,Full-time,3,3,3,1,3,2,Getting Better,Yes,No Opinion,"Relatively laid back, semi fair pay, as long as you get the work done no body bothers you","lack of leadership/management skills/no career opportunities, basically a dead end job.","Reward your staff and actually appreciate them, a couple of meetings to inform everyone wouldn't hurt. Updates on direction of where the business is going, higher pay",Index Operations,NA
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW20884899.htm, ,6/4/2018,New York,New York State,US,Yes,More than a year,Full-time,5,3,4,4,5,5,Getting Better,Yes,Approve,"Relaxed Environment, Benefits, No micro-managing,",Change takes a long time., ,Great Enviornment,NA
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW16083428.htm,Graphic Designer,7/26/2017,Princeton,New Jersey,US,No,More than 5 years,Freelance,5,3,4,5,5,4,Getting Better,Yes,No Rating,"As a freelancer, communication with the team was always smooth and their need were well articulated.  Response time was always fast.","I did not have any bad experiences while working here, except for the fact they did not have the budget to hire full time.", ,Great company to work for,NA
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW15486839.htm,Senior Analyst,6/15/2017,New York,New York State,US,Yes,More than a year,Full-time,5,3,5,4,5,4,Getting Better,Yes,No Rating,"Great work life balance
Good compensation
Friendly environment",Can't think of any off the top of my head, ,Great Employer,NA
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW15051394.htm,Analyst,5/14/2017,New York,New York State,US,Yes,Less than a year,Full-time,5,5,3,5,5,4,Getting Better,Yes,No Rating,"Good group, smart, extremely qualified people",Some inefficiency relating to IT curbs productivity,Invest in IT,Good work environment,NA
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW13985679.htm,Index Manager,2/28/2017,New York,New York State,US,No,More than 8 years,Full-time,3,2,4,3,4,3,Staying the Same,No,No Rating,"Pay is fair, work/life balance is for the most part is reasonable.  Promotions and bonuses are done in a fair way.  Work force is relatively young and an intelligent group.",Long hours during certain times of the year.  Frequent breakdowns in technology resulting in delays.  Frequent team restructuring and promotions which seem to be done just to create the feel of career advancement.  Niche business with little relatable work experience in other more broad finance roles.,"Less middle management, more interaction directly with employees.  More transparency on career paths.",Overall a Good Experience,NA
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW10977045.htm,Graphic Designer,6/20/2016,New York,New York State,US,Yes,Less than a year,Contract,4,5,3,4,4,4,Getting Better,Yes,No Rating,"-Coworkers are all very helpful, friendly, and driven
-The scale of which your work is seen is quite impressive since its a globally renown company",#NAME?, ,"Great people, good work",NA
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW9954890.htm,Research Analyst,3/17/2016,New York,New York State,US,Yes,Less than a year, ,5,2,1,4,4,4,Getting Better,Yes,No Rating,Your experience highly depends on the team that you are working with. Mine is a good team,nothing that i can think of, ,Good work good people,NA
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW7849087.htm,Senior Data Associate,9/5/2015,New York,New York State,US,Yes,More than 8 years,Full-time,4,3,4,4,2,3,Getting Better,Yes,No Rating,"Great benefits. 
Great perks (ERG)",Not much life work balance encouragement, ,Senior Data Associate,NA
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW7455931.htm, ,8/4/2015,New York,New York State,US,Yes,More than 5 years,Full-time,3,3,5,4,5,2,Getting Better,No,No Rating,"Location 
Work life balance 
Ceo","Salary
Politics and favoritism and bias driven by committee chairman.",Value production teams brtter,Boys club,NA
