"Employer.s.Name","Review.Link","Job.Title","Review.Date","Review.City.Town.Name","Review.State.Name","Review.Country.Name","Current.Job","Length.of.Employment","Employment.Status","Overall.Satisfaction","Career.Opportunities","Compensation...Benefits","Senior.Leadership","Work.Life.Balance","Culture...Values","Business.Outlook","Recommend.to.Friend","CEO.Approval","Pros","Cons","Advice.to.Sr..Management","Headline","Employer.Response"
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW25105445.htm","Software Developer","3/11/2019","Gurgaon","Haryana","India","Yes","More than a year","Full-time",5,4,4,4,5,5,"Getting Better","Yes","Approve","Emphasizing on learning , sharp focus on cutting edge technologies.
Pluralsight , LinkedIn learning and other better reasources for learning.
Encourage employees to learn each day.
A lot internal technical training on different domains by various groups.
No strict timing and unlimited work from home.
Culture , common practices , value and ethios all are just great.
Organisation is making changes in policies at regular intervals and making it more inclined towards employee friendly and employee first organisation.
Most of the people are calm , helpful and easy goers. You would not find managers or team leads pulling out your hair or unnecessarily put stress on you.
You are open to speak and can sought opinions on the internal Facebook type society which is called Hub where you can share idea among others or get the feedback.
The most amazing part is unlike bad reputation of software or it industry job where people feel tired or under stress ,  here you find yourself leaving a adequate normal and a balanced life.","- If you are not active and is busy enjoying all the perks and facilities you get , you might find yourself lagging behind in terms of awareness and skills , because you don't get presurrise doesn't mean you should stop working towards achieving your goal","Keep doing the great work and creating the awesome culture..","It's fun working at Snp","Thank you for your feedback. We are happy to hear you are enjoying your time with us and taking advantage of the many opportunities S&amp;P Global has to offer. For more on our commitment to elevating employees, visit https://www.spglobal.com/en/careers/who-we-look-for."
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW24959777.htm","Team Lead","3/2/2019","Gurgaon","Haryana","India","No","More than 8 years"," ",2,2,5,2,3,2,"Getting Worse","No","Approve","It was a good place for starters, not anymore","Hostile work culture, too much politics","Retain your employees","Initially very good"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW24855858.htm"," ","2/24/2019","Ahmedabad","Gujarat","India","Yes","More than 5 years","Full-time",4,3,4,4,5,5,"Getting Better","Yes","Approve","5 days a week, Good culture and benefits are best","Managers mindset needs to be changed and review system","Change the review system as it should be transparent","DR - III"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW24805479.htm","Financial Analyst","2/20/2019","Hyderabad","Telangana","India","Yes","Less than a year","Full-time",4,4,5,5,5,5,"Getting Better","Yes","Approve","It is a multi national company","I am able to work in this company"," ","Good company"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW24788153.htm"," ","2/20/2019","Hyderabad","Telangana","India","Yes","More than 10 years","Full-time",5,5,5,5,5,5,"Getting Better","Yes","Approve","Best Work-Life balance --Lot of learning for a fresher or an experienced","No Specific cons with S&amp;P"," ","Great Place to Work"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW24753792.htm","Research Data Analyst","2/18/2019","Gurgaon","Haryana","India","Yes","More than 3 years","Full-time",4,4,4,4,5,4,"Getting Better","Yes","Approve","Superb work life balance, amenities, and working culture, good pay","Stagnancy and slow career growth.","Neutral Views","Data Researcher 1"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW24693987.htm","Assistant Manager","2/13/2019","Hyderabad","Telangana","India","No","More than 3 years","Full-time",4,5,4,5,5,4,"Getting Better","Yes","Approve","Good Employee Friendly company, Good Benefits to the employees","Transport facility - should be provided on both side.","Management is doing Great Job! Keep it up!","Good Company to start your Career"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW24595707.htm","Senior Data Analyst","2/7/2019","Hyderabad","Telangana","India","No","More than 3 years","Full-time",4,0,0,0,0,0," "," ","No Rating","Good salary 
Nice management 
Cooperative","Less use of brain 
Don't match"," ","Work with Honesty will take you level"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW24566357.htm","Data Researcher","2/6/2019","Hyderabad","Telangana","India","Yes","More than a year","Full-time",5,4,5,5,4,5,"Getting Better","Yes","No Opinion","Nice company to work with","Could provide 2 way cab instead 1 way","Nothing","Good"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW24473958.htm","Data Researcher II","1/31/2019","Ahmedabad","Gujarat","India","Yes","More than a year","Full-time",3,3,3,4,5,5,"Getting Better","Yes","Approve","Work environment is good, so no issues","Same work  have to do at higher level.","Need to focus on employee growth","Good work experience"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW24390749.htm","Associate","1/25/2019","Gurgaon","Haryana","India","Yes","More than 3 years","Full-time",5,5,3,5,5,5,"Getting Better","Yes","No Rating","Work life balance And work environment","No growth, night shifts for no reason","Must include better rewards and recognition programs","Associate"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW24346728.htm","Senior Data Analyst","1/23/2019","Hyderabad","Telangana","India","No","More than 5 years","Full-time",1,1,3,1,3,1,"Getting Worse"," ","Disapprove","It used to be good company a decade back, were lead by intelligent people, best in class in the industry. We have the skeleton left now.","There is no clear outlook for future that means there is no destination and you can take any road.
Decisions are made with emotions and not data, promotions are based on which camp are you in.
Lay-off every year based on tenure.
Cost cutting is the goal but the only area people see cost is Human Resources.
Everyday first thing you check if you still have your job.","It’s very late, either sell the company but keep the cash cows. Yes, don’t miss the cash.","How do I speak the truth diplomatically correct!"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW24291770.htm","Research Associate","1/19/2019","Hyderabad","Telangana","India","No","More than 3 years","Full-time",4,4,4,2,3,4,"Staying the Same","Yes","No Opinion","Working style
Salary (shift allowances)
Interactions
Financial knowledge
Food &amp; ambiunce","Internal politics
No learning
No voice to your thoughts"," ","Long lasting experience"," "
