"","Employer.s.Name","Review.Link","Job.Title","City.Town.Name","State.Name","Country.Name","Interview.Date","Interview.Difficulty","Interview.Length..no..of.days.","Process","Interview.Outcome","Overall.Experience","Why.Decline","Negotiation.Phase","Interview.Question.1","Interview.Question.2","Interview.Question.3","Interview.Question.4","Interview.Question.5","Employer.Response"
"1","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW8792527.htm","Associate Account Manager"," "," "," ","12/1/2015","Easy",15,"Applied through SNL online portal via an alumni reference. Got a call a couple days later to set a phone screen with HR. After that I did another phone screen with a Manager and finally did a 4 person phone interview (~2 hrs). The process took about 2.5 weeks and went extremely well. The people were fantastic, informative, and totally transparent about the hiring process. SNL has a refreshingly well crafted screening process.","Declined Offer","Positive","It was a tough decision but in the end I decided to go a totally different direction career wise."," ","Why are you interested in this job?","What about your past experience makes you qualified?"," "," "," ",NA
"2","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW7351735.htm","Associate Software Engineer","Princeton","New Jersey","US","7/25/2015","Average",14,"I got an email from HR after I applied for this position on University Portal. Scheduled a phone interview next week with another Software Engineer. It went well, basically asked to introduce myself followed by couple of question on data structures & algos. Got a mail from HR for the onsite interview couple of days later. Scheduled it the following week. Was given a test which the standard process I believe with 40 mins to complete it. After 40 mins the hiring manager came in took a look over the test, didn't go through the code. He was interested in the OO design ques in the test. Started asking about it & later he got into logic ques. All he wanted to see is how good my logic is, which if I would have been prepared for, would have been good. It didn't turn out well. The next couple of rounds were just the oral technical questions & behavioral. Those consisted of questions from databases - joins, groupbys & oops concepts etc.","No Offer","Neutral"," "," ","OOP Design for Vending Machine","How will you find out the duplicate number in the given array?","What are different joins?","Lowest Common Ancestor - BST"," ",NA
"3","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW18094604.htm","Associate Creative Director","Richmond","Virginia","US","11/28/2017","Average",14,"The 1st half of the interview was as to be expected for the position. The second part of the interview was done with a contracted hiring consultant who was only interested in personality and not skills, experience or qualifications.","No Offer","Neutral"," "," ","Asked about past experiences in the filed."," "," "," "," ",NA
"4","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW14790107.htm","Associate Director"," "," "," ","4/25/2017"," ",NA,"Had lunch with the team. Talked about company culture and the future they foresee. Talked about my past job experience as well as our interactions. Talked about the stocks and markets in general. It was a nice crew. Good meal too.","Accepted Offer","Positive"," "," ","What do you think of us"," "," "," "," ",NA
"5","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW5386037.htm","Software Engineer","New York","New York State","US","11/15/2014","Average",90,"First interview was a phone screen, which covered the basics of object oriented design. Second interview came a couple months later and was on site with three individual engineers. This interview was bit more in debt, it involved 3 questions related to algorithm design, application design and a high level implementation the database objects required to store the applications data with the correct normalization. The questions were quite manageable and came from regular scenarios which would occur in most enterprise solutions. The last interview was over the phone and was strategically focused on the technologies that position required. Mostly focus on SOA and the Microsoft stack which can be used to build these type of solutions.","Accepted Offer","Positive"," ","I had a pending offer and they matched it.","One of the interviewers asked about database isolation and optimizing a process which will have a high level of concurrency. This was not difficult for me but was unexpected."," "," "," "," ",NA
"6","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW5386945.htm","Software Engineer","New York","New York State","US","11/15/2014","Average",21,"Three interviews:- 1. First Round(phone) :HR based interviews with general HR questions and provided a coding Quiz(Fraction point). 2. Second Round(phone): Interview with the hiring manager, general questions about my experience and courses taken at school. Discussed about my projects and how I could improve it now, and also went over the quiz. 3. Third Round (on-site) : 3 Round interviews with 4 different people(two in the last round). First round asked general question for 10 mins and provided to a coding quiz to be solved in 45 mins. It had 4 questions ,all Data structures and OOPS based. 1.Least Common Ancestor in a BST. 2. Merging two sorted lists. 3.How to Designing cache to return data faster (solution-hashtable) and how to improve it with multiple requests(multi-threading..) 4. How to design vending Machine. Second Round, the interviewer went over each solution and asked questions around the problem, improvements, and running times. Third Round, two interviewers went over OOP, Design Patter, multi-threading, etc. Asked me to design and write codes for a Deck of cards for Blackjack, and some features of BlackJack Game(shuffling, players, giving cards to each player, etc).","Accepted Offer","Positive"," ","Negotiated starting date.","Nothing too hard, brush up on data structures and OOP."," "," "," "," ",NA
"7","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW5211617.htm","Software Engineer"," "," "," ","10/20/2014","Average",1,"I applied online on my school's Job link. It is an on campus interview and I was asked to finish 4 programming questions in 30 mins. And the interviewer went through those 4 question with me together.","No Offer","Positive"," "," ","Design a Cache to store stock information."," "," "," "," ",NA
"8","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW2720789.htm","Software Engineer","New York","New York State","US","6/9/2013","Average",7,"This varies depending on the level - be prepared to answer core questions about Microsoft tools like C# and SQL Server Solid knowledge of OO design principles is important and try to be concise as some interviewers will write you off if you keep jabbering. I did not come across any general knowledge or other non technical questions but it is recommended that you brush up on what's happening in the industry to show that you are motivated.","Accepted Offer","Positive"," ","Not much. I liked their offer","None"," "," "," "," ",NA
"9","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW2806031.htm","Software Engineer","New York","New York State","US","7/9/2013","Easy",NA,"I applied through my university's career web site before 2009, and was contacted for the first round interview. First round - Two technical interviews with software engineers. We were given a paper test with 5 questions that have been stated close to verbatim in previous reviews (find closest common parent of two nodes, reverse a linked list, count # of bits in a byte, db schema, cache design). The interviews are essentially a review of that paper test, and you may be asked to answer a slightly-modified version on one of the questions. Final round - Two technical interviews and one HR interview. Both of the interviewers were senior engineers, and they asked different types of programming questions that are more or less on par with the paper test in the first round. The HR interview was very relaxed. During the process, you eat lunch with other employees (with no connection to the interviewers) and may ask questions. My process was quick; I was contacted the day of the first round interview for the final round invite, and I was contacted a week after the final round with an offer and accepted.","Accepted Offer"," "," ","Was able to push back start-time, and slightly change the compensation.","-Finding the lowest common parent of two nodes can be tricky
-Detecting a palindrome (this was asked to nearly every candidate when I was applying)"," "," "," "," ",NA
"10","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW3269888.htm","Software Engineer","New York","New York State","US","11/4/2013","Difficult",30,"On-Campus: Written test followed by a follow-up in person interview. On-site: 3 back to back technical interviews, 40-45 minutes each. Questions: 1. Design ""Undo"" and ""Redo"" feature for a text editor. 2. Given an integer array, return ""1"" if sum of any two numbers is zero. 3. Use two dice to create a random number generator (0-15). 4. What is a Race Condition? 5. Given a continuous stream of characters, find the first non-repeating character.","No Offer","Positive"," "," ","Design ""Undo"" and ""Redo"" feature for a text editor."," "," "," "," ",NA
