"word_count","bigrams","word","attribute"
1,355,"and","pros"
1,285,"good","pros"
1,258,"work","pros"
1,257,"to","pros"
1,255,"the","pros"
1,184,"great","pros"
1,149,"benefits","pros"
1,149,"of","pros"
1,135,"are","pros"
1,135,"is","pros"
1,129,"company","pros"
1,129,"for","pros"
1,120,"in","pros"
1,103,"people","pros"
1,100,"life","pros"
1,96,"with","pros"
1,90,"balance","pros"
1,77,"very","pros"
1,77,"you","pros"
1,74,"environment","pros"
1,58,"working","pros"
1,57,"opportunities","pros"
1,54,"it","pros"
1,50,"on","pros"
1,50,"pay","pros"
1,49,"management","pros"
1,47,"culture","pros"
1,45,"as","pros"
1,45,"that","pros"
1,43,"be","pros"
1,43,"nice","pros"
1,41,"have","pros"
1,41,"they","pros"
1,37,"well","pros"
1,36,"has","pros"
1,35,"friendly","pros"
1,34,"employees","pros"
1,34,"office","pros"
1,34,"place","pros"
1,34,"there","pros"
1,31,"salary","pros"
1,30,"job","pros"
1,30,"your","pros"
1,29,"if","pros"
1,28,"but","pros"
1,28,"many","pros"
1,28,"not","pros"
1,28,"this","pros"
1,26,"decent","pros"
1,26,"mcgraw","pros"
1,26,"was","pros"
1,25,"business","pros"
1,25,"can","pros"
1,25,"do","pros"
1,25,"hours","pros"
1,24,"get","pros"
1,24,"some","pros"
1,23,"flexible","pros"
1,23,"growth","pros"
1,23,"team","pros"
1,22,"all","pros"
1,22,"at","pros"
1,22,"excellent","pros"
1,22,"my","pros"
1,22,"new","pros"
1,22,"time","pros"
1,21,"atmosphere","pros"
1,21,"brand","pros"
1,21,"hill","pros"
1,21,"learning","pros"
1,21,"lot","pros"
1,20,"career","pros"
1,20,"global","pros"
1,20,"strong","pros"
1,19,"colleagues","pros"
1,19,"competitive","pros"
1,19,"interesting","pros"
1,19,"lots","pros"
1,19,"who","pros"
1,18,"about","pros"
1,18,"location","pros"
1,18,"no","pros"
1,18,"opportunity","pros"
1,17,"an","pros"
1,17,"employee","pros"
1,17,"financial","pros"
1,17,"learn","pros"
1,17,"package","pros"
1,17,"smart","pros"
1,16,"experience","pros"
1,16,"from","pros"
1,16,"more","pros"
1,15,"best","pros"
1,15,"professional","pros"
1,15,"which","pros"
1,15,"will","pros"
1,14,"been","pros"
1,14,"companies","pros"
1,14,"industry","pros"
1,14,"most","pros"
