Employer's Name,Review Date,Pros,Cons,Advice to Sr. Management,Headline
S&P Global,9/13/2019,Innovation is welcome! Your experience and ideas are welcome. You’re expected to work hard but work/life balance is strongly encouraged. The benefits are great and will continue to improve.,I can’t think of any., ,Great Place to Work
S&P Global,9/10/2019,"Strong, talent people, great resume builder.  Most managers are flexible with work arrangements and remote working",Lack of Career Growth: Decline in employee centered benefits/programs I.e.  Recognition &amp; Diversity.  Too much change,Listen to your people/talent and provide growth opportunities to all.,Great Place to Grow Short Term
S&P Global,9/8/2019,Competitive compensation. Leaders in Manila are reasonable and rational.,"Work culture varies from domain to domain. In Content, slow career advancement. Very minimal opportunity to move up.", ,Great Company to work with
S&P Global,9/6/2019,"People are nice, great exposure to capital markets",Management/structural changes often and all based in NYC, ,Good place to work
S&P Global,9/4/2019,"Bus facility, good for internship","No bonus, no growth, no new opportunities", ,Data Researcher
S&P Global,8/26/2019,Good atmosphere Great team leader friendly staff  less pressure and great place,Rotational shifts routine work,Nothing,Junior research analyst
S&P Global,8/26/2019,reliable sources disclosed its an exclusive organization which provides with resourceful working environment n the careers?,"in this perspective,stack holders know better?","as u know,an applicant is considered as beginner so how can i advise,probably management already believes in transparency,loyalty,fundamental principles?",all we need to do is to concentrate on established framework&amp;be aware what is next?
S&P Global,8/24/2019,"Brand Name,  Huge Data, Started changing &amp; adopting new technology","Some teams has very old style of management, also top management is not keen on change","Don't just go for presentation, Ensure that value is created",Changing
S&P Global,8/23/2019,great vision and outlook in the next 10 years,very political environment so be prepared for toxic culture, ,review
S&P Global,8/12/2019,Good visibility and learning opportunities,Salaries are below other wall street firms and IT needs to be updated, ,Good company to work for
S&P Global,8/7/2019,The benefits are quite good,senior management don't listen and manage upwards...always, ,na
S&P Global,8/4/2019,Generally good people here trying there best.,"Completely corrupt leadership in HR resulting in massive layoffs and awful moral. SVP is only interested in bringing in her friends that act as her ‘yes men’. She’s laid off the entire leadership team and long tenured employees to afford the salary of her friends coming in. If you can’t trust the leadership in HR, how can employees feel supported this function?",Take a hard look at the SVP and leadership of HR,HR is Not Your Advocate Here
S&P Global,7/31/2019,"Interesting work, supportive work environment, some travel but not excessive, manageable hours.","Difficult distribution of company ratings and content, not cutting edge in terms of technology, cutting costs by hiring undergrads instead of graduate degree holders, somewhat indifferent to experience and institutional knowledge within staff.",Value your long-term employees more.,Good Work-Life Balance
S&P Global,7/30/2019,A very good working culture,Salary structure is very low, ,Data researcher
S&P Global,7/28/2019,"Nothing pros, you get paid for your work.","work is too much, pressure is more. Onsite people through work and you have to complete it without any delay. Without giving proper KT.","First make yourself professional, and arrange proper KT for the resource. And expect the work.","It's been less than a year, work is too much, pressure is more."
S&P Global,7/27/2019,Exceptionally strong brand and products,"We’re playing catchup with internal processes and systems, especially tech infrastructure and manager development.",Substantially increase investment in technology and the resources employees need to do their jobs more efficiently — will greatly increase the quality and speed to meet customer needs,We’re getting there!
S&P Global,7/26/2019,Work Life Balance and Benefits,"Management is amateur, does not understand how to lead or adapt to a changing climate.  No charisma, No Inspirational Leaders, People just flying by the wind of night.  No strategic plans.

Culture is aweful, complacent people who do not want to change.  They are living in the past with no path to the future.  

They are lucky they have a strong hold on the Ratings industry or this company would be gone a long time ago.", ,Do Not Come Here
S&P Global,7/24/2019,Flexible works must suggest us,I can't mention any cons, ,Good in services
S&P Global,7/22/2019,only old application to work.,"Lots of work pressure, people here wants everything from next day without giving/ sharing proper knowledge with you.

You have to attend call after office every day.

Cant Happy with work and life balance.

No proper organized work, no documentation of the application.","Please understand from the developers prospect atleast. you are giving salary, it doesnt mean through your trash on them to clean it properly within strict time period.

Sit with developers for one month to understand.",Nothing good here
S&P Global,7/19/2019,Many pros but the current climate is all about populism and identity politics in the name of employee engagement and diversity.,Employees satisfaction doesn’t increase by changing the dress code and giving half days in Fridays. The latter has caused more issues with our colleagues globally than done any good.,"If HR is so worried about diversity and inclusion , can we publish the diversity numbers for the HR department in the next Town Hall please .  A look on the intranet would show you how skewed that is.  If people spend time reading the research and the empirical evidence around these topics rather than just jumping on the D&I bandwagon , it would be better for the company. Preferential hiring and expecting equality of outcomes , is a foolish endeavour. There is enough evidence out there to prove that.

Also if we just trying to have equal gender representation for all roles, why don’t we start with HR and get to 50-50 there ?",Marxists have taken over in the name of Diversity and inclusion
S&P Global,7/18/2019,"Process and Policies, Work Culture, Continuous Boost to Knowledge and breakthrough technologies","Compensation, but we have way more flexibility as compared to other companies in the area.", ,Senior Release Manager
S&P Global,7/18/2019,Great work life benefits! Great people.,"Low pay, can only really go into the sales track", ,Great company!
S&P Global,7/15/2019,flexibility and work life balance,work pressure and higher management decisions, ,Quality engineer I
S&P Global,7/15/2019,"Flexible working arrangements (office, home, travel). Relatively relaxed office environment.",None I can think of., ,S&amp;P London Global London European Corporate HQ
S&P Global,7/15/2019,"Good Pay, Infrastructure, canteen, transport.",Changed the HR policies after SNL acquisition. Showing the doors for senior employees. Ignoring local employees and striving to bring non -local candidates.,Consider all employees equally. Do not think that local employees are inefficient.,Closing the doors for senior employees in Hyderabad office.
S&P Global,7/11/2019,"Work life balance
Learning and Development opportunities including generous training budget and good data science academy",Hierarchical structure is still a legacy and some here are a bit traditional and less flexible in approaches to work but the culture is changing towards to be more inclusive,Be more visionary,"Busy, but good work life if you have the right manager!"
S&P Global,7/10/2019,Products sell themselves. Globally recognized brand.,Poor Management. Very few resources/opportunities to growth., ,"Great Brand, Poorly Managed"
S&P Global,7/3/2019,Work place environment  had reasonable deadlines.,Some career paths are only available to certain people., ,S&amp;P was a great place to work .
S&P Global,7/2/2019,"- Great management top down 
- People First Policies
- Flexible work life balance
- Strict focus on organizational strategy
- Communication and Collaboration",Can't think of any as such because the organization is giving every opportunity for the employee to benefit and scale up,Keep doing what you are doing for various global locations while being sensitive to local offices and people (employees),Great Place To Work
S&P Global,6/28/2019,"flexible hours.
good compensation
employee surveys taken seriously",not any right as of now, ,"Great work environment, flexibility of working."
S&P Global,6/27/2019,A cultura organizacional da empresa permite maior flexibilidade para conciliar a vida pessoal com a profissional e oferece muitas oportunidades de aprendizado,Poucas chances de efetivação, ,Boa empresa para início de carreira
S&P Global,6/27/2019,Able to participate in employee resource groups and pursue interests via trainings and learning platforms,No major cons to note at this time, ,Good opportunities afforded
S&P Global,6/26/2019,S&amp;P is one of the best credit rating agency and a place where one can learn alot,Work/ life balance need to be improve,NA,NA
S&P Global,6/24/2019,S&amp;P Global is going through changes constantly but they are all great changes and we are moving in the direction of the market. Our benefits are being updated and I feel like it is extremely work life balance and family friendly. I am a very happy employee and can't wait to see the changes to come for the future!,Cannot think of any cons at the moment- overall super positive experience!,N/A,Amazing Company that really does put the people first
S&P Global,6/24/2019,"good projects on Financial &amp; investment banking
people working in Us projects have better exposure","biased management
growth path is limited", ,business analyst
S&P Global,6/19/2019,"S&amp;P adopting all new emerging technologies like blue-prism, docker, cloud where each and individual employee getting chance to hands-on on those

Good market vision from higher management, as they taking so many great steps in our product as per market trends and business need, which is a good sign for continuous growth&nbsp;

Great work life balance&nbsp;","No onsite for work :- Working onsite can help bring in a significant change in an individual’s outlook. By working with people from a different country, understanding their work culture and ethics can help you improve your own way of thinking.",open onsite  opportunities,Best place to work
S&P Global,6/12/2019,"Supportive culture
Growth
Learning opportunities
Regular check-ins by senior management","Competitive
Sometimes there can be a little bit of office politics leading to some issues
Not every department is as blessed as Client Operations, Commercial and Enterprise", ,Great company to work at
S&P Global,6/7/2019,Unlimited Work from home option.,Lots of politics and no good hikes. For QAs there more weekend validations, ,Organization changes are happening very frequently
S&P Global,6/6/2019,learning and career development is great,the work pressure is insane, ,Great place to learn analytics
S&P Global,6/5/2019,"It used to be a great place to work, pre SNL merger",Lack of leadership and poor commercial strategy, ,Completely lacking in direction and leadership since 2017
S&P Global,6/1/2019,Top Management is focusing on People First.,no good work at entry level,Middle management need to be aligned with Top Management thought process. Manager should treat the employee as people not as resources. Major mindshift required at mid mgmt level.,Full time employee
S&P Global,5/25/2019,"Work life balance, working across geographies, meeting incredible people","A bit bureaucratic, might be a bit more technologically flexible",Non,Highly Talented Group of People
S&P Global,5/25/2019,"work life balance
good start for fresher",I didn't find any until now., ,best place to work
S&P Global,5/20/2019,"1. Open friendly work culture
2. Lot of opportunities to grow internally
3. Competitive salary","No Cons, amazing company with really good opportunities for growth.", ,Amazing Company to work with
S&P Global,5/15/2019,good company to work with,no cons as this is good  company to really have one,Please continue doing what you are doing,SDM
