Employer's Name,Review Link,Job Title,City/Town Name,State Name,Country Name,Interview Date,Interview Difficulty,Interview Length (no. of days),Process,Interview Outcome,Overall Experience,Why Decline,Negotiation Phase,Interview Question 1,Interview Question 2,Interview Question 3,Interview Question 4,Interview Question 5,Employer Response
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW10837542.htm,Lead Applications Developer, , , ,6/6/2016,Difficult,3,Had three people interview me and an online test. Lot of conceptual questions. Overall a fair experience. I was later told that an offer was in the making and then they went completely silent. Strange!!! They could at least tell me why they ended up not making me an offer when they initially indicated that they would.,No Offer,Negative, , ,How will you go about designing something like google drive., , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW3193814.htm,Software Engineer Intern, , , ,10/17/2013, ,4,"I applied online through my university's career services website. I got a call the next day from a recruiter, who asked me some basic questions about school and work. From there he scheduled me immediately for an interview with a manager, and as soon as I was done he set me up for an interview with yet another manager. The interview was pretty easy, he asked me some basic questions on the software life-cycle and told me about what the job would entail. I really didn't get asked any technical questions, which I found very strange. I kind of lucked out that they were in a rush to fill this position, which is why I had 3 back to back phone interviews. The interviews took place on a Friday and I got the offer that Monday, I never even had to come into the office for an in person interview. My experience was definitely not the norm, I talked to other inters that summer who said the process took anywhere from 2 weeks to a month for them to get the offer.",Accepted Offer,Positive, ,"I accepted his initial offer, because I assumed it was a set amount for inters.","Describe the software development life-cycle. (Not a hard question, but it's the only remotely technical question I got asked)", , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW22121765.htm,Client Support Analyst,Charlottesville,Virginia,US,8/23/2018,Average,15,"Two phone interviews (1 screening, 1 with the manager) followed by 1 in-person interview. The in-person interview was split into two stages with multiple managers. Managers were very nice and provided feedback, just went with a more experienced candidate.",No Offer,Positive, , ,Mostly about my background with some technical questions interspersed , , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW5288693.htm,Analyst, , , ,10/31/2014,Easy,5,Great structured communication with hiring manager. Went through phone interview and second round in person with hiring manager and a panel of other managers/salesrep for one on one interviews.,Accepted Offer,Positive, , , , , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW2796302.htm,Intern, , , ,7/5/2013,Very Easy,45,"HR was a little bit late in the game in my year, so I had a quick pre-screen interview and then 2 phone interviews with 2 hiring managers. Both lasted 20min. Wasn't hard, they asked me generic interview questions.",Accepted Offer,Positive, , , , , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW1434858.htm,Intern,New York,New York State,US,4/9/2012,Average,1,"Fairly casual, behavioral questions such as ""describe a challenging situation you have met.""",No Offer,Positive, , ,"If we want to enter the Latin America Market, how would you conduct the analysis", , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW8574589.htm,Intern, , , ,11/7/2015,Easy,14,Phone interview. one of the HR called me and had a phone interview for first round. Then second interview at the office with senior managers. They were very nice and the questions are not very hard.,Accepted Offer,Positive, , ,what do you know about our firm?, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW6761529.htm,Intern, , , ,6/1/2015,Easy, ,"I had a phone interview and then was called in for an in-person interview. The interviewer didn't remember anything we had discussed on the phone. After the in-person interview, interviewer told me that interviewer wanted to bring me on but interviewer needed team approval, and that the team assistant would be in touch with me to schedule a meeting with the entire team. I emailed a week after the interview but received no response. After 3 weeks, I still had no heard anything. I emailed again and was finally told that the assistant would be in touch with me later that day. Assistant never contacted me. This was for an unpaid position.",No Offer,Negative, , ,What are my weaknesses? , , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW4290760.htm,Account Manager, , , ,5/27/2014,Average,60,"I applied for an inside sales position. I had a phone interview a month after applying and an in person a month later. Next round would have been video with London management. They were undergoing a reorg; wanted inside salespeople to manage the relationship and maximize revenue from existing client base. I applied online; heard back from them about a month later to set up a phone interview. That round was just screening and pretty rote stuff. I got a called for a second interview about 2 weeks later. That interview ended up occurring about 2 months after my application- the pace was slow. Second interview was with the MD I would report to. I thought it went well, was surprised to get a form ""we've decided not to follow up with you"" email from HR about 2 weeks later. The 3rd round would have been a video interview with London (department is run from there).",No Offer,Positive, , ,How do you deal with angry or upset clients?, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW9751665.htm,Senior Software Development Engineer,New York,New York State,US,2/29/2016,Average,60,"Do not recommend dealing with McGraw Hill Financial. Felt they were dishonest, used every chance to harass and discriminate. After interview weeks went by then asked for lots of references then said to hold on for long time, disappeared and after many more weeks heard staffers hired internally, disingenuous. Higher rated and bigger firms post outside only after internally. Ones I interviewed with said they were better, lol, seemed like coming off microsoft or mainframe because didn't understand today's stack or development. They asked about educational books and software, later checking McGraw Hill Education was sold. They became nasty, and started saying any education or background in software was bad, unbelievable. Look into them first, sold their books and educational software division but it kept the McGraw Hill name, and if you don't know that they'll turn real unpleasant. They're just S&P now. Skill level even of managers really weak, seemed like they brought in from offshore without credentials and they didn't like anyone with real skill. Said what they did was all new and everything else like experience didn't want to hear about, trying to move to 'straight through processing', haven't heard software put that way in decades. Checking they dropped 20 spots in rank and are about to fall off the fortune 500, in my humble opinion I wouldn't join them, seemed like sinking ship and I was glad to get out of their and after over a month after giving solid references was glad didn't get offer, had given up anyway. This is very true and genuine review.",No Offer,Negative, , ,Can you just program or is design and architecture good?  They said did agile., , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW1235208.htm,Logistics Analyst,New York,New York State,US,12/11/2011,Average,14,"Received a call from HR. Interviewed with HR Contact, Manager, Director and VP",Accepted Offer,Positive, , ,Where do you see yourself in 5 years, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW10120117.htm,Technology, , , ,4/1/2016,Average, ,"Efficient with smart, nice people. Some tech-specific questions as well as understanding whether someone is a good team and cultural fit. Seeking ability and potential to learn over a specific skillset. This was back in the day before they became as corporate, so not sure what it's like now.",Accepted Offer,Neutral, , ,Mapping out the logic of an algorithm., , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW1257013.htm,Senior Director,New York,New York State,US,12/28/2011,Average,90,"The hiring manager inflated the appeal of the opportunity. Once I was on board, the nature of the work was more junior than promised, and there was less staff available than discussed. I later learned that others had the same experience when they were recruited. The background check took weeks and was excessive -- you just have to wait it out.",Accepted Offer,Neutral, ,"As with most companies, do your research, push for as much compensation as you can because once they have you, raises are tiny.  Also, I had 3 weeks vacation with my then-current employer and they matched it.  Get it in writing.",How do you attach metrics to your work. , , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW11153457.htm,Senior Customer Service Associate, , , ,7/6/2016,Average, ,Final performance review handled over conference call. It was the 1st time it had been handled this way and allowed for more people to participate which gave me broader feedback. I really felt it was very useful.,Declined Offer,Positive, , ,What would I want passed along to future employees? , , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW14788409.htm,Lead Product Manager,New York,New York State,US,4/25/2017,Average, ,"4 interviews in total - the hiring manager, 2 peers and the head of operations. All one-on-one with one final meeting with the hiring manager to round up. It took a number of weeks to get the interviews but ultimately the decision was made rather quickly.",Accepted Offer,Neutral, , ,product management specific methodology questions, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW22946978.htm,Lead Software Developer,New York,New York State,US,10/14/2018,Difficult,21,"Was reached out to on LinkedIn by a 3rd party recruiter, as they had trouble filling the role. 3rd party recruiter connected me with the internal recruiter, who got me setup with a phone screen on the team. Did one 1 hour phone screen, then they scheduled me for a follow-up video interview with others on the team. Finally, they flew me to corporate HQ in NYC for an 8 hour day of interviews with HR, VPs over the role, team members, and the hiring manager.",Accepted Offer,Positive, ,"There's a ""fixed"" schedule of vacation time depending on company tenure and level, but you can negotiate a little more vacation starting out.  It will be a good idea to have multiple offers at other companies at the same time, as recruiters and hiring managers are strongly incentivized to keep salaries down to the bare minimum, and they may well walk away to a cheaper candidate if you stick to your guns.",You will have a lot of tasks with changing priorities and schedules.  How do you handle this in your day-to-day work to ensure that deadlines are met?, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW22965602.htm,Summer,New York,New York State,US,10/15/2018,Average, ,Applied through a referral. Process took 3 weeks. Had two back to back 30 minute video interviews. I also had an in person meeting with one of S&P globals credit raters.,No Offer,Neutral, , ,Walk me through your resume, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW1481113.htm,Events,New York,New York State,US,5/1/2012,Easy,28,1. Phone Interview 2. 1:1 Interview with Direct Reporting Manager 3. 1:1 Interview with #2's boss 4. 1:1 Interview with #3's boss,Accepted Offer,Positive, ,"Negotiated on more vacation days. But after the 1st year, they re-engaged on the agreed upon time.",Why do you want to leave your company?, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW3424079.htm,Executive Recruiter, , , ,12/15/2013,Average,42,I've been introduced by an agency. First interview was with the hirimg manger and a couple of peers. Final interview was with the head of recruiting.,Accepted Offer,Positive, ,I asked for some more dollars and extra vacation time and was able to get it based on my prior exprience.,How would you handle a hiring manger who doesn't want to work with you and would prefer to use an outside agency?, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW3964277.htm,Ratings Analyst,New York,New York State,US,3/29/2014,Average,28,Spoke to several managers after HR,Accepted Offer,Neutral, , ,Where would you expect to be in 3 to 5 years?, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW2209348.htm,Human Resources Intern,New York,New York State,US,12/14/2012,Average, ,1. Phone Interview with HR Recruiter 2. Phone Interview with Hiring Manager 3. In person Interview with VP of HR,Accepted Offer,Positive, , , , , , , , 
