Employer's Name,Review Link,Job Title,City/Town Name,State Name,Country Name,Interview Date,Interview Difficulty,Interview Length (no. of days),Process,Interview Outcome,Overall Experience,Why Decline,Negotiation Phase,Interview Question 1,Interview Question 2,Interview Question 3,Interview Question 4,Interview Question 5,Employer Response
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW9127085.htm,Associate,New York,New York State,US,1/8/2016,Average,1,"Straightforward interview process with first a basic 30 minute interview and then a call back for a half-day series of interviews with managers and staff along with a written case study, interviews focused on if you would be a good fit with the organization and of specific job skills, case study focused on writing skills and basic financial analytical skills",Accepted Offer,Neutral, , ,Knowledge of accounting and financial statements, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW5566470.htm,Associate, , , ,12/19/2014, ,14,Very efficient. The same recruiter that reached out to me also saw me through the whole process. Very efficient. The same recruiter that reached out to me also saw me through the whole process,Accepted Offer, , , ,Credit Analysis Questions, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW6505937.htm,Associate,New York,New York State,US,5/4/2015,Average,14,"General fit and background, why s&p, why the group, light financial background questions. As well, there was a 2-hr ratings assessment in-house. All information given - come up with a one-page writing sample ""Credit Rating recommendation"".",Accepted Offer,Positive, , ,what type of credit analysis did you do?, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW17485270.htm,Associate, , , ,10/22/2017,Average, ,"phone interview : walk through your resume, not very hard, need highly communication skills.Hiring process is quickly than other companies and all the interviewers are very nice to talk with.",Accepted Offer,Positive, , ,how to deal with multicollinearity, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW17113125.htm,Associate,Denver,Colorado,US,10/1/2017,Easy,10,Two phone interviews. One at 6P and one at 7A. Manager clearly got upset when I referenced the industry can be exclusionary to gender and race. Silently rejected me a couple days later with auto email only,No Offer,Negative, , ,What does S&P do?, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW13699213.htm,Associate,New York,New York State,US,2/8/2017,Average, ,"30 min call w HR and meet with analytical manager, lead analytical manager and invite for a group lunch. I end up spending more than 3 days to meet all of coworkers.",Accepted Offer,Positive, , ,Go through my resume im 3 min, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW2583903.htm,Associate Director,New York,New York State,US,4/22/2013,Average,30,"I applied for a job on their website and within a week or so I received an email from their HR Department letting me know that they'd like to schedule a phone interview. Two days later I was on the phone for the first interview. It was a brief 15 min conversation with the HR department. Basically asked me to go over my resume and explain the relevance to the job i'm applying to. At the end of the conversation she had scheduled my next phone interview with the ""would be"" hiring manager for the following week. I spoke to the hiring manager and it was a 30 min conversation. Some of the questions she asked were about project management - Agile vs. Waterfall methodologies. The difficulties I experience with Agile. They use Agile method, so make sure you understand this method of PM. Asked me about Business Analysis and how I collected requirements (different ways) and what type of documentation (workflows, BRDs, Functional requirements, etc...) After that phone interview I heard back from HR department like 4 days later to schedule an in-person interview to meet with 4 individuals, including the would be hiring manager that I had already spoken to. During that interview there were a lot of questions about Project Management methods, more documentation question, the consistent question was what are the challenges you face with Agile method and how do you solve it?, A lot of questions about the correlation between business analysis and Agile method- be ready to elaborate on that. I was also given a scenario to solve on paper. If you are qualified for the position this won't be challenging, it was not difficult. The in-person interview was by far the most challenging but in general the interview process has been painless. I am currently waiting to hear back for next steps, I might get an offer, if I do, I will take it.",No Offer,Positive, , ,What are the difficulties you have faced with Agile methodology and how have you solved it?  , , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW3174277.htm,Software Engineer,University,Illinois,US,10/12/2013,Average,14,"Campus career fair, submitted resume and got first round campus interview. Basically a paper-based coding test, 30 mins to finish and 30 mins to talk with the interviewer about the questions, interviewer might raise more questions based on your answers.",No Offer,Positive, , ,"Find the common ancestor of the binary search tree, if provided 2 notes.", , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW2653055.htm,Statistician,New York,New York State,US,5/16/2013,Difficult,14,"In person, one on one.",Accepted Offer,Positive, ,There was no negotiation as the position was a union position and the salary was union contract based.,I don't remember., , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW8503043.htm,.NET Developer,New York,New York State,US,11/1/2015,Average,14,was very simple and easy . It was a phone interview which was technical. after a week they scheduled another round of interview. A team lead took the interview. The questions asked were very simple like basic concepts of .Net,Accepted Offer,Positive, , ,what is a jagged array, , , , , 
