Employer's Name,Review Link,Job Title,Review Date,Review City/Town Name,Review State Name,Review Country Name,Current Job,Length of Employment,Employment Status,Overall Satisfaction,Career Opportunities,Compensation & Benefits,Senior Leadership,Work-Life Balance,Culture & Values,Business Outlook,Recommend to Friend,CEO Approval,Pros,Cons,Advice to Sr. Management,Headline,Employer Response
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW25173386.htm,Md,3/14/2019,New York,New York State,US,No,More than 10 years,Full-time,2,1,4,1,4,3,Staying the Same,No,Disapprove,Good work life balance and smart colleagues,Upper management is disconnected with the ratings business which if further neglected would become adrift, ,Changing environment and culture, 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW25139248.htm,Associate Director,3/13/2019,Paris,Ile-de-France,France,Yes,More than 3 years,Full-time,4,4,3,4,5,4, , ,No Rating,"Exposition aux emetteurs
Localisation
Qualite des equipes","Salaires
Taches Repetitives
Petit bureau
Absence de cantine", ,Belle entreprise, 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW25121629.htm, ,3/12/2019, , , ,Yes, ,Full-time,3,0,0,0,0,0, , ,No Rating,it is a good company,no cons for this company, ,good company, 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW25082663.htm,Director,3/9/2019, , , ,Yes,More than 3 years,Full-time,2,2,1,1,3,3,Staying the Same,No,Disapprove,Overall the firm is ok to work for however see cons for some color on what to watch out for.,"The whole ratings division was told during a global ""town hall"" conference call that the entire 2018 bonus pool would be 60% lower than target because management was too optimistic and fell short of some undisclosed financial targets. There was no indication throughout 2018 that anything was wrong so the disclosure in late Feb 2019 (very late to begin with) came as a big shock/disappointment.  Individual bonuses have now been disclosed and will be paid in a week or two.", ,Pro tip: Ask in your interview about how stable/reliable bonuses are..., 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW25062044.htm, ,3/8/2019, , , ,No,Less than a year,Full-time,4,0,0,0,0,0, , ,No Rating,Good bunch of motivated people,"Complex large organisation, lots of calling.", ,Overall good, 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW25052881.htm, ,3/7/2019,New York,New York State,US,Yes,More than 10 years,Full-time,1,1,2,1,3,2,Getting Worse,No,Disapprove,"Good benefits, interesting work, able to work remotely","Senior management doesn’t value analytical community, only interested in the stock price and will take money out of incentive comp to make its EPS targets.  Bonus pool slashed despite record year.  Only focused on costs and the stock price.  Very low morale, constant employee churn.  Constant reorganizations, wasted investments in poor technology platforms.",Invest in employees before the franchise is ruined.,Stay away!, 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW24914134.htm, ,2/27/2019, , , ,Yes, ,Full-time,3,2,2,4,5,5, , ,No Rating,"Work-life balance
People and small teams",Low salary compared to other finance roles, ,Good work life balance at the expense of salary, 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW24903225.htm,Analyst,2/27/2019,Denver,Colorado,US,Yes,More than 5 years,Full-time,2,3,1,2,4,4,Getting Worse,No,Disapprove,"Flexible remote working permitted, good camaraderie, and a great learning environment","Senior management deeply out of touch with the day-to-day needs of the business, only focused on the stock price.  Frequent culling of productive, experienced, senior talent and periodic deep cuts to the bonus pool that are disconnected from actual business performance.  Inability to compensate people properly leads to mediocre hires, poor customer service, low morale and high employee churn.","Balance the needs of all stakeholders better. Employees are important stakeholders. By constantly burning employees, stockholders will ultimately be burned as well, though maybe not in the short term.",A knowledge-based business that thinks it can do without the knowledge, 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW24835178.htm,Senior Director of Global Applications Development,2/22/2019,New York,New York State,US,No,More than 10 years,Full-time,4,3,4,3,3,4,Getting Better,Yes,No Rating,"Good company to work for, stable, nice collaborative environment, great benefits",Company is in the middle of transformation which causes some uncertainty, ,"Good, stable company to work for", 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW24761935.htm,Sales Associate,2/18/2019, , , ,No, ,Full-time,4,5,5,3,5,4, , ,Approve,"Generous PTO and holiday
Clear Goals
Room for advancement",Some lack of cooperation between different departments, ,Well run organization, 
