"","x"
"1","Bloomberg was a great place to work a few years ago.  However in the last few years it has become increasingly bureaucratic.  It has lost the vision and zeal of its founder, Michael Bloomberg.  Today the same creativity and boldness that Michael Bloomberg encouraged is no longer an asset, in fact, it is discouraged.  The user interface for its primary product is dated."
"2","the hours are too long and it is expected that you 'go the extra mile' often. Holidays are rubbish. Some of the work due to the technologies used can be repetitive, and often you don't have time to do the job properly. Some of the people you have to deal with on the business side are clueless."
"3","long hours, too much pressure for the money you get; ""pushing"" all the time from the management; unbearable"
"4","incompetent managers - don't know how to manage people. have no experience in managing people. reluctance to take risks and eager to pass the responsibility and fall out to other people - no ownership of development or direction of business."
"5","Difficult to grow as its such a huge organization. Not much learning  happens, unless you spend a lot of time at the firm and proactively try to learn stuff. Job as such wont teach you much. Sad to say this, but the image of this company is overhyped outside. Most of the time you are actually doing backend, boring and monotomous jobs (with the possible exception of some of the sales guys)."
"6","Very nasty people, close-minded bully management"
"7","Ethically void.  A/C and Heating are unstable.  If your boss is harassing you, and you tell their boss and HR, YOU will be written up (but still given a bonus).  Management is incompetent (promotions based on the ability to brown nose, not actual ability to do/learn/improve anything aside from staying in same position for 8 years)."
"8","There is little flexibility in terms of people's roles. The company has grown so fast that it is no longer as entrepreneurial as it used to be. It is incrementally innovative but never fundamentally innovative. The culture seems to prize the amount of hours employees spend at the terminal as opposed to the quality or originality of ideas they contribute. Loyalty is also paramount."
"9","Long hours, some of the technology in use is truly awful (although in recent years this has improved tenfold, so there is now a mix of OK and very bad)."
"10","The biggest downside is that the company is divorced from Silicon Valley and its ways, making it hard for former Bloomberg employees to return to greener pastures. The projects are effectively managed by the sales organization, which is eager to please the customers often making impossible promises, rushing projects and asking for shortcuts left and right. As a result, the code is chaotic and archaic, and in bad... need of huge rewrites and lots more testing.

Some of the projects are ill-conceived from the start; several projects in my team that took months to develop received little or no use from customers, and the salesperson that asked for the feature, having signed up the client, has no interest in pushing your product.

Your experience varies significantly depending on who your immediate manager is; it may very as far as the flexibility of your workday - some managers expect you to be at work no later than 9:00 and some others recognize that the flexibility to choose, within reason, what time you come to work in the morning, will affect your output."
"11","Sub-average compensation, limited management opportunities, strategy not always explained by senior management, management often not willing to pay competitively for superior talent, management skills not always valued compared with technical skills"
"12","In IT(or R&D as we call it) the scope for growth is limited because of the flat hierarchical structure. Also the managers nor the company takes much active interest in employee's professional growth. also the work can get boring sometimes."
