"","cons_page1"
"1","Still Dependent Outdated legacy code"
"2","Office politics are definitely a con."
"3","but not so good career projection"
"4","What little journalistic talent remains at Bloomberg News is no match for the mass of mediocrity that has risen up there. In the past five years, the standard of quality has gone from excruciatingly high to preposterously low. 

While political correctness and identity politics run rampant, gender discrimination is still quite prevalent, despite all the internal corporate propaganda stating otherwise. And nobody,... man nor woman, should feel comfortable growing old there. Experience has become a liability as the company is clearly focused on lowering the average age (and salary) of non-management employees through attrition, targeted layoffs and firings.

You shouldn’t consider Bloomberg News as a mid-career journalist. If you’re age 40 or older, don’t even bother applying. You probably won't even land an interview, let alone get hired. They have been actively recruiting minorities and LGBTQ people, though. So there might be some exceptions if you fit any of those categories. It does seem like a good fit for a kid just out of college looking to get some experience and then move on to something better. Sadly, it’s become that kind of place."
"5","No advice because it all appears to be going according to their plan."
"6","- Don't take much risk on the business front anymore : Incremental improvements at that stage . The revolution was yesterday
- Work hard but moderate rewards. Forget about the shares : You will only be an employee ... forever  
- Career progression is limited due to flat structure"
"7","Accept we are like Microsoft in 2010 and do something about it.  Be bold"
"8","Data Analysts in Princeton office are basically the guinea pigs running on the metrics wheels driven by free food & good health coverage."
"9","it is no longer a high growth environment"
"10","Too rigid in their management, micromanagment, inflexible working policies"
"11","Firm has an issue with experienced workers.  There is a ""Glass Ceiling"" but instead of being about gender, it is about age.  Once this was not the case but current mgmt seems to be intent on lowering the average age and experience level of employees"
"12","If you are planning on selling the company do it already."
"13","- Stability: when you don't eat what you kill, people can get a little bit complacent. Fewer incentives to change and try new things.
- Management: while the edit-in-chief right now is brilliant, the organization is a little bit top heavy."
"14","Strict hours, need to do overtime if late"
"15","Better food"
"16","Rampant office politics
Not great advancement opportunity if minority"
"17","There has been an increase in numbers of arrogant, bullying and unprofessional people hired from investment banking culls, working in Business/Product Management teams and creating an increasingly toxic environment for others. Acting like failed traders with a chip on your shoulder will only make yourselves known as such."
"18","Lack of meritocracy and transparency despite what senior management says.
Poor middle management."
"19","Long hours, staff turn over seems a bit high"
"20","Bloomberg Intelligence claims to be the research arm of Bloomberg Professional Services. It is not. Senior management alleges Bloomberg Intelligence offers forward-looking analysis, but their product is little more than mundane news pieces."
"21","Consider offering training, mentorship, guidance, or general support for new employees. Doing so might change the turnover rate."
"22","Oversight, single point decision making from senior management without checking the consensus view"
"23","no cons good experience so far"
"24","Nothing much to say about the downside."
"25","- Data teams lagging in terms of moving operations from manual entry to smoother automated processes"
"26","Boring, dull tasks, low skill development"
"27","Not honest about salary, make you feel bad for bringing it up."
"28","Strict working hours 8-6
Understaffed"
"29","See outside of the box
Recruit people who have worked elsewhere not only bbg employees"
"30","Sobre a gerência:
Falta de autonomia - não decidem o cash flow de nada
Falta de liderança 
Falta de visão
Transparência 
Acreditam que os resultados vem de suas decisões mas na realidade vem de seus produtos 
Com resultado, isso acarreta:
Falta de perspectivas nas carreiras,
Desmotivação, acomodamento.
Maior risco: vc sair de lá um funcionário caro e sem muito valor para outras empresas."
"31","Gerência americana deveria olhar mais de perto para o que acontece no Brasil. Mudar o status quo  de alguns diretores não faria mal a ninguém."
"32","No cons. Great company to work for"
"33","Salary is comparable to the tech firms but the cash bonus is far lower. No stock vesting option."
"34","The morale is getting low after seeing good people retrenched. They are not the worst performers."
"35","Commute to work is the only con"
"36","Not much work from home
No remote work
The monolith needs to be turned into more microservices"
"37","Please Michael, run for president!"
"38","Long working hours, disrespectful sales team, need to have a real interest/understanding of financial markets (not really a con but not but it isn't for everyone)"
