"","X1","pros_page1","pros_page_rating_value"
"1",1,"Relaxed environment with interesting tech.","4.0"
"2",1,"Good perks 
Chilled environment
Great product
stiff learning curve","5.0"
"3",1,"Competitive pay (although they're whittling it down fast), decent health care, 401(k), free snacks and coffee.","2.0"
"4",1,"- Smart Colleagues willing to help and do stuff 
- Possibility to learn about pretty much anything and touch to any subject making it an intellectually challenging place (if you want)
- Amazing offices : You can meet the all world here
- Vibrant culture","4.0"
"5",1,"Free food, free pass for NYC museums","2.0"
"6",1,"its still the leader in financial information.","3.0"
"7",1,"Good opportunities for lateral and horizontal move, good hiring, great people, great perks","5.0"
"8",1,"Great Benfits - 100% Paid Medical - Philanthropy  - Dollars for Hours match for volunteer work","3.0"
"9",1,"- Colleagues: as other media outlets have shrunk, Bloomberg had sucked up a lot of that talent. You get to work with pretty high-class people.
- Internal mobility:  the company encourages people to move between reporting teams and locations.
- The platform: the stories vary depending on the audience they target, whether it's terminal users, web readers or Businessweek. There is also TV and TicToc on Twitter.
-... Stability: the terminal makes the money, so reporters are shielded from a lot of direct financial pressures journalists are subject to at most media companies.
- Pay: it's finance-related, after all.","5.0"
"10",1,"Nice co workers, smart staff and fun holiday events","4.0"
"11",2,"Large budget
Above-market salaries
Global office presence","4.0"
"12",2,"Fair compensation.
Amazing office and mostly amazing colleagues.
Solid work/life balance.","5.0"
"13",2,"Growth opportunities, learning is encouraged and there are a lot of courses available
Amazing office and people to work with
Volunteering opportunities","2.0"
"14",2,"No pros whatsoever in this awful, awful place.","4.0"
"15",2,"Entrepreneurial spirit, Flexibility to chart your own career in different areas of the business, mobility between different geographies","2.0"
"16",2,"great job stable free snacks","3.0"
"17",2,"Great colleagues to work with.","5.0"
"18",2,"- Great benefits
- Solid work/life balance","3.0"
"19",2,"Excellent work life balance, pleasant work culture","5.0"
"20",2,"Opportunities for education","4.0"
"21",3,"Opportunities for education","4.0"
"22",3,"Free food
Business travelling 
Good benefits","5.0"
"23",3,"Ambiente de trabalho 
Produtos disponíveis 
Benefícios e salários em carreira inicial 
Fácil mudança para carreira internacional","2.0"
"24",3,"Great company with a well diversified team. Plenty of opportunity to work and travel nationally and internationally.","4.0"
"25",3,"Flexible work arrangement is available. Not compulsory to work overtime.  Great retirement benefit.","2.0"
"26",3,"Company really knows how to take care of the employees. Great atmosphere","3.0"
"27",3,"Medical Care
Aquariums
Equipment
Located in NYC
A building full of really smart people","5.0"
"28",3,"Great office, smart colleagues, growth opportunities, good benefits, volunteering opportunities, travel opportunities","3.0"
"29",3,"The analytics training program provides employees with an excellent foundation in market concepts. I found their Fixed Income training the best a recent grad can acquire.  Additionally, there are excellent exit opportunities from what I've heard from past employees.","5.0"
"30",3,"Kitchen has snacks, very upmarket office","4.0"
"31",4,"Amazing environment and people to work with","4.0"
"32",4,"great culture, great mix of people with exciting compensation & benefits","5.0"
"33",4,"Large organization with a global presence, benefits and snacks are generous.","2.0"
"34",4,"Great culture, people and benefits","4.0"
"35",4,"Salary, Diversity, Challenges, Internationality, yearly Summer Picnic","2.0"
"36",4,"Great product, evolving in the marketplace","3.0"
"37",4,"Mentor culture, down to earth work ethics, work life balance, superior health package","5.0"
"38",4,"good benefits and insurance
fair salary 
learning opportunity","3.0"
"39",4,"Great people, excellent work culture","5.0"
"40",4,"good location and free coffee","4.0"
"41",5,"Lots of resources to use day to day","4.0"
"42",5,"Great benefits and employee compensation package, tuition reimbursement, free food all day,  work/life balance, good team lead, challenging work if you know how to navigate around it. Your experience is up to you.","5.0"
"43",5,"Awesome culture, good people, free snacks","2.0"
"44",5,"Second to none benefits, culture, and snacks!","4.0"
"45",5,"É uma empresa enorme, com uma quantidade excelente de benefícios, pantry, bom plano de sáude, salário compatível e etc.","2.0"
"46",5,"Ótimos benefícios, ambiente leve e descontraído.","3.0"
"47",5,"Open, collaborative, allows internal mobility, excellent benefits, excellent culture","5.0"
"48",5,"Great opportunities within the company
Possibility to learn constantly thanks to good trainings 
Good corporate culture
Incredible offices","3.0"
"49",5,"You learn a lot with trainings","5.0"
"50",5,"good culture, great company, fantastic benefits","4.0"
"51",6,"good culture, great company, fantastic benefits","4.0"
"52",6,"Good culture, good senior management, transparency, flat hierarchies","5.0"
"53",6,"Team collaboration, environment and product","2.0"
"54",6,"Great benefits, offers many opportunities for self development,  management invests in subordinates","4.0"
"55",6,"Exciting and interesting projects to tackle.","2.0"
"56",6,"free culture, pantry, nice people","3.0"
"57",6,"Great compensation, some amazing people. Bloomberg access.","5.0"
"58",6,"Medical Benefits
Lateral movement
Free Food
Good Working Environment
Encourages collaboration","3.0"
"59",6,"Good location
Good medical health insure","5.0"
"60",6,"Good culture
Fast paced 
Change is a part of daily life","4.0"
"61",8,"+ great work life balance
+ company/managers take good care of you
+ hard-to-get-fired environment
+ lots to learn as a fresher straight out of college; but run after a couple years!
+ great training programs and resources","4.0"
"62",8,"Great company to work for. Good pay, great benefit, good reputation.","5.0"
"63",8,"Learn a lot if interested to do so","2.0"
"64",8,"Colleagues, atmosphere, team, work load","4.0"
"65",8,"Good perks, health care, dental care, subsidised gym membership, good salary and yearly reviews.","2.0"
"66",8,"Free soup; competitive benefits; cool offices","3.0"
"67",8,"Bloomberg is good for flexible working, staff welfare and general practices.","5.0"
"68",8,"Flexible program, breakfast, pantry snacks.","3.0"
"69",8,"Easier for junior sales to get early career exposure.","5.0"
"70",8,"many perks, good working environment","4.0"
"71",9,"good work life balance and smart people","4.0"
"72",9,"Great culture, quality of life","5.0"
"73",9,"I had some wonderful colleagues who deserved much better treatment than they received at Bloomberg.","2.0"
"74",9,"Great benefits and open culture","4.0"
"75",9,"Viagens, benefícios, clima, cultura de diversidade","2.0"
"76",9,"Ability to do your own research and drive product","3.0"
"77",9,"Ótimos benefícios empresa proporciona muito conforto aos funcionários","5.0"
"78",9,"good fundamental knowledge in fixed income, more than most other places","3.0"
"79",9,"Nice philanthropy opportunities in the company. Most of the profits are given for charity and great Kuddos for that!","5.0"
"80",9,"Great training and development opportunities of work hard","4.0"
"81",10,"I was in a very good technical team
Really nice place
Relaxing atmosphere, did not feel the pressure
A lot of intern events, but there are not many mandatory ones
There is food on the events","4.0"
"82",10,"Great place to start your career","5.0"
"83",10,"Good corporate culture
Lots to learn","2.0"
"84",10,"Great training class and lovely working environment","4.0"
"85",10,"Work-life balance, Perks, colleagues, environment","2.0"
"86",10,"Great people to work with","3.0"
"87",10,"Learning experience in FIX protocol","5.0"
"88",10,"good benefits, stability, friendly culture","3.0"
"89",10,"- Bloomberg and Thomson Reuters (Refinitiv) dominate the market data sector. Both have steady cashflows, while BBG is somewhat better managed. 
- Perks like free snacks and drinks, nice offices around the world
- Well-established training programs for fresh grads","5.0"
"90",10,"Good benefits, good opportunities to move within company","4.0"
"91",11,"Camaraderie - you will meet some lifelong friends
Opportunities to move to different areas of the business","4.0"
"92",11,"The best company I worked for","5.0"
"93",11,"The quiet editors deemed unfashionable whose ability to take copy that is akin to scribble and turn it into something legible are the unsung heroes of that place. Sadly the scribblers tend to be promoted.","2.0"
"94",11,"I think Bloomberg is an amazing company,  i worked 3 years in another country and moved to the US and been working for Bloomberg for 5, the benefits and the work life balance is good and its a very organized company.","4.0"
"95",11,"Some great people, typically the ones that don't hang around too long","2.0"
"96",11,"Pay is decent, I wish I could say more.","3.0"
"97",11,"Great benefits, everyone is super nice, and if you are proactive you can succeed","5.0"
"98",11,"-Nice office with good views
-Pretty good work life balance
-Decent pay","3.0"
"99",11,"You will get the best opportunity to rub shoulders with one of the best and great minds working in Finance industry","5.0"
"100",11,"Meet some really genuine people, pantry. Pay is decent enough with no real incentive to go extra mile. Performance review process can be doctored with zero transparecny in the process. Constant over internal emphasis on a culture that is preached but hardly practised which demoralises and fosters detachment.","4.0"
"101",12,"Hard-working colleagues from diverse backgrounds","4.0"
"102",12,"Great introductory role into financial markets, great people with in depth knowledge teaching new joiners.","5.0"
"103",12,"great company, well paid job. lots of perks","2.0"
"104",12,"Dynamic 
The people 
Fast paced 
Perks","4.0"
"105",12,"Great benefits. Stocked up kitchen. Beautiful office space. Give lots of awards and title changes. Good resume builder. Also good as one of your first jobs out of college","2.0"
"106",12,"Used to have free lunch . Not anymore.  Cannot think of anything else.","3.0"
"107",12,"Great benefits, Great pay, Great company","5.0"
"108",12,"Good software practises, large diversity of teams and products, great perks for a financial company.","3.0"
"109",12,"A lot of young people","5.0"
"110",12,"Good team, fun environment to work for","4.0"
"111",14,"Really flat structure, open, good work/life balance culture","4.0"
"112",14,"Good salary and good culture","5.0"
"113",14,"estavel, e baixa pressao... boa qualidade de vida","2.0"
"114",14,"Ótima empresa. Ótima remuneração e benefícios. Cultura muito forte e respeitosa. Pessoas muito competentes e profissionais.","4.0"
"115",14,"High pay. Especially high base salary. Good benefits.","2.0"
"116",14,"Excellent work environment and benefits, fast moving culture and challenging projects.","3.0"
"117",14,"Very diverse and fast pace work environment with great benefits package & time off","5.0"
"118",14,"Great place to grow your career in the world of finance, tech and business","3.0"
"119",14,"Great culture, a lot of smart people and good work life balance.","5.0"
"120",14,"kitchen, location, access to Bloomberg","4.0"
"121",15,"kitchen, location, access to Bloomberg","4.0"
"122",15,"interesting technologies to learn and work with, smart people, large company  with a small company feeling.","5.0"
"123",15,"Benefits, Salary, Employment Stability, Good Travel Policy","2.0"
"124",15,"when you leave the office, there is little expectation of doing work","4.0"
"125",15,"Good benefits overall : Pension, Health, Life, Dental..","2.0"
"126",15,"Great salary, excellent company benefits & office with a view","3.0"
"127",15,"Management is flat and friendly environment","5.0"
"128",15,"Very dynamic environment, lots of windows, great team, lots of volunteering opportunities.","3.0"
"129",15,"Good Benefits, nice culture energetic","5.0"
"130",15,"Great benefits and office environment","4.0"
"131",16,"Good perks including hotels and flights","4.0"
"132",16,"Company values, benefits, pay were good.","5.0"
"133",16,"Vale transporte
Horario de almoco mais flexível","2.0"
"134",16,"Great exposure to the company, shadow many departments, great place to start and know where you want to go.","4.0"
"135",16,"American culture and friendly environment. Great people. There are many projects that make the work more interesting.","2.0"
"136",16,"Mike Bloomberg is a visionary

Top notch benefits and paid time off

Exceptional focus on philanthropy if you want to participate

Incredible headquarters building

A truly disruptive technology that changed the way information is disseminated in the financial markets

Team environment

If you are selling at Bloomberg you will never have to work a weekend","3.0"
"137",16,"culture, diveristy, work environement, challenging","5.0"
"138",16,"1)  Salary slightly above market rate.
2) Most managers are reasonably good and fair.
3) Global exposure.
4) Work/life balance.","3.0"
"139",16,"Good training, company perks","5.0"
"140",16,"Friendly and transparent working environment.
Free snacks, fruits and drinks in pantries.
Great benefits (401K, Health/Dental/Vision insurance and so on) 
Flexibility in working hours.","4.0"
"141",17,"Free canteen, reasonable hours, decent modern office","4.0"
"142",17,"Good exposure for all kinds of clients","5.0"
"143",17,"Coffee, Yoga, Drinks, Flexible Work Clothes, Great Culture","2.0"
"144",17,"Dedicated people. Good work life balance.","4.0"
"145",17,"It's a well known brand with some really amazing products compared to its competitors,  it's well respected in the industry so the sales job is a bit easier compared to others.","2.0"
"146",17,"Likely best company in financial services in terms of benefits","3.0"
"147",17,"Invest heavily to train fresh graduates.  They tend to promote young people.","5.0"
"148",17,"Pantry, great office supplies; high skilled professionals in almost every field.","3.0"
"149",17,"great benefits 
fun people in some departments 
stability","5.0"
"150",17,"Too many to list. Health, wealth, work/life balance,","4.0"
"151",18,"Open culture, flat heirarchy, flexibility to pick projects and develop new skills","4.0"
"152",18,"great pay. Bloomberg pays for top quality employees. The benefits are great. If your manager likes you, you have a lot of resources to accomplish your goal. And Bloomberg would spend lot of resources to accomplish its goals.","5.0"
"153",18,"Great offices and benefits, good salary.","2.0"
"154",18,"Very smart colleagues; highly international organisation; feeling of being part of something special; always at the cutting edge of developing news.","4.0"
"155",18,"Lay back and interesting at times","2.0"
"156",18,"Great culture, generally relaxed environment, lots of smart people. You have lots of freedom choosing what you want to work on.  Great work/life balance.","3.0"
"157",18,"Bloomberg is a legit and well respected company. The CEO is amazing and some awesome colleagues. Plenty of young colleagues (if you're younger and starting out). Volunteering activities are great. Company is serious about philanthropy.","5.0"
"158",18,"Pantry, lots of events and opportunitites.","3.0"
"159",18,"Benefits and compensation are very good","5.0"
"160",18,"Good work culture, smart people. Free food (though only soup for lunch). Great benefits. Amazing location. Volunteer opportunities as well as ""communities"" (clubs) provide a fun social scene.","4.0"
"161",19,"Good work culture, smart people. Free food (though only soup for lunch). Great benefits. Amazing location. Volunteer opportunities as well as ""communities"" (clubs) provide a fun social scene.","4.0"
"162",19,"good pay, good people, nice office","5.0"
"163",19,"My department is incredible. Everyone is cooperative and truly cares about each other and our clients. It also really incentivizes you to grow within the company and explore new projects.","2.0"
"164",19,"Great Company with a great mission. Good compensation with leading benefits","4.0"
"165",19,"They have good work/life balance, and good benefits","2.0"
"166",19,"- Central London location
- Amazing building
- Good perks
- Diverse teams
- Nice pantry with snacks
- Training is very well structured","3.0"
"167",19,"- Culture
- Office environment and well equipped pantry
- People - multinational full of young and bright minds
- A lot of responsibilities and growth opportunity","5.0"
"168",19,"Lots of perks and pays competitively","3.0"
"169",19,"* Great Health Care 
* Free Snacks
* Intelligent/Driven Co-Workers","5.0"
"170",19,"Loved company culture and diverse group of employees.  Great place to work and learn a lot not only about your department but about other departments as well. I learned a lot of valuable skills.","4.0"
"171",20,"Good work environment and nice colleagues","4.0"
"172",20,"Challenging and get things done culture","5.0"
"173",20,"Fun atmosphere 
great discounts 
awesome pay (if you work hard enough for commission)","2.0"
"174",20,"Brand name, nice office, good compensation","4.0"
"175",20,"The people, culture, benefits, work hours, access to training, and more. The product we sell and the clients we serve covers a wide array of the financial sector and financial products, with solutions as specific to analyzing very complicated securities all the way to front-to-middle-to-back enterprise offerings. Working with those tools and the clients who use them provides access and insights to the markets inner... workings that would be hard to find anywhere else.","2.0"
"176",20,"Decent work environment, good benefits.","3.0"
"177",20,"Bloomberg is an amazing company with a very strong culture. The company is an especially good place to start when early in your career, as it carries strong name brand recognition and offers regular training, in addition to great benefits.","5.0"
"178",20,"Work life balance
Decent pay
Easy work","3.0"
"179",20,"Great culture, flexible and fun","5.0"
"180",20,"Good working environment, facilities and compensation","4.0"
"181",21,"Beautiful building and great colleagues","4.0"
"182",21,"Bloomberg is a major global provider of financial news and information","5.0"
"183",21,"- Been here over 5 years, always have been encouraged a healthy WLB. 
- the work has always been interesting
- Food is great (NJ office). 
- Internal mobility is encouraged.
- philanthropy is highly encouraged and it feels good to work for a place trying to make the world better","2.0"
"184",21,"Cutting-edge company on the forefront of fintech","4.0"
"185",21,"Good training and development","2.0"
"186",21,"The benefits are some of the best you'll find in the business: No healthcare premium, great 401(K) match.","3.0"
"187",21,"At the forefront of financial information, data and analytics.","5.0"
"188",21,"Secured job, ok compensation","3.0"
"189",21,"You can be part of a company that has a significant impact on the financial world.","5.0"
"190",21,"- Lots of focus on development, growth
- Great opportunities to work across teams
- Strong, supportive culture that seeks to build bridges
- Outstanding benefits","4.0"
"191",23,"nice environment and nice staff","4.0"
"192",23,"Great work life balance, focus on philanthropy, great team and coworkers, dynamic culture, fast-paced working environment, excellent benefits, high early career compensation growth.","5.0"
"193",23,"The office has a nice view of the water and Micheal Bloomberg is a great guy","2.0"
"194",23,"Lots of training
Good comps
Great product
Great global leaders","4.0"
"195",23,"A really great working culture","2.0"
"196",23,"- Strong focus on positive and nurturing culture .
- Great benefits , one of the best health insurance in the city 
- Good work life balance 
- Focus on continuous learning through many in-house training programs","3.0"
"197",23,"Great benefits
Slightly higher than average salary 
Free snacks/dinner or lunch 
Good working environment","5.0"
"198",23,"Great Wellness, Health and Professional Support","3.0"
"199",23,"Best Culture, No Stress, Amazing Team, Free food","5.0"
"200",23,"good culture really helpful colleagues","4.0"
"201",24,"Culture is very welcoming.  Lots of opportunities to give back, lots of internal issue groups to join, flexible schedules available.","4.0"
"202",24,"Great perks, culture and a lot of learning opportunities within the firm, pay well and you get a lot of exposure to different financial products and roles.","5.0"
"203",24,"Snacks, smart people, travel and good salary","2.0"
"204",24,"Great benefits and culture, my team also allows for great work life balance","4.0"
"205",24,"* Outstanding company to work for in terms of aptitude of people, healthy office culture, investment in product development and quality of product, relentless high touch focus on the customer. All the benefits you might expect from a global FinServ firm. 401k match, quality healthcare benefits, generous vacation time, in-office perks etc.

* Generous base salary especially through career progression and... out-performance. Sales bonus compensation is not directly tied to target/quota achievement making for a much more consultative, relationship based and less aggressive sales environment for clients. Qualitative / culture based metrics ensure high performance is not only based on quota, territory etc.

* Move towards more of a dollar quota culture in recent years is positive. Especially for Bloomberg terminal core sales staff this presents an opportunity to become a true enterprise account executive, versus traditionally selling units / terminals. This in turn becomes a more transferable experience. The high calibre sales people at Bloomberg I know of have embraced this change.

* Exceptional sales support network for post sales client support from the Analytics department and wider product/support groups. This takes admin-weight off sales significantly and has improved massively over the last 5 years. 

* Whilst a healthy pressure exists to hit quota, Bloomberg sales is not a cut-throat sales environment like e.g. Salesforce. This promotes a much healthier, collaborative working environment where sales are not stepping on each other. There is monetary recognition of collaboration and other BBg culture metrics.

* Strong culture of internal promotion especially into leadership positions -most of which are filled through home-grown talent. For me personally this was recognized through generous compensation at each stage. Still a concerning lack of female talent promoted to sales management, despite recent efforts to change this.","2.0"
"206",24,"Ethos, Benefits, Flexibile Working, Colleagues","3.0"
"207",24,"Prime office location, very nice office. Plenty of free snacks / breakfast / lunch and many activities.","5.0"
"208",24,"Great workplace, positive people. Great work-life balance.","3.0"
"209",24,"Great culture and open opportunity. People are so hardworking and willing to help. Managers are very positive to your future plans.","5.0"
"210",24,"Flat communications. No bossy employee that I found in the office. Everyone was very friendly even in different dep people","4.0"
"211",25,"Viagens internacionais pagam para qualquer funcionário em business class. Hotel cinco estrelas, cartão de crédito para despesas, kitchen para café da manhã e petisco, excelente edificio estrutura excepcional","4.0"
"212",25,"Great benefits and people and amazing place to work if you are good at networking","5.0"
"213",25,"Good company and offer good salary","2.0"
"214",25,"Lots of opportunities for projects, great compensation package, lots of perks in the office","4.0"
"215",25,"good office environment, techonology driven,young teams","2.0"
"216",25,"Bloomberg is a great place to work...if you're in the right department","3.0"
"217",25,"Great work environment. Great boss","5.0"
"218",25,"Potential to be more dominant than it already is.","3.0"
"219",25,"You will be learning new things","5.0"
"220",25,"relatively good compensation compared to others","4.0"
"221",26,"Development and company culture. Work and life balance.","4.0"
"222",26,"Fast moving
You will learn at your own pace","5.0"
"223",26,"Good pantry, good health insurance","2.0"
"224",26,"Pay/benefits are great. The company is innovative and well-funded. The culture of philanthropy makes it worthwhile to go to work.","4.0"
"225",26,"The benefits and unlimited snacks
Free Health care
Competitive 401k","2.0"
"226",26,"An AMEX with unlimited spend on business trips - which they will make you do a lot of unless you are on the helpdesk or get one of the coveted London based roles which are like gold dust","3.0"
"227",26,"If you're interested in current affairs/ news and technology you can go in-depth and learn a lot. The job gives as much as you're willing to take from it; it's a fast-past and stimulating place to work.","5.0"
"228",26,"Great building, nice package such as health insurance options, etc.","3.0"
"229",26,"* Free Snacks
* Free Soup
* Beautiful Pantry
* HealthCare Benefits (BWELL)","5.0"
