"","x"
"1","I think the lower rungs of the employment chain make the worst money. If you pay your dues, you might get promoted."
"2","Developers are expected to be on call twenty four hours for support of systems.  Fun once in a while but can quickly become too much if you are working on a downstream systems.  Endless data changes will keep you beyond busy."
"3","An entry level security guard will advance further than someone with a degree who works on the trading floor as a Market Reporter. I TOTALLY AGREE with the other reviews."
"4","Management can be incompetent--particularly managment at the floor operations level.  Review system is ridiculous-almost have to walk on water to recieve a 3 out of 5 on rating system."
"5","Unwillingness to change the set ways of some officers."
"6","structured, more political than it used to be 4 years ago, top heavy, integration issues, technology division does not operate uniformly, QA problems are solved by throwing more people, too much manual testing, useless directors"
"7","Departments are siloed both internally and externally.  Communication is not the best inter-departmentally.  With the size of the company being what it is one would think the company would be much more nimble than it currently is.  It takes a long time to get simple little things completed unlike the large impact project."
"8","Seniority generally matters quite a bit in promoting.  Generally I did not find much to complain about at CME Group.  After the Board of Trade merger there were substantial layoffs, but those were caused by the merger and do not seem to carry over at all."
"9","Organizational structure is questionable and manager performance can be sub par at times. Workload can be somewhat demanding at times and will often require additional hours to be put it on the weekend for the busier weeks. With a large IT department within the company there are times when communication is not effectively established across given departments which in turn hinders the work process. 

The overall... structure of the company is efficient, but at times it seems as if the two divisions are organizations of their own which can cause some slight problems. Other than that, in my time there I didn't experience too many major downsides to CME Group."
"10","Across groups, management does not work together, preventing the transfer of knowledge and lessons learned across the enterprise.  Poor development practices enforced and encouraged in non mission critical areas.  The ""heroes"" are rewarded over people who prevent the issues in the first place.  The heavy bureaucracy of a large exchange prevents the introduction of new software development practices without a hard... fight."
"11","Poor work life balance, hope you don't like your Saturdays and when random Production issues occur.  Cliquish, if you're not in with the right crowd you will no receive the same treatment when it comes to bonuses, promotions etc.  If you're good at playing the game, you'll be fine.  People hold on to knowledge, don't want to share."
"12","mediocre compensation - especially at lower ranks"
"13","Too much politics and favoritism. People are more interested in oneupmanship than actually getting any work done. Hard work should be recognized and rewarded appropriately."
"14","* Work / Life balance can be challenging at times.  Depending on your group / role, there may be frequent Saturday work.
* Crazy work pace at times. Many high priority projects
* Some counter-productive employees seem to be able to survive and remain employed
* Not a major con, but you will see a good amount of nepotism 
* Raises were mostly flat last couple of years."
"15","managers are promoted because they are great at their jobs and have industry expertise however, they receive no guidance on how to treat the staff they are responsible for.  

Huge learning curve in the futures industry when you are coming out of college.  There is very little formal training."
"16","Management is underqualified and leaves employees feeling that they can do a better job than their superiors

The education courses are a waste of time because over half the class is used explaining common issues and does not leave enough time to even complete material"
"17","While I understand that it is the norm to have cubicle farms at larger companies, I find them to be limiting.  My boss was a 5 min walk from my desk and I felt like I had little interaction with them.  The corporate culture was also unlike some of my previous experiences, not bad, just a very 9-5 vibe with many employees with very little passion."
"18","If you don't like to put in the hours... Don't bother. If you don't like constant changes... don't bother. If you like to get settled in doing the same thing every day.... don't bother. Change is constant.... change is good"
"19","CME Group has a very deep hierarchical organization which leads to a lot of politics, turf battles bringing a lot inefficiencies, unflexibilities, difficulty to have important decisions made."
"20","The adage ""It's not what you know but who you know"" appears  to be the rule in many of the hiring and promotional decisions."
"21","Please listen to the feedbacks and take action . It is not worth just collecting it once in every 6 months."
"22","CME does an awful job of handling their consultants. They treat them very poorly going out the door. I saw two instances where giving CME 2 weeks notice worked against those people. In one instance the consultant gave notice at 9 AM and was kicked out before 10 AM. The second instance a consultant gave notice EOD Monday and was let go EOD Tuesday. More than a few supervisors have less than stellar communication... skills (i.e. snarky, rude, snide, condescending commentary is the norm)."
"23","lack of direct communication channel"
"24","It sometimes seems apparent that we are a small company that grew very quickly (due to mergers and / or  acquisitions)."
"25","Managers show favoritism in who gets promoted, the least capable become managers because they are favorites of the boss. Incompetent people are allowed to stay even though they aren't producing at all. Tons of drama all the time due to unprofessional behavior by managers. Employees who act like kids are allowed to continue in their behavior. Bonuses have dried up and raises are very low compared to what they used to... be."
"26","Like any large corporation, there's lots of red tape and bureaucracy in between you and getting your job done. Politics and personality defects sometimes get in the way of good software engineering. It is a fight to get open-source solutions approved."
"27","limited flexibility in terms of transitioning departments, lots of politics, and never enough drama"
"28","Career advancement is not clear.  The culture of favortism is strong.  Senior Management has a tendency to advance their lunch-buddies.  This leaves little or no room for advancement to managerial roles.  You literally have to leave your department to move up within the company."
"29","-cultural shift as a result of exponential growth (more corporate/structured/rigid)
-senior mgmt not in tune with level/volume of work being done at staff level"
"30","My department has little promotion ability."
"31","Hard to move around the firm"
"32","Technical experts lack competency relative to other industry"
"33","Employee and trading floor morale is down in the gutter. Floors that were once occupied with staff are now empty halls. The majority in charge manages from Chicago, which is pretty frustrating if you work in New York."
"34","Promotions and compensation not evaluated the same across the department and departments and management doesn't keep the department informed."
"35","CME Group's culture closely resembles the culture of a bad high school movie. Everyone who is in the ""in-crowd"" can expect to receive favorable raises and promotions, in spite of ability. Those who are ""outsiders"" can forget it. Education and ability are not equally rewarded, while incompetence is handsomely rewarded. And if you have the misfortune of belonging to a minority group, your chances of advancement are... nonexistent. Before the misguided purchase of the CBOT, one of the bylines of the CME was ""the Exchange of Ideas."" Unfortunately, a lot of the prevailing ideas concerning fairness and diversity at the Merc resemble some of the more odious ideas which were prevalent during the 19th century."
"36","This is the worst place to work for, for a good software developer. All the guys who can't program or can't do anything productive get promoted to Associated Directors. Then the same crappy folks are in charge of reviewing the performance of bright developers who do the real work ! It's like an inverse pyramid, they have got the rotten people on top, on an average there are 2 managers for each dev/qa/analyst person.... Lot of red tape, politics goes on than real work, with so many Associate Directors it is normal to expect I presume.
One person takes the status, another person print it in excel and brings it to the meetings, another person reads it in the meetings, another person takes meeting notes and emails it out.
It takes on an average 10 years to build a new system cause of mismanagement and poor or no vision at all, that's why most work is maintenance/support work. 

All these factors naturally tend to promote mediocrity."
"37","The tendency to hire outside talent for high-level positions is disconcerting and underscores a lack of in-house career advancement and development. Also, politicking can get annoying."
"38","Too political, no compensation, no room for growth. Promotions are not based around any set criteria and given arbitrarily by senior management. No performance raises or even much praise for a job well done."
"39","Management needs leadership training. Some of the junior management have no clue on management and people skills. They can be traffic cops with attitude!"
"40","Highly competitive and fast changing environment means one has to study in order to keep up with both the many technology and strategic initiatives."
"41","Very difficult to advance without politcal connections"
"42","One of the most frustrating organizations I've ever been a part of.  Directors don't show up to meetings and don't prepare for anything.  There is a total lack of leadership and reinvestment in employees careers.  Directors (its really only one bad egg) controls junior managers in such a way that they are terrified to manage their employees properly.  A the first instance that an employee shows a desire to move... ahead the directors knock them back because they are afraid the employee will potentially move ahead of them because they are far more competent.  Apathy is so widespread throughout company that it seems as if the whole operation may fold at any point.  Utterly no employee reviews.  Zero transparency on compensation rewards and promotions.  Truely a disasterous organization that can largely be attributed to one persons power and controlling tendencies."
"43","bureaucratic and at times extremely political"
"44","Trying to create a culture but won't happen without management buy-in."
"45","If you're not in the in-crowd or if you're non-European, you're prospects for raises and promotional activities are nonexistent."
"46","Unrealized potential from junior employees because of inflated egos on the senior management side. Leadership on the operations side is completely and utterly incompetent. A very demeaning and frustrating envronment to work in. Junior Managers are absolutely inept and have barely any financial/capital markets knowledge beyond repeating key words, which they may have heard from an even more inept director in a... self-fulfilling and meaningless meeting; all as a result of a constant state of fear from senior management. Constant culture of lying to clients out of fear from internal retribution from specific directors; unethical, complete breakdown in communication, hiding/lying/back-stabbing and overall in desperate need of a rigorous cleaning up of management structure."
"47","the firm is getting too large to move quickly"
"48","Costs more to work for them as an intern than you actually make.  Work can be mundane and completely unnecessary at times.  Work to make work."
"49","need investement"
"50","Some communication lacking between divisions/teams."
"51","-Very poor pay relative to similar jobs in industry
-Very poor treatment (lack of respect, lack of encouragement, lack of promotion)"
"52","--- Outsourcing key development positions
--- Trimming stateside head count in dramatic numbers
--- No room for advancement
--- Overall direction is no longer clear
--- Sadly, we are no longer encourging talented people to stay.  High turn over ratio within the company
--- No management training - they are moving individuals into management positions that they are completely unqualified for but they are not... providing them with the skills [advanced training] to succeed.  This driving talented people out of the company to escape bad management.  When a stateside employee exits, we replace them with off shores consultants."
"53","don't cover up and endorse it"
"54","Not everyone will get the same recognition immediately, but you keep doing the good jon, will get the appreciation eventually"
"55","big egos, nerdy techs, politics, inefficient managers trying desperately to hide the fact that they are two stations beyond their competency level. Insulated leadership. Arrogance with a capital A."
"56","Good old boy network.  Lots of Fraternity buddies in various departments. Just playing at Agile Development, not practicing it.  If you are not ""in"" with one of these groups, advance can be very difficult."
"57","Keep up the good work."
"58","Employee skill levels vary. Generally older community than at an IT-centric company. Occasionally bureaucracy can impede progress."
"59","Not enough communication and mentorship from leadership."
"60","Poor organization both inter- and intra-department, unclear or non-existent job descriptions, often long work days, ineffective performance evaluation system."
"61","Usually, management does not want to hear about your opinions or ideas. The subjective annual reviews are often unfair and do not reflect the actual effetiveness of the employee."
"62","Limited career growth; limited access to other departments within the company; mundane daily work"
"63","it is a flat company"
"64","No proper management.Lack of proper goals.No clear deadlines.And complete confusion inside the team."
"65","Limited career opportunities, especially for non-Chicago employees and market reg employees"
"66","Overall, it seems like a lot of people are unhappy with management and looking to leave. I'm not sure if they are the type of people that will be happy working anywhere. You have to do a lot of writing and defend your work with data (often times over and over again). Sometimes it feels like you are assigned more work than you could possibly complete in the time given (isn't that every job though). However, people... and management are usually supportive and understanding of the time needed for the tasks assigned."
"67","Poor peformance of stock price"
"68","You can not solve all problems by spending money"
"69","Lack of loyalty, management unavailable or unaware, little room for advancement"
"70","Politics in the workplace take precedence over hard work."
"71","Treatment of employees should be a little more personal.
Management should be more empowered"
"72","Work at home is not promoted, even 1 day a week."
"73","There tends to be a lot of corporate politics in the organization."
"74","poor management and HR, cover for each other at staff's expense"
"75","Muchos sistemas legados a causa de la integración de muchas empresas y sistemas que se van eliminando y consolidando de forma gradual."
