"","cons_page1"
"1","hard to advance career, but can move laterally"
"2","Nothing of note, somewhat of a change of culture in the office over the years"
"3","Many our manager only focused on their career move and favor ""friends"" they already knew. If you are from wrong family, tough break! Old staff do not provide full instruction."
"4","We are promised opportunity but have same problems from home with managers who only have ""inner circles"". All their job is talk to higher manager and ignore staff from ""wrong"" town. You must consider all!"
"5","Nothing as such comes my way"
"6","Nothing as such"
"7","management is bad an got vested interest and hence not transparent"
"8","well , india management needs to be transparent"
"9","None that I can see"
"10","Keep it goin"
"11","Provide own housing for the summer"
"12","I cannot think of any cons right now"
"13","Travel, travel, travel...plus very US centric"
"14","Try to build some loyalty for your employees and respect them a bit more"
"15","not much work life balance esp for offices outside the US"
"16","Lessen late night meetings be mindful of global employees"
"17","Not many projects in India center so it will limit your growth."
"18","Favouritism among staff, same folk getting the higher bonuses, spot awards & shares.
Red tape & bureaucracy.
Less and less autonomy.
Micro management.
Uninspiring Senior management who spout same rhetoric at every meeting no matter the project.
Was a great office to work in but the culture eroded and turned toxic by the Senior Management former Citi ‘clique’.
A lot of extremely good & talented... staff leaving/left due to many of above reasons.
Boast of the great promotion opportunities yet most people achieving higher grades or positions do so via internal job applications. This is not promotion."
"19","Senior management of Belfast office either need to change their ways & management styles or be replaced. There’s a common denominator in the reason many quality, experienced staff are leaving.
Things are that bad they have had to plant a fake review on this site, see ‘Belfast’s Best kept Secret’ review earlier in 2019.
Show staff more respect & trust. You may find this comes right back at you.
Do not pick... on or fault staff over petty issues when management behave themselves in the most unprofessional manner in meetings, acting the unruly school boy with head in arms on table yawning quite audibly whilst staff are presenting or demonstrating. Very rude!
Bring some fun back to the office. Treat staff as what they are, experienced, talented, professional adults and not school children."
"20","Legacy people here are extremely entitled.
This us a company to stay in if you aren't bright.
System is too large and difficult to change.
Bureaucracy is everywhere."
"21","Take risks and let people make their changes."
"22","Not much, its great to work here."
"23","Projects drag on and funding is hard to come by because marketing is not a priority."
"24","upper management is very disconnected"
"25","listen to your employees"
"26","Not many cons.  Bigger work spaces would be nice."
"27","Chicago culture
Weird sarcasm
Not so friendly co workers"
"28","Identify the cancer in the form and get rid of them even if they are talented, been in the firm for long time and even if they are part of the senior management"
"29","Lots of politics at India office"
"30","There is a great pay disparity among positions that makes little sense-easier, less complicated jobs often pay much more than jobs that require more skill."
"31","Company has been getting exceptionally frugal the last 3 years."
"32","No opportunities for advancement 
No flexibility for work/life balance"
"33","Very conservative company and although thorough in their analysis, very slow in taking decisions."
"34","Increase the speed of taking decisions in order not to miss out on time-sensitive opportunities."
"35","Highly political climate
Job happiness depends on your particular IT team. Our manager has ""favorites"" and isn't always honest with us.
Moving to open space as they consolidate Chicago IT staff at 20 S Wacker location.  It's being done to squeeze more staff into a smaller space.  Most are not happy about it."
"36","Value the experience/knowledge your longer term staff has.   Treat every individual on your teams equally and fairly.  Value the work done vs ""visibility"" of that work."
"37","-Horrible office culture.
- Highly political. 
-What many people mention about HR and management is sadly true. Management own HR and they side with them at the expense of the employees."
"38","Stop trying to appear good to your bosses, tearing tech teams down in the process."
