"","x"
"1","The room for advancement is really good. From the trading floors you can make it right up the corporate ladder, The CEO used to report the market."
"2","There are some very talented individuals at CME Group.   Lots of fun and cool technology to work with if you are placed on a large project."
"3","Any other department outside of trading floor operations."
"4","Benefits are great:health, dental, 401ks and pension plan, vacation time is good also-goes according to your years of service."
"5","Diversified group of individuals allows the sharing of ideas. Professional attitude and respect is coached throughout the business."
"6","good environment, best exchange, largest exchange, pays well, lots of products, grown well, good stock price, smart people, very deadicated people"
"7","Great opportunity for growth.  Smart people on staff.  Good direction of the company.  Very strong upper management.  The overall ability of this company is astounding.  There should be a significant amount of growth with this company and it should continue to be strong.  Large impact projects move very quickly."
"8","Industry leader, lots of opportunities exist. The pay is competitive and the benefits are also pretty good.  The people are generally nice.  There is more of a buerocratic feel than at some other companies I've worked for."
"9","Great opportunity for career advancement. Great people to work with and overall a good company. Being an intern I didn't receive any true benefits from the company. The compensation was very fair and there is a great balance of work and life within the organization.

Everyone working there seems to be very driven and technology oriented. Chicago Mercantile Exchange Group has a very large IT department and is very... fast paced. The company is ranked by Computerworld's magazine as one of the best companies to work in IT.

CME Group also has great growth potential and is one that can offer a good variety of job opportunities."
"10","CME is an industry leader in the futures industry.  They have an excellent benefits and compensation package and have a large number of very talented people working for them.  Transferring between groups is allowed after each year.  Their goal is to retain good people."
"11","Pay.  Benefits. Casual work environment -- nobody cares what you wear.    Can be a pretty sweet gig when you're not worked to the bone.  I don't feel like a work for an evil corporation that's trying to take advantage of helpless customers i.e. Credit Card companies etc."
"12","reasonable growth path in this company"
"13","Working with cutting edge technology on challenging projects. Never being complacent and always being on your toes. Customers Mean Everything!"
"14","* Strong IT shop
* Willing to invest in IT Infrastructure
* Getting better on providing good working facilities and amenities
* Good chance to learn about the trading environment
* Only minimal travel required
* Good ability to move around laterally (sometimes even vertically)
* Not many staff reductions / layoffs 
* Solid Senior Management
* On-site fitness facility"
"15","Competitive salary
good benefits
pension package
employee stock purchase plan"
"16","Great benefits package even though only working part-time

Hours are good for people that are not looking for the typical 9-5 job

Decent pay for part-time job"
"17","The internship was short term and the company made sure that I was compensated for the extra expenditures imposed by that.  I had useful discourse with my fellow employees and they were extraordinarily helpful when I encountered unfamiliar technology.  The work was challenging and demanding, which is incredible for an internship and I felt that I learned a great deal."
"18","Great benefits. Comp salary. Very, very fast pace. Very family like atmosphere. Your check will never bounce! Very deep pockets."
"19","CME Group is a financially successful company. 
It is one of the main actors in the international derivatives financial markets industry.
It is growing in several dimensions: Futures and Options on Futures trading, Electronic Trading, OTC markets clearing, Globalization through exchange partnerships, which should bring interesting projects for coming years."
"20","This employer provides excellent benefits, work is fast paced and stimulating, and many exceptional individuals are employed in this industry overall."
"21","very few, benefits are pretty much the only thing nice about this company. Even vacation time is not too great."
"22","It's really a great place to work."
"23","they pay over the top and some of the low level people you work with are pretty nice and you may make some friendships. 

The benefits are amazing including the health insurance and pay. Also they reimburse a lot of your expenses and give you training."
"24","Lots of projects
Smart people to work with
Great location
Extremely convenient commute
Great supervisor"
"25","Very smart people working at CME group. The company atmosphere is really friendly as well as hopeful. I would recommend anyone that gets the opportunity to work here to take it."
"26","benefits are covered at a decent rate"
"27","Good experience and interaction with member firms."
"28","Management is very intelligent. Very Professional."
"29","Financially sound company.  Rewards adequately based on performance.  Promotional opportunities are available.  Opportunities to work with the management right away."
"30","Friendly work environment
Very collaborative
Successful employees treated well - opportunity for increasing responsibility
Co-workers are respectful of others opinions
Differing opinions are encouraged"
"31","Good application of modern technology to achieve business goals and business is willing to adapt to it. We don’t have fight to bring in a new suitable technology."
"32","Great Projects, people are really smart, and you get extensive knowledge of the financial industry."
"33","diversity, career advancement, leadership, worldwide presence"
"34","The best reasons to work at CME Group include the training that they offer, the technology that we have access to, and the resources that the company provides."
"35","Benefits are OK, you have the ability to work from home if necessary. The work week is not too long, however you will probably be working weekends if you are in IT. There are some very talented people at CME group."
"36","Good place to work. Dept. where I worked is very laid back. Seem more willing than usual to embrace new technology and encourage software engineering best practices. Compensation seems competitive. QA is a pleasure to work with."
"37","great work life balance, pay is excellent, lots of networking opportunities"
"38","CME Group is a great place to work.  We have fantastic benefits, excellent work-life balance programs and tuition reimbursement."
"39","-growing company
-industry leader
-comparable benefits/compensation
-autonomy in work"
"40","Smart people, great benefits overall a fine place to work
."
"41","Great people and good life"
"42","Easy entry for non-technical associates into technical positions"
"43","It's become a huge force in commodities trading since NYMEX merged with the CME to form CME Group... especially with energies and precious metals so big in the news. Traders don't act like they own the employees. Better employee benefits."
"44","Benefits are good.  Lots of learning every day.  There are also a lot of really good people working at CME."
"45","The compensation and benefits package makes this company a tolerable place to work.  The everyday people who actually make the Exchange function made my time there enjoyable."
"46","There are some bright people but they are leaving at a fast rate."
"47","One has the opportunity to work with hard-working and smart individuals. The nature of CME's business dictates exposure to many different aspects of the financial industry."
"48","Lots of vacations & okay benefit"
"49","Good place to learn technology and business (IT side)."
"50","Cutting edge technology in the electronic trading arena. 
The high level of professionalism exposes one to many trading opportunities in Futures and Options trading"
"51","Good work/life balance most of the time
Good compensation
Interesting work, good opprotunity to learn about financial derivatives and how an exchange/clearing house business model works."
"52","Excellent benefits package
Secure building
Interesting and intelligent people working there
Laid-back departments (at least mine is)
Big part of a great industry; CME is constantly doing new things."
"53","Great fast moving environment that is suited for high energy people. No day is ever the same which is desirable"
"54","good benefits and competitive salaries"
