"","X1","pros_page1","pros_page_rating_value"
"1",1,"Lots to offer, good management and good corporate culture","5.0"
"2",1,"Salary and overall benefits package","3.0"
"3",1,"Opportunity to come to States","1.0"
"4",1,"Company who make your career that touch the sky","5.0"
"5",1,"great work places . good tech stack","3.0"
"6",1,"Tech, Tech, Tech. Always new things to learn!","5.0"
"7",1,"Great team experience, very nice co-workers.","5.0"
"8",1,"Great to work, learn new things","4.0"
"9",1,"Money, people, market share, profitability","3.0"
"10",1,"Good Compensation and benefits. work from home opportunities, travel opportunities","4.0"
"11",2,"Large budget
Above-market salaries
Global office presence","5.0"
"12",2,"Fair compensation.
Amazing office and mostly amazing colleagues.
Solid work/life balance.","3.0"
"13",2,"Growth opportunities, learning is encouraged and there are a lot of courses available
Amazing office and people to work with
Volunteering opportunities","1.0"
"14",2,"No pros whatsoever in this awful, awful place.","5.0"
"15",2,"Entrepreneurial spirit, Flexibility to chart your own career in different areas of the business, mobility between different geographies","3.0"
"16",2,"great job stable free snacks","5.0"
"17",2,"Great colleagues to work with.","5.0"
"18",2,"- Great benefits
- Solid work/life balance","4.0"
"19",2,"Excellent work life balance, pleasant work culture","3.0"
"20",2,"Opportunities for education","4.0"
"21",3,"Opportunities for education","5.0"
"22",3,"Free food
Business travelling 
Good benefits","3.0"
"23",3,"Ambiente de trabalho 
Produtos disponíveis 
Benefícios e salários em carreira inicial 
Fácil mudança para carreira internacional","1.0"
"24",3,"Great company with a well diversified team. Plenty of opportunity to work and travel nationally and internationally.","5.0"
"25",3,"Flexible work arrangement is available. Not compulsory to work overtime.  Great retirement benefit.","3.0"
"26",3,"Company really knows how to take care of the employees. Great atmosphere","5.0"
"27",3,"Medical Care
Aquariums
Equipment
Located in NYC
A building full of really smart people","5.0"
"28",3,"Great office, smart colleagues, growth opportunities, good benefits, volunteering opportunities, travel opportunities","4.0"
"29",3,"The analytics training program provides employees with an excellent foundation in market concepts. I found their Fixed Income training the best a recent grad can acquire.  Additionally, there are excellent exit opportunities from what I've heard from past employees.","3.0"
"30",3,"Kitchen has snacks, very upmarket office","4.0"
"31",5,"Fast paced environment with great benefit packages","5.0"
"32",5,"Lots of resources to use day to day","3.0"
"33",5,"Great benefits and employee compensation package, tuition reimbursement, free food all day,  work/life balance, good team lead, challenging work if you know how to navigate around it. Your experience is up to you.","1.0"
"34",5,"Awesome culture, good people, free snacks","5.0"
"35",5,"Second to none benefits, culture, and snacks!","3.0"
"36",5,"É uma empresa enorme, com uma quantidade excelente de benefícios, pantry, bom plano de sáude, salário compatível e etc.","5.0"
"37",5,"Ótimos benefícios, ambiente leve e descontraído.","5.0"
"38",5,"Open, collaborative, allows internal mobility, excellent benefits, excellent culture","4.0"
"39",5,"Great opportunities within the company
Possibility to learn constantly thanks to good trainings 
Good corporate culture
Incredible offices","3.0"
"40",5,"You learn a lot with trainings","4.0"
"41",7,"- Dynamic environment for a company that size
- very decent colleagues
- strong training programs","5.0"
"42",7,"Exceptional training, encouragement to move internally, various different teams with different workflows to join","3.0"
"43",7,"People are very helpful, friendly.  Depends on the Dept. your in,  you can go far.  A lot has changed, if your starting out this is a great place.","1.0"
"44",7,"- Global company with well recognized reputation
- Market leader in its sector
- Stability  and Jobe security
- good salaries","5.0"
"45",7,"Collaborative culture, benefits, client exposure","3.0"
"46",7,"Great for exposure to modern tech stacks","5.0"
"47",7,"Cultura da empresa, visão de longo prazo, diversidade. Não tem politicagem","5.0"
"48",7,"Great company to work for. Outstanding benefits and flexibility.","4.0"
"49",7,"Great benefits, great pay, ability to provide feedback on managers","3.0"
"50",7,"Learn a lot, very structured, great benefits and workspace","4.0"
"51",8,"Great company to work for. Good pay, great benefit, good reputation.","5.0"
"52",8,"Learn a lot if interested to do so","3.0"
"53",8,"Colleagues, atmosphere, team, work load","1.0"
"54",8,"Good perks, health care, dental care, subsidised gym membership, good salary and yearly reviews.","5.0"
"55",8,"Free soup; competitive benefits; cool offices","3.0"
"56",8,"Bloomberg is good for flexible working, staff welfare and general practices.","5.0"
"57",8,"Flexible program, breakfast, pantry snacks.","5.0"
"58",8,"Easier for junior sales to get early career exposure.","4.0"
"59",8,"many perks, good working environment","3.0"
"60",8,"good work life balance and smart people","4.0"
"61",9,"good work life balance and smart people","5.0"
"62",9,"Great culture, quality of life","3.0"
"63",9,"I had some wonderful colleagues who deserved much better treatment than they received at Bloomberg.","1.0"
