,Unnamed: 0,X1,pros_page1,pros_page_rating_value,answer_re,answer_re_oth,answer_re_n
0,1,1,"Lots to offer, good management and good corporate culture",5,"Lots to offer, good management and good corporate culture",lots to offer good management and good corporate culture,"culture, management"
1,2,1,Salary and overall benefits package,3,Salary and overall benefits package,salary and overall benefits package,benefits
2,3,1,Opportunity to come to States,1,Opportunity to come to States,opportunity to come to states,
3,4,1,Company who make your career that touch the sky,5,Company who make your career that touch the sky,company who make your career that touch the sky,
4,5,1,great work places . good tech stack,3,great work places . good tech stack,great work places good tech stack,"work, great"
5,6,1,"Tech, Tech, Tech. Always new things to learn!",5,"Tech, Tech, Tech. Always new things to learn!",tech tech tech always new things to learn ,
6,7,1,"Great team experience, very nice co-workers.",5,"Great team experience, very nice co-workers.",great team experience very nice co workers ,
7,8,1,"Great to work, learn new things",4,"Great to work, learn new things",great to work learn new things,
8,9,1,"Money, people, market share, profitability",3,"Money, people, market share, profitability",money people market share profitability,
9,10,1,"Good Compensation and benefits. work from home opportunities, travel opportunities",4,"Good Compensation and benefits. work from home opportunities, travel opportunities",good compensation and benefits work from home opportunities travel opportunities,"work, home"
10,11,2,Large budget Above-market salaries Global office presence,5,Large budget Above-market salaries Global office presence,large budget above market salaries global office presence,
11,12,2,Fair compensation. Amazing office and mostly amazing colleagues. Solid work/life balance.,3,Fair compensation. Amazing office and mostly amazing colleagues. Solid work/life balance.,fair compensation amazing office and mostly amazing colleagues solid work life balance ,
12,13,2,"Growth opportunities, learning is encouraged and there are a lot of courses available Amazing office and people to work with Volunteering opportunities",1,"Growth opportunities, learning is encouraged and there are a lot of courses available Amazing office and people to work with Volunteering opportunities",growth opportunities learning is encouraged and there are a lot of courses available amazing office and people to work with volunteering opportunities,"work, people"
13,14,2,"No pros whatsoever in this awful, awful place.",5,"No pros whatsoever in this awful, awful place.",no pros whatsoever in this awful awful place ,
14,15,2,"Entrepreneurial spirit, Flexibility to chart your own career in different areas of the business, mobility between different geographies",3,"Entrepreneurial spirit, Flexibility to chart your own career in different areas of the business, mobility between different geographies",entrepreneurial spirit flexibility to chart your own career in different areas of the business mobility between different geographies,
15,16,2,great job stable free snacks,5,great job stable free snacks,great job stable free snacks,"snacks, free, great"
16,17,2,Great colleagues to work with.,5,Great colleagues to work with.,great colleagues to work with ,work
17,18,2,- Great benefits - Solid work/life balance,4,- Great benefits - Solid work/life balance, great benefits solid work life balance,"balance, benefits"
18,19,2,"Excellent work life balance, pleasant work culture",3,"Excellent work life balance, pleasant work culture",excellent work life balance pleasant work culture,"culture, work"
19,20,2,Opportunities for education,4,Opportunities for education,opportunities for education,
20,21,3,Opportunities for education,5,Opportunities for education,opportunities for education,
21,22,3,Free food Business travelling Good benefits,3,Free food Business travelling Good benefits,free food business travelling good benefits,"food, benefits"
22,23,3,Ambiente de trabalho Produtos disponíveis Benefícios e salários em carreira inicial Fácil mudança para carreira internacional,1,Ambiente de trabalho Produtos disponíveis Benefícios e salários em carreira inicial Fácil mudança para carreira internacional,ambiente de trabalho produtos disponíveis benefícios e salários em carreira inicial fácil mudança para carreira internacional,
23,24,3,Great company with a well diversified team. Plenty of opportunity to work and travel nationally and internationally.,5,Great company with a well diversified team. Plenty of opportunity to work and travel nationally and internationally.,great company with a well diversified team plenty of opportunity to work and travel nationally and internationally ,"work, company"
24,25,3,Flexible work arrangement is available. Not compulsory to work overtime. Great retirement benefit.,3,Flexible work arrangement is available. Not compulsory to work overtime. Great retirement benefit.,flexible work arrangement is available not compulsory to work overtime great retirement benefit ,work
25,26,3,Company really knows how to take care of the employees. Great atmosphere,5,Company really knows how to take care of the employees. Great atmosphere,company really knows how to take care of the employees great atmosphere,
26,27,3,Medical Care Aquariums Equipment Located in NYC A building full of really smart people,5,Medical Care Aquariums Equipment Located in NYC A building full of really smart people,medical care aquariums equipment located in nyc a building full of really smart people,"smart, people"
27,28,3,"Great office, smart colleagues, growth opportunities, good benefits, volunteering opportunities, travel opportunities",4,"Great office, smart colleagues, growth opportunities, good benefits, volunteering opportunities, travel opportunities",great office smart colleagues growth opportunities good benefits volunteering opportunities travel opportunities,smart
28,29,3,"The analytics training program provides employees with an excellent foundation in market concepts. I found their Fixed Income training the best a recent grad can acquire. Additionally, there are excellent exit opportunities from what I've heard from past employees.",3,"The analytics training program provides employees with an excellent foundation in market concepts. I found their Fixed Income training the best a recent grad can acquire. Additionally, there are excellent exit opportunities from what I've heard from past employees.",the analytics training program provides employees with an excellent foundation in market concepts i found their fixed income training the best a recent grad can acquire additionally there are excellent exit opportunities from what i ve heard from past employees ,
29,30,3,"Kitchen has snacks, very upmarket office",4,"Kitchen has snacks, very upmarket office",kitchen has snacks very upmarket office,
30,31,5,Fast paced environment with great benefit packages,5,Fast paced environment with great benefit packages,fast paced environment with great benefit packages,"paced, environment, great"
31,32,5,Lots of resources to use day to day,3,Lots of resources to use day to day,lots of resources to use day to day,
32,33,5,"Great benefits and employee compensation package, tuition reimbursement, free food all day, work/life balance, good team lead, challenging work if you know how to navigate around it. Your experience is up to you.",1,"Great benefits and employee compensation package, tuition reimbursement, free food all day, work/life balance, good team lead, challenging work if you know how to navigate around it. Your experience is up to you.",great benefits and employee compensation package tuition reimbursement free food all day work life balance good team lead challenging work if you know how to navigate around it your experience is up to you ,"work, free, benefits, compensation, food"
33,34,5,"Awesome culture, good people, free snacks",5,"Awesome culture, good people, free snacks",awesome culture good people free snacks,"snacks, free"
34,35,5,"Second to none benefits, culture, and snacks!",3,"Second to none benefits, culture, and snacks!",second to none benefits culture and snacks ,
35,36,5,"É uma empresa enorme, com uma quantidade excelente de benefícios, pantry, bom plano de sáude, salário compatível e etc.",5,"É uma empresa enorme, com uma quantidade excelente de benefícios, pantry, bom plano de sáude, salário compatível e etc.",é uma empresa enorme com uma quantidade excelente de benefícios pantry bom plano de sáude salário compatível e etc ,
36,37,5,"Ótimos benefícios, ambiente leve e descontraído.",5,"Ótimos benefícios, ambiente leve e descontraído.",ótimos benefícios ambiente leve e descontraído ,
37,38,5,"Open, collaborative, allows internal mobility, excellent benefits, excellent culture",4,"Open, collaborative, allows internal mobility, excellent benefits, excellent culture",open collaborative allows internal mobility excellent benefits excellent culture,culture
38,39,5,Great opportunities within the company Possibility to learn constantly thanks to good trainings Good corporate culture Incredible offices,3,Great opportunities within the company Possibility to learn constantly thanks to good trainings Good corporate culture Incredible offices,great opportunities within the company possibility to learn constantly thanks to good trainings good corporate culture incredible offices,"culture, company"
39,40,5,You learn a lot with trainings,4,You learn a lot with trainings,you learn a lot with trainings,
40,41,7,- Dynamic environment for a company that size - very decent colleagues - strong training programs,5,- Dynamic environment for a company that size - very decent colleagues - strong training programs, dynamic environment for a company that size very decent colleagues strong training programs,"environment, company"
