"","x"
"1","- rapidly declining morale
 - declining fiscal outlook
 - lots of moving stuff to India
 - no pay raises since 2017. mediocre raises and bonuses otherwise. 
 - most good engineers are interviewing or already out the door. You'll be here with largely B players. Some departments are still ok but it's hit or miss.
 - deteriorating benefits. If you have a family get ready for high copays or a huge bill"
"2","FactSet is cutting just about every benefit you can think of with more cuts on the way. With the new health insurance, you will have to pay thousands out of pocket before anything kicks in.  Inflation is at about 2%/year our penny raises don't even keep up with that so every year we're really getting less money. I started looking for a new job right away, I'll be out in a week. I feel bad for those staying at... FactSet. All/most jobs will be outsourced in a matter of years so it's get laid off or leave now."
"3","I found no cons actually my experience"
"4","Not open for testing. Need to have some development skills in you"
"5","- Compensation compared to market
- Internal investment
- Building isn't great"
"6","Stringent timings. no gym/ fitness center in work place."
"7","The upper management pushes a little bit too hard on the deadline when the work is just too much to be done on that deadline."
"8","No cons found till now"
"9","Pay is well below market average
Most of the talented engineers are leaving
Not focus is on building good software
You end up maintaining lots of bad code
Compensation and benefits are being cut every year
They don't care about the employees"
"10","Not a good environment or room for growth after 3 years
Entrenched upper management unwilling to listen 
No work life balance
Awful benefits"
"11","Copy paste jobs
Data entry monotonous jobs"
"12","Toxic management 
Limited progress
HR policy is focused on hiring cheap new grads, disregarding the tenure ones
HR & management is not transparent
You work with low technology"
"13","- Low retention rate due to low salaries.
- No Job security
- Full of corporate politics"
"14","senior management is very bad."
"15","1.No timely feedback 
2.No interaction with the senior management 
3.Ambiguity in the entire MT structure 
4.The feedback is pathetic 
5.No support from the management regarding day to day work"
"16","- Toxic management
- Some incompetent managers
- Bell curve rating system
- Repetitive tasks will make you feel you're not moving forward
- High attrition  rate"
"17","Small staff size in singapore"
"18","long peak periods, saturday ots"
"19","Benefits not so great. Cheapening day by day."
"20","Factset does not offer good growth opportunities
Due to lot of work as always they don't let you participate in other activities happening internally."
"21","Depends upon the manager it varies"
"22","- Lack of cohesive culture
- Bottom-up driven initiatives (slow to adapt to new trends)"
"23","Political among foreigners and locals"
"24","Very less onsite opportunities, still new on the cloud"
"25","Benefits are maybe not as great as at some big name west coast IT companies, but are still pretty good, although they started shrinking (health insurance, office space, parking, etc.), as the company invests more to technology stack and more money goes to cloud service providers."
"26","- Tough to make 'finance' money
- After 3 years or so you kind of 'get it' and slow down in your learning of industry & product knowledge
- Clients never seem to really have respect for the work and view you more as a tech/IT aid rather than building a collaborative relationship
- Middle management is a little cumbersome"
"27","Low salary compared to competitors ."
"28","Team is good but work isn't motivating."
"29","There are no cons as such."
"30","Low wage. Toxic work system"
"31","Not much room to grow due to HQ been in NH."
"32","Mostly support work. Repititive after some time"
"33","Not enough investment in employee growth, best opportunities are siloed in the US, pay above average"
"34","The processes are not simplified."
"35","Company is gutting their benefits package putting all the cost on employees couple that with lower then industry standard salary, a pittance for ""paid lunch"" and c-level turn around that is reminiscent of a carousel I'm seeing many employees jumping ship. Potential future employees beware check out what the competition is offering as well since factset is moving to mimic them you may get a better deal."
"36","There is not much growth in the career.  Don't have scope to learn new things."
"37","They pay us well below what other companies would and they just keep cutting more stuff. The raises are terrible and they can no longer hold onto talent. The company is quickly failing, I think it's time to sell FactSet stocks before they go extremely low.  Glad I'm leaving. The new health benefits are not that good. Would have stayed otherwise."
"38","La difficulté à maintenir l'esprit d'origine, dynamique et flexible au sein d'une entreprise plus mûre."
"39","no cons to mention here"
"40","Work on integration of acquired firms (product, teams, culture)"
"41","Can't say any thing as I just started here."
"42","No managerial buy in for UX, limited career growth, lots of lifers in mgmt."
"43","Nothing as of now really"
"44","Less relatable process in other companies."
"45","1.Growth opportunities are very less
2.Internal politics in the management
3.Pay scales offered to entry level positions are very less ...vulnerable
4.Work environment makes you lazy
5.Your ability to communicate in English worsens becoz of the colleagues (mainly are non English speaking)
6.Very less or No fun activities conducted.
7.No Job satisfaction
8.Extreme working conditions....need to work on every... Saturday as part of Business requirement(Bloody Hell)....& also sometimes even week day stretches.
9.Energy Exhausting work becoz of these OTs
10.Recognition to employees for best performance."
"46","Salary increase may not be on par with effort given"
"47","Hikes for a QA role are very low and not at all upto the mark.
Worst than service based companies"
"48","Stagnant salaries
Little benefit for high performance"
"49","Nothing much to add at the moment"
"50","Constant change in senior leadership over the past 5 years"
"51","I have no cons to add"
"52","Old tech stack - depends on the team.
Slow paced."
"53","The belvita cakes run out too quickly  :D"
"54","Didn't love working in the financial district."
"55","Hire technical leaders"
"56","Compensation below market rate.  
Model compensates consultants equally across teams, regardless of complexity of work."
"57","The payment is low compare to.other company"
"58","As per my understanding no growth"
"59","Low Salary,  Limited Career growth and opportunities"
"60","The management is a small circle of friends, decision making is purely based on personal basis."
"61","No problems what so ever"
"62","Less pay
Food is not that good."
"63","Nothing to learn. If you want to grow then think before joining."
"64","Compensation is one of the bad thing about Factset, first of all it is not good for the Freshers, secondly the comp structure is not compelling."
"65","Need to work on the hike. A little more is good."
"66","Pressure to deliver the numbers"
"67","Calls/meetings with the US can be late
Far from European headquarters
Salary competitiveness"
"68","Salary offered is good but people who work here easily get better offers. Lots of people leaving because of this, which is sad."
"69","-Investment in outsource/young talent is great, but need to balance that with experienced senior talent. 
-Open up senior opportunities to all offices"
"70","It depends on which team or department will you be. Changes in policy, slow career growth, stagnant work."
"71","You can't explore much more"
"72","Good company to work with"
"73","bad management
low salary
no H1B visa"
"74","Got worse in the recent times. Management is getting worse
No trainings"
"75","The immigration team lacks a little in helping candidates and that sometimes cause Visa Issues."
"76","Work execution takes long time"
"77","Pay is a bit less compared to other big comapnies."
"78","salary is not competitive for tech-related roles"
"79","Nothing is there to write about to FactSet"
"80","No night shift allowance Given."
"81","very slow growth for freshers,work pressure is more"
"82","Politics, limited growth, less attention to lower level grade employees"
"83","Helping employees see how their work contributes to the company's strategic goals."
"84","Slow career growth, specially in my position wherein all the skills and technical tools you will learn are in-house that's why when you try to apply to other company, it feels like you have not increased your market value"
"85","Less hikes than early days"
"86","None i enjoyed every thing there"
"87","- On the low end of the competitive pay scale


- Some management has been there for over a decade working on the same project which is NEVER a good idea


- In a very awkward transitional period between management paradigms and engineering workflows

    - Switched the Agile but only offered training to ""valuable"" teams, leaving     old, but  still important teams out in the dark.


- Company has been... buying smaller businesses and hiring prestigious executives which has caused waves of exodus during review season because of inadequate raises for the current employees who are putting in the work to make this company what it is."
"88","Only thing that affected me was night shifts"
"89","No technical career progression so unless you want to become a manager, better to move on to more technical roles"
"90","Rotational shifts(6-3.30, 9.30-6.30, 4-1, 1-9)
A bit low pay when compared to other companies..."
"91","-Demanding hours; for the investment management industry, the hours required by this role are normal"
"92","Large company where you need a network to succeed"
"93","I do not have much to share"
"94","Salary issues, No growth & professionalism"
"95","Hikes are less as compare to other product based companies"
"96","Lately, there has been too much red tape especially as the company grows"
"97","Best work culture, technology, Pay"
"98","None. Everything’s good so far"
"99","I've been working in FactSet for 1 yr and didn't find any cons as such."
"100","there is noting to say cons"
"101","Two self performance reviews a year is kind of annoying while I am really busy on the work.  I need to spare sometime to write all the reviews.
Besides that, all is well."
"102","Average learning curve,so a fresher can stay here for 1-2 years , average salary in comparison to market standards"
"103","Internal BI, CRM and HR systems are slow to develop
No HSA available even with the high deductible plan"
"104","Decentralised decision making - decisions and reorganising come down from higher ups in the US
After having been there for more than a year or so performance is monitored and assessed quite strictly - they seem to be more interested in extensively rewarding the top 10% and leaving others without much recognition
Management can be inflexible and conflicts can escalate quite easily instead of being resolved
High... attrition - people will often leave within 6-18 months after joining"
"105","Limited career growth internally and inflexible shifts"
"106","Management is not good. They don't care for  the employee. What I mean for that is whatever is mentioned in the offer letter they contradict to it."
"107","Slow career growth, no on-site"
"108","Steady growth, focus on upgrading skills of employees"
"109","Mostly incompetent staff, Cheap politics"
"110","Salary, Benefits and Leaves:
If you aim to boost more your salary, you may want to consider looking for another job after 2-3 years of stay in FactSet as a software engineer. Although there are a lot of senior software engineers who stayed for more than 5 years (some even part of the pioneer batch who work for FactSet with almost 10 years). Yes, leaves might be overflowing with FactSet but it also goes in the... saying that it comes with how you manage your deliverables. Some offsets and leaves are left unused due to the number of deliverables which for me is a downside because it's your time who got lost in the overall process.

Career Risks:
While other teams offer a wide range of tech stack, some teams are working 99% of the time with in house tools which will make your programming skills stale. There is also a culture within these teams that as long as it can be implemented using the in house tools, it shall be done that way. Some even forcibly make it work even if code maintainability and quality is already at stake. Plus, you are really not programming with their in house tools but rather creating driver files for them.

Management:
Most of the times, managers forgot that engineers/reports are not just numbers in the charts. There are several concerns raised but neglected by the management. The management also do not listen to their subordinates emphatically and try to understand where they are coming from."
"111","Pay is below market rate
Rewards a work smart not hard attitude
Doing support call work degrades the job"
"112","it provides very less salary as compared to the industry. No growth after certain level"
"113","CEO has created a culture where senior management is playing Game of Thrones--he doesn't like to hear contradictory opinions and surrounds himself with ""yes people"". Loyalists, in turn, push short-term, attention-grabbing projects of little lasting value and are promoted. This value placed on short-term change creates an incentive to restructure constantly, which is disruptive to the front-line employees who... actually do the work. This has degraded the company's previous strength in work-life balance. At the same time, leadership is unwilling to get rid of highly paid free loaders who don't contribute to company needs."
"114","Turnover at the top
Compensation structure"
"115","No cons observed till date"
"116","Innovation always comes second to managing that quarter's margins
Senior management gets large compensation increases while average employees make do with small increases (CEO had >20% compensation increase last fiscal year while a lot of average employees got 1-2% increases)
Senior management routinely micromanages projects and overrule frontline managers so they can feel like they are adding value
Blame... culture growing stronger 
Frequent layoffs of strong performing people for the sole purpose of making predetermined operating margin numbers"
