"","cons_page1"
"1","Fast growth = young leaders without much experience and lack of formal mentoring and leadership development programs leave many new managers fending for themselves."
"2","Good work situating the company poised to take advantage of market opportunities."
"3","Limited knowledge gaining opportunities, some departments are stuck in old technologies and do not want to change due to their leaders lack of interest in learning (but in gaining). People relations are neutral. Overall many manual operations for things can could have been automated long time ago."
"4","To stop the management ""one size fits all"" and focus on building more dialog with employees in particular having in mind the growing diversity within the company."
"5","Lots of information seems to get lost. You need to track everything to really know what's going on throughout the company. There's very little internal documentation, and what does exist is out of date. It's clear what you're rated on as far as promotions go, but there's less transparency about other aspects."
"6","Should come up with a better way to ensure different groups don't step on each others' toes, but still get work done without being bogged down by process."
"7","Hard to distinguish yourself as being a good engineer.  A lot of the day to day work is quite dull. Not very challenging most of the time.  Typically promotions go to people when they have been here a certain amount of time or are more pushy about getting them, rather than going to those who deserve them more."
"8","You need to differentiate more between telented people and less talented people.  Make people feel more important."
"9","Norwalk is not the greatest location."
"10","Keep listening to those under you."
"11","Decisions made by the upper management may not be transparent enough. Sometimes engineers are left in the dark about decisions which could affect them. Engineering roles in London are limited at present. Most of the roles are not very exciting and may make it difficult to progress career wise."
"12","Be more transparent."
"13","No beer in the fridge.  Too many men."
"14","Good recent acquisitions.  A single, universal platform would be better to market, as opposed to juggling user specific platforms.  Streamline development and support - bring resources together as opposed to allocating them across platforms.  There are some very smart people at this firm."
"15","Individual experience can vary widely based on manager.  Some managers work hard to help reports succeed, exposing achievements to upper level management and providing opportunities for growth and technical challenges, with proper feedback along the way.  Others not so much, which can be extremely frustrating if you'd like to get on the ""fast track."""
"16","Work harder to make opportunities more universally known and available.  Screen managers more carefully and provide better training so that they'll be better equipped to grow their reports professionally within the organization."
"17","A mon avis, le seul point négatif est que les clients vous traitent parfois sans le moindre respect car ils ont besoin de quelque chose immédiatement. Ceci se produit souvent du côté IB.
En dehors de ça, tout me satisfait.
Appart from this, everything satisfies me."
"18","La direction générale est juste et a beaucoup d'expérience, et je n'ai donc aucun conseil à leur donner."
