"","x"
"1","- plenty of opportunities and learning 
- cloud focus to build marketable skills
- decent internal tooling for most departments"
"2","It used to be good."
"3","Good perks like free transport, subsidised food, good work environment, etc.
Once you join you'll never think of leaving such a good place."
"4","Facilities are good
Management was good
hikes are good"
"5","- Work/Life Balance
- Social Atmosphere
- Senior level exposure
- High level of responsibility 
- Great product"
"6","It is very liberal and work focused at FactSet, great employee benefits, treats like family."
"7","Good benefits, however the health insurance quality seems going down and no longer have free health insurance."
"8","The staff is energetic and collaborative"
"9","Good to start the career"
"10","You can get away with working 40 or less hours a week"
"11","There are a number of good software engineers still working at the firm, for now...
First three years will be okay, if you are a hard worker
Compensation is decent"
"12","Free transport
free food
leaves policy good"
"13","""ok"" for a start
It tries to compensate on perks
Free shuttle 
Free drinks and cheap foods a month"
"14","Subsidized food and less work as TL"
"15","team bounding and work environment is very good"
"16","1. Decent opportunity for learning"
"17","The company will definitely help u to grow"
"18","work life balance, good environment"
"19","- Competitive benefits
- Friendly working environment
- Home drop-off shuttle 
- Great training ground"
"20","Worklife balance will be good."
"21","Great Company benefits and culture"
"22","senior support, friendly environment n easily adaptable, cab facility,"
"23","Work life balance is good."
"24","- Good environment to start working experience
- They offer a lot of benefits"
"25","Good Working Environment
Good Support from my team and process
Got to learn lots of new things"
"26","Work-Life balance, friendly environment, food, hikes, encourages to participate in all activities"
"27","- Great worklife balance
- Competitive base
- Nice co-workers"
"28","Company culture is very good"
"29","Flexi leaves, work from home, good support from a different department"
"30","HQ location is ideal for employees with families as an alternative to commute to NYC. It has somewhat affordable housing market within 20 miles radius (< 1 hour rush-hour commute). It has good work/life balance without pressing deadlines, so need to consider this no-overtime when comparing benefits. Working with latest technologies and moving toward modern software architecture at a fast pace allows to make a... difference and learn something new and relevant at work. Flexible schedule, allowing working from home or shifting office hours to avoid rush hour commute."
"31","Life is good here, not much pressure"
"32","- Lots of training
- Experience working with a diverse range of top-tier financial clients and learning how they operate
- Benefits and salary were competitive out of school
- Stable place to work.
- Decent work/life balance
- Growth opportunities
- Company has been healthy and growing"
"33","Great company for a fresh Graduate. Great Benefits. Work Life Balance."
"34","Environment is good
People are friendly
Benefits and pay are good"
"35","friendly environment, good work life balance"
"36","Good Health and Medical allowances"
"37","Great place to work, with friendly team members, PTO, paid lunched, health insurance."
"38","Best work culture and work life balance"
"39","Working at FDS was a great start to my career in finance. I was able to get hands on experience working with investment managers while diving into the world of technology"
"40","Work is medium paced, good benefits, sociable colleagues"
"41","Its an Best company with values and Benefits"
"42","You get to talk directly to directors of the company. Benefits are the best in the industry."
"43","People oriented culture, good for freshers"
"44","Been here almost 5 yrs now. One of my main reasons for staying was benefits but see below"
"45","No stress.  Good work culture and best environment to work."
"46","If you're a new grad it's alright."
"47","Une belle équipe, très soudée. Des missions variées et enrichissantes, proposant une belle exposition aux divers client et beaucoup d'autonomie."
"48","good company for freshers and experienced"
"49","Work life balance is good."
"50","Liked and trusted the senior management at the time. Good HR and training department. Great benefits. Very good place to start a career."
"51","Good for freshers, work-life balance is good."
"52","Great work/life balance.  Good people all around.  Tons of different applications to work on"
"53","Stress free environment and a happy place!"
"54","People are great and eager to help"
"55","Health environment 
Cab facility
Low work pressure
More like a Govt job"
"56","there are many benefits, good for starting"
"57","Stress free,
Hospitality,
Free transport,
Fixed shift timings for few processes,
Job comfort"
"58","Time management. There is work life balance"
"59","Good work life balance
Helpful mentors
Learning opportunities"
"60","Flexible working hours
Subsidized food 
Free Snacks"
"61","Good work life balance
Friendly coworkers
Low stress environment"
"62","Good company with youngp eople"
"63","Culture is excellent, flexible work schedule and great benefits and people to work with."
"64","it was a good student job"
"65","Amazing work life balance. 
Great people."
"66","Great work-life balance, great flexible management"
"67","Great people.
Engineering culture drives decisions.  
Interesting problems."
"68","Interesting challenges (only if given a little time to think through it)"
"69","Generally relaxed working environment. Although, highly dependent on the assigned work/client you've been given"
"70","Friendly environment 
Employees support
Good facilities
Low work pressure"
"71","Taking care of employees is good and nice transport facilities, No pressure"
"72","Friendly environment, Free shuttle, free drinks"
"73","Great opportunity to learn and be part of a professional motivated team."
"74","Good opportunities to grow for freshers"
"75","Great work life balance
Good company to start your career
Knowledgeable and helpful mentors
Transport facility available"
"76","Cab Facilities ,Flexible Shift timings"
"77","- tight knit team
- flexible with tools used
- work from home"
"78","No workload. Free snacks. Salary on time."
"79","I felt very about the work culture of Factset, one will get substantial amount of support and guidance to improve within the organisation"
"80","Good benefits, free drinks, monthly merienda, and home drop shuttle"
"81","Work culture and benefits are good."
"82","Great company to work for with various opportunities throughout your career"
"83","good work life balance
friendly colleagues
understanding sales management
nice flexibility and good values"
"84","Good people who are interested in technology
Good work life balance
Good leave policies
Work from home available depending on your role(4 per month)
Half Yearly team outing.
Approachable senior management"
"85","-Work life balance
-Interesting work
-Pretty good benefits (subsidized lunch, espp, 401k match, healthcare)
-Great opportunity to learn about finance and technology
-Clear career path and growth first few years. (great place for beginning of career)"
"86","The benefits were good... free drinks, mirienda (once a month) and shuttle service wherein it will drop you off to your house (if your sched is 3pm-12am). For fresh grad, this is a good company to start since it will take you a good care."
"87","You will get much extra time"
"88","More opportunities you can find"
"89","good technology, good work life balance"
"90","It WAS a good company"
"91","The peers are extremely helpful and always give their opinions"
"92","High salary and great benefits"
"93","Work life balance is superb"
"94","Awesome place to gain experience on web development."
"95","Colleagues, Shift Timings, Cab Facility"
"96","The company has lots of benefits/perks that the employees would consider before leaving"
"97","A good place to work to set the career."
"98","Best place to work For freshers."
"99","cab facility,food facility,life event celebrations"
"100","They promote work and life balance"
"101","Good working culture, work life balance, people are good."
"102","Challenging technical problems. Environment is collaborative.  Investments in employees skills."
"103","Benefits are  adequate. And salary is competitive for an entry level job"
"104","Work Life balance is good"
"105","Nice place to work"
"106","- Great benefits


- Generally relaxed environment


- Great employees who make it easy to get involved in clubs and activities"
"107","Good balance of work and social life"
"108","Good place to work without any pressure"
"109","Working environment is very friendly"
"110","Good work life balance. Good compensation. Technical training included"
"111","Good place to start for freshers in finance field.
Low pressure work environment for freshers 
Good company 
Food and travel will be provided"
"112","Plenty of benefits and good entry point"
"113","-Awesome office culture
-Great health insurance
-Numerous opportunities for internal advancement"
"114","Getting to know lots of different client types in the financial industry"
"115","Best company to start career as fresher."
"116","Dynamic environment, good work life balance."
"117","Flexible timing, Good management"
"118","Best work nature & No pressure"
"119","Work Environment is very good"
"120","The environment of helping out others is great & the work/life balance is superb."
"121","Aside from monetary compensation it maintains an excellent work-life balance while always presenting challenging work"
"122","- Good work environment
-  Senors helping nature"
"123","Awesome perks and benefits!"
