,X1,pros_page1,pros_page_rating_value,
1,2,Growing company even in tough times.  Accessible leadership.  Good compensation and benefits packages.,3,#N/A
2,2,A person can start and polish his IT and/or managerial skills. Some knowledge would be gained.,3,#N/A
3,2,"It has some of the advantages of a big company and a little company rolled up together. There's a lot of room for people to work on new projects and products, but you have the resources and perks of a larger company.",4,#N/A
4,2,Very relaxed atmosphere.  Lots of talented people working here. Freedom to work on side projects when not busy.,4,#N/A
5,2,The Benefits are very good.,4,#N/A
6,2,"Great environment to work in. Fantastic people. Depending on the department one's in, the work can be interesting and challenging. The review system in place is fair and provides a good picture of how people perceive you and how to improve as an individual. Benefits like free lunches, flexible working hours are just icing on the cake.",4,#VALUE!
7,2,Free food.  Great people.  Challenging work.  Cool offices.  Forefront of technology.  Direct contact with leading financial pro.'s.  Free drinks.  Free snacks.,4,#N/A
8,2,"Huge attention to work life balance.  Everyone gets a laptop for maximum flexibility.  Benefits are very good.  Work can be pretty interesting, and there are opportunities for contributions outside your core competency if you seek them out, which also keeps things interesting.",4,#VALUE!
9,2,"FactSet est une très bonne entreprise dans laquelle débuter votre carrière : le salaire est très compétitif, vos collègues seront très agréables, de nombreuses responsabilités vous seront confiées, et vous pourrez voyager pour des rendez-vous aussi bien i",2,#N/A
10,2,"Factset has got to be one of the most giving companies to its employees.  Free lunch, fruit, snacks, drinks; literally anything you could ask for.  You have dual monitors to be more productive, very nice chairs and the quality of work is pretty fun.",4,#N/A
11,4,"Très exigeant, excellentes opportunités, environnement de travail très positif, avantages, alimentation et boissons gratuites, entreprise à forte croissance et au futur brillant, mes collègues",3,#N/A
12,4,"Talented co-workers, challenging assignments, cities are nice to live in.",3,#N/A
13,4,Young atmosphere and a lot of fun to work for.,4,#N/A
14,4,"benefits, vacation, lifestyle, working from home...",4,#N/A
15,4,"FactSet provides excellent opportunities to engineers, starting from the moment they are hired, to move up both in title and in compensation.  If you are willing to work, then you will be greatly satisfied with the company's willingness to make you happy.  The environment is casual yet highly productive, and the management layers are nearly all previous engineers (right up to the president!) so managers understand... the actual process of development, and are therefore very supportive and very efficient and insightful in their project decisions.",4,#VALUE!
16,4,"FDS has a very nurturing atmosphere that allows software engineers, especially those coming out of school, to grow their skills and learn from the software industry. They are very happy to have their engineers go to conferences, read books, and learn from each other, and ease you into the professional software process with tutorials and lessons. They also prepare you for management after you've shown the ability to... take on the responsibilities, and are supportive if you want to stay a pure software development role as well. The people there are a ton of fun to work with, and are hired from the best schools in the country.",4,#VALUE!
17,4,"nurturing environment, mostly energetic corps of employees",4,#N/A
18,4,"The people! It's a great environment.  I've been here 1.5 years and already been promoted. I'm learning new things every day.  The client interaction requires an entry-level person to interact with very senior-level finance professionals on a daily basis.  It can be challenging, but it's also very rewarding to see somebody use the work you built for them.  Plus, you learn a ton while working here.",4,#VALUE!
19,4,"The people here are very skilled, balanced and willing to do a good job. As long as you are doing a good job management will leave you alone to do what you need to do. FactSet is very achievement oriented and there is a feeling of ""we are all in this together."" Management is open and accessible and more often than not is as technical as you are.",2,#VALUE!
20,4,"The free lunches are great. The pay is great. The management is very skillful. The career opportunities are plentiful.  

I have worked at a lot of small businesses and I can say I love em.  Well FactSet operates very much like a small business. Not much red tape and plenty of smart people working towards a common goal. Moral is generally high and our products are stellar.

If you are looking to work at a... company dealing with some of the latest technologies and solving the latest problems, than factset is the way to go. 

Go FactSet!",4,#VALUE!
