"","x"
"1","Sometimes long hours can be expected since the company is fast-growing. Some benefits and policies may need to get improved or added to match with big companies."
"2","Immature HR processes. 
No balance between employees life/work"
"3","Some  colleagues do feel overworked at times"
"4","*This review specifically applies to ""ICE Trust LLC"" which is the OTC Credit Default Swap clearing house for the Interncontinental Exchange.

This employer exhibited some red flags when several senior people left in 2010 after only working there a few months (< 6 months on average). Notable departures include a Senior Software Engineer, Systems Analyst, QA Lead and one (of two!) DBA.  As this is only about a 40... man team, the overall level of attrition was disturbing.

ICE TRUST sold itself as a growing company with a need for ""senior"" people which turned out to be rather false as new ideas were rejected or at best shelved ""until later"" as impossible deadlines kept the focus on things that needed to be done yesterday.  ZERO work-life balance.  Technologists were routinely working on the weekends to release software to Production. The good engineers were (privately) praised for working round-the-clock Citadel-style.  In fact the pace of change proved too rapid and the group ended up making some costly mistakes and was put on ""timeout"" by Atlanta management.  Some serious inter-group dysfunctions, in particular their Quants would rather not work with anyone outside of their Ivory Tower which was quite contradictory to my experience with Quants at other financial institutions. Overall their SDLC and other methodologies were weak and fragile as compared to my previous financial employers. Code was branched ad nauseum, very scary situation.  They were forced to bifurcate their system in order to gain first mover advantage in 2009 and a looming high-risk code merge awaits them in 2011 (more off-peak work hours for sure).  QA team seems completely marginalized as are their other analysts, I would be surprised if half of them didn't quit in 2011 post-bonuses.  The performance of a software team can be partially ascertained by the relative contribution of their non-developer auxiliary teams. As such this place gets a D minus though it's NOT the fault of those individuals, they are smart and work hard. Rather, something completely fundamental is broken and the tail is pretty much wagging the dog here.

Management quality varied greatly.  Overall managers tended to focus on ""managing up"" rather than growing and coaching their own team.  It was hilarious watching people scramble to enter their *2010* career goals in the month of DECEMBER (at the END of the year)!!   ICE offers ZERO tuition reimbursement support, quite unlike their cross-town competitor (CME Group) and other major financial institutions in Chicago.  At ICE TRUST it seems ""Career Development"" = ""What have you done for me lately?"" If you're considering going to ICE Trust,   CONSIDER ANOTHER COMPANY!!   You've been warned."
"5","small company, not much opportunity to grow"
"6","startup culture not much structure reporting relationships are not well defines"
"7","Difficult senior manager in marketing/sales area."
"8","Work from home allowed only on weekends and after-hours to support issues. No Work/life balance. Promotions are for a select few not based on merit. Training/Tuition reimbursement is not offered. 
 A few years ago CEO Jeff Sprecher made a Freudian Slip - during a conference call with the entire company he said he wished he could have all ICE employess toiling away as his slaves.
 After NYSE acquisition there will... be massive layoffs (2000+) in New York."
"9","Very little tolerance for non-traditional schedules, absolutely no respect for family work/life balance.  Very little opportunity to advance career or even move around to more interesting assignments."
"10","Work Load. No job security."
"11","Cons are more towards the team I have been in. Very against automation and writing modular code. Nothing new to learn technically and the most of the tasks were done using obsolete techniques."
"12","Lack of growth in career"
"13","long hours when projects are due
hard work all the time, no time to slack
debates can turn angry at times"
"14","This review is for IntercontinentalExchange Chicago, formally ICE Clear Credit or ICE Trust (Credit Default Swap Clearing house for ICE).

There is zero work life balance; long days and regular weekend work are expected. There is an incredible amount of attrition caused both by employee choice and personal management issues on very small development teams. Several inexperienced managers hired by upper management... friends especially in the technology area, this should eventually improve over time as the attrition and overall employee dissatisfaction continue. The review process is one directional with little opportunity to provide upward feedback. The code base is currently broken in two with a large monolithic J2EE application, PERL scripts, minimal unit tests and a second progressive version authored as dozens of interdependent projects. Innovation is defined as revisioning obsolete systems into somewhat modern architecture.

Please read the other review of ICE Chicago 2010 as it is still completely accurate as of 2012. Expect the same attrition throughout the year."
"15","- Lot less documentation and a new employee has to struggle his way in and is expected to figure  
  things out
- Very few vacation days"
"16","too few vacations and holidays"
"17","Mediocre benefits for employees. Long work hours."
"18","It's difficult for me to find anything negative to say so I will mention that working from home is generally not allowed. My commute took on average 1-1.5 hours each way every day. No fun."
"19","Career growth hindered unless you are in favor of the right people irrespective of your contribution or knowledge"
"20","growth of employees is stunted especially if ICE acquires company1 and if the company1 employees are not trusted and allowed to grow,it is mutual distrust till the employee is let go due to marginalization."
"21","If ICE purchases the company you currently work for, start to look for new work asap. They may not keep you around, or ask you to transfer to another location. Many people there were employees due to acquisitions."
"22","Need to dedicate long hours and overtime is expected."
"23","ICE is still facing growing pains as it enters uncharted territories of new markets and services.  Yet, it's nimble enough to shift resources and priorities based on rapidly changing regulatory and client landscape. Most of its products are heavily regulated and work can be burdened by frequent audits and compliance requirements - as a publicly traded company ICE answers to shareholders and as a systemically... important institution it has heavy reporting requirements to SEC, CFTC,'the Fed', FSA and EC to name a few."
"24","Very hierarchal culture, secretive,  long working hours.  
Very old technologies being reused from the old days, nothing new. 
Pervasive Bureaucracy , lots of layers to go through. 
Promotions are not based on merit. 
No tuition reimbursement."
"25","none. I just love working in this company. Just lots of hours to work"
"26","Not much training going on as yet but will take time to determine this"
"27","The old NYSE culture makes it hard to get anything done or see real ownership of projects."
"28","All of the acquisitions present challenges"
"29","""Flat culture"" they say,  could be ideal in a smaller org, but here it has only led to 0 leadership on the floor.  

Seasoned employees come in late,  take 2 hr lunches,  key projects fall weeks & months behind with no consequences. 

No training,  no on boarding, you have to figure it out yourself.

No work life balance,  you are expected to work 50+  hrs a week, expect to have meetings scheduled on your... lunch break."
"30","The don't pay staff much. They are more about buy companies and than investing in the ones they have."
"31","Management will ask you to do questionable things. Internal transfers are very rare because there is a major emphasis on headcount, as opposed to actual deliverables. Career growth is only available in a few chosen areas. Leadership is nonexistent in a few of the divisions, which leads to low morale and even lower output."
"32","- Should be able to adopt to ICE culture."
"33","nothing new to learn in our team"
"34","Very poor company , make lots of promises on bonus but never fulfill them , expectation is the work 9 hrs and go home and work some more . If you do some side work for your own knowledge it is discouraged completely . They give u rsu ( restricted stock unit ) every year as part of bonus and only 33 % gets vested , if you dont obey what they say they will let you go and keep the stock . They lawyers in this company... are very smart and cover all the grounds so no one can sue them .SO BE VERY CAREFULL"
"35","Little if no work from home policy, the immature CEO seems to treat women the same way they were decades ago. 

We do wonder, what's next? Should they bake a cake? Iron a shirt?

Where is your approach towards a modern woman that wants to balance work and her family?"
"36","The pros are before the CDS Clearing House came under new technology management for both US and EU.  Tech management now sows discord amongst teams and makes up lies about people.  Micro-manages everything while knowing nothing.  A classic functional narcissist.  Also picks favorites regardless of performance and punishes any ideas outside of his ""vision"".  Intra and inter-team cooperation was at an all time low... when I left."
"37","Terrible management; low base pay with next to no yearly increase; equity offered to try and prevent turnover (vests over 3 years); people take on more than they can handle, resulting in botched outcomes; very cheap and always trying to save a buck when they can, regardless of the impact"
"38","Hard to get a raise even with promotion"
"39","The work can get boring. Not very challenging. They don't pay as well as a fund, bank or FCM would. Upper management doesn't pay much attention to Regulation staff because it's not a profit center."
"40","Management unapproachable, rude and ignorant. No communication or support.
 Negative culture -  acknowledged but never addressed. 
 Headcount turnover through the roof, resulting in the constant (monthly) replacement of talented staff 
 This then impacts team morale which is already low. Poor work/life balance due to feelings of stress. 
 No room to grow, no perks (like a friendly office, flexibilty, team... bonding), no office atmosphere at all."
"41","Very high turnover which is not questioned
Leaders lack leadership skills
Management do not care for your well-being
The London office is full of bullies
Staff are so unhappy
Old management style
They have an awful culture and have no values unlike other organisations within financial services."
"42","Low base pay, no work from home, arrogance abounds, middle management act in a dictatorial fashion blocking everyone else from communicating up or down the chain, unwilling to spend money when needed, no real perks for employees"
"43","Yet they sometimes have no clue"
"44","No commitment to sales, not sure what goal of company is"
"45","The company's culture has been completely replaced by that of NYSE and that is disastrous. ICE may have bought NYSE, but it very much seem like it's the other way around. 
Since a NYSE person was promoted ahead of my manager we have been micromanaged and our jobs are made much harder by this. The senior ICE management has allowed the former NYSE personnel to be promoted ahead of their own people and this has caused... a great deal of resentment among the long term employees of ICE. 
IT policies have changed as well and the NYSE policy of locking down employee workstations to the point to where it makes getting anything done to be tedious and everyone's jobs to be far more difficult than they need to be has become the new norm.
All of this has brought me to the point where I'm so considering leaving the company that I am actively looking for a new job. Should one come along that matches the compensation I'm getting at ICE I will promptly give my 2 weeks notice as many other ICE employees have done in the last several months."
"46","limited room for growth, no internship program, does not provide part time employment, expectations and work load spread you too thin, stiff environment"
"47","Located in Central London where communicating can be tiresome."
"48","It was had to find many a negatives except for communications and maybe disseminating of data and ideas when interacting with other groups in a different time zones , however one is always able to resolve and miscommunications."
"49","ICE management thinks NYSE can do no right."
"50","No work from home
long hours.. minimum 9 to 10 daily and with occasional weekend work. Must come before 9 and cant leave before 6
Stale work, You will loose whatever skills you have by keep figuring out how things works in ICE.
No training of their domain or products and they change too fast
No requirements or documentation
Your boss will never listen to you. in ICE its all top to down approach where whatever... management tells is right
Most important No Process
No advancement. Title here are useless.. You could be a director/manager and still might not be managing even a single resource.
No work-life balance and they dont care about your personal family life."
"51","* There is tension between the NY and Atlanta offices with the center of gravity being Atlanta.  This can be frustrating to NY employees because preference is given to ideas an developers there. No major projects started out of New York recently.
* No work from home.  Your manager might allow it, and HR might turn a blind eye.  But officially, it is completely not allowed.
* Stingy benefits.  Less than customary... amount of vacation.  No personal days.  They take your holidays and make 4 of them floating.  Until very recently, rollover was not allowed at all.  Maternity leave, for those who might need it, is less than standard."
"52","no employee development, no flexibility, top down approach, no concerns for employee issues"
"53","When ICE acquired us, they completely destroyed our company culture.  We lost everything that made us unique and became cogs in the ICE machine.  Then they decided to fire (almost) everyone and close our entire office.  Work/life balance is non-existent.  Management constantly talks about transparency while providing absolutely none."
"54","Long hours, high pressure, night and weekend work required and planned into project schedules months in advance. No work life balance. Myopic management who only consider how to cut costs. Much blame to go around when things go wrong."
"55","When we were acquired by ICE everything about our company fell apart. We lost flexibility, work at home privileges, salaries were barely adjusted, bonuses were lower, and our company culture suffered. ICE promised ""transparency"" and instead dismantled our company and is closing our Phoenix office. We were a growing company and now we have been hollowed out and taken apart."
"56","slow at times, management sometimes confused, no potential for major growth within the company"
"57","Not sure I can determine all the cons in 20 words or more. Weak management, weak structure, either you're in the club or you're a dog."
"58","- zero communication from management
- do nothing to invest in training or career development
- the culture is work hard, long hours, little recognition
- flat titles and constant cost cutting makes it difficult to be promoted"
"59","-Way too much work load. 70-80 work week including Saturdays even for non-critical work.
-Management chews more than it can swallow, too many project with very short unrealistic deadlines with sub par delivery all for the sake of cost saving.
-Project timeline slippage is frequent
-Managers are persuasive but not logical or technical."
"60","Mind numbing boring repetitive work. No chance to move to a different job or advance in career. They hold you hostage with the three year vesting schedule of stock grants."
"61","The company is currently going through some growing pains as the NYSE integration continues. This is resulting in new processes, some of which are for the better, but not all."
"62","Struggling to retain legacy employees through ICE/NYSE acquisition. Little concern for inexperienced employees. Management decisions mostly political."
"63","As it has expanded much of what made the company an amazing project to be part of has been eroded. Process and admin make you feel like your swimming in mud. A number of middle managers have been brought in, adding additional layers. ICE don't promote talented staff. Staff aren't given time for projects or campaigns. Recent acquisition not buying in to the company mentality."
"64","Long hours (50+ hrs), their work from home policy only applies on the weekend. Limited growth, very operational mindset and repetitive. Annual pay is below average compared with the market."
"65","ICE is can too fast-paced.  They strive to be very lean and people are expected to do multiple jobs.  They have a minimum work week of 45 hours.  Though you will likely work more three quarters of the year."
"66","Long hours, poor for work life balance, not too much growth potential"
"67","good job"
"68","Lack of clear work priorities, hence most projects seem to go over schedule. When work falls between different teams there is often confusion and disagreement as to who is supposed to own the work.  Now that there are a bunch of layoffs, hoping for process improvement."
"69","There is no concern, care, or interest for the average employee. Once ICE came in and purchased the NYSE and its subsidiaries all benefits and wellness programs were stripped. They changed up the management and C-suite, which can be great, but not in this case. The president of Governance Services is a joke. He creeped everyone out and had dozens of HR complaints and investigations against him."
"70","Long hours, not much opportunity to progress"
"71","No flexible work hours
Weekend work almost very regularly
No growth prospects - promotions and career path is not transparent"
"72","Strategy wasn't always clear down to employee level. Somewhat red tapey and admin heavy. Compensation lowish for financial markets firm."
"73","could be long hours some times"
"74","There is no work from home policy, even though they spend millions on mobile technology. Some managers have egos and just plainly do not know how to manage. The environment is all work no play."
"75","Some organizational bloat introduces tedious tasks as part of the daily workflow."
"76","Work-life balance may not be for everyone."
"77","Constant pressure to cut costs past the point of what clearly makes sense for a business line.  Senior management frequently intransigent in their point of view, even when clearly wrong. Most business lines outside of core energy markets can be sacrificed to protect the core business. Poor work/life balance if you want career advancement."
"78","Only the inner circle is rewarded with huge compensation. The only thing important to management is to fool analysts into believing the hype so that the stock price will rise. No concern for corporate culture, employees, or anything other than paying the top ten as much as possible.  Three things are important: 1. Buy an existing company 2. Fire as many people as possible. 3. Increase fees as high as the market will... bear.  This is not a real corporation, it is a private equity fund. Inept management that gauges customers and fights over who gets to fly on the private planes. A house of cards, ready to fall. Expect the NYSE floor to be sold to Apple to create a store."
"79","horrible place to work, they do not value their employees"
"80","Once ICE acquired and also had another new company merger affect the company and business, the culture became cold and chaotic. Holidays were taken away, and employee programs were also discontinued. The new management completely changed the vision and purpose of the original company, and then they closed the office and laid most of the people off."
"81","Managers treat you like trash and threaten directly if you refuse to work off hours.  No career growth."
"82","Not much room for career growth"
"83","People don't talk much in the elevators."
"84","Limited career growth regardless of whether you really push hard or not. Earn your stripes through serious tenure and accept that its not fully meritocratic."
"85","Lot of info to take in quickly."
"86","Cliques are present in various departments, makes it difficult as a newbie to integrate."
"87","Compensation doesn't fit responsibilities. Some bad junior management. Inconsistent shifts and coverage."
"88","The management is very un-inspiring and non-motivational. They do not care much about professional/personal development - any such undertakings are not supported unless they contribute to the corporate bottom line. The team managers are old-schoolers who are ""managers"" because they have been around for years - they have zero managerial skills. Promotions are very hard to come by, and more often than not, they will... find a reason to not promote or not increase your salary. 

Pay - amongst the lowest of the financial services industry. Managers make it implicit that they do not expect people to stay around too long, resulting in high turnovers. Bonus and salary increments are not discussed with the employees - they use a very non-transparent evaluation/compensation system. Extremely poor benefits, things like the repayment of business expenditures are extremely long-drawn and bureaucratic to get back."
"89","You have to be friends with upper management to be treated well. Many tasks are proprietary and you will not be able to transfer alot of knowledge to another position. The work life balance is non existent. The stress that the job brings is not worth your sanity. The office politics are beyond ridiculous. The processes are very cumbersome  and systems are outdated."
"90","Probably the same as many other places.  Long work days and sometimes weekends."
