"","cons_page1"
"1","not open to other ideas or outside feedback"
"2","- ICE is devoid of growth opportunities and a ""clear path"" towards advancement.
- Equally, with lack of growth, there is a lack in compensation. 
- If you're looking for career complacency or if you're looking to ""plateau"" in your career, apply here.
- ""Company Politics"" prevent success from a leadership level
- Many Teams are ""new"" so there is a dearth of clearly defined processes, templates, and tools - which... leadership refuses to acknowledge"
"3","Provide Employees Clear Paths for Growth, Pay Your Employees, Invest in Employee Retention through improved processes and tools"
"4","Culture very strict and working hours can be very long"
"5","Structure, nothing more to add"
"6","Non or very little work from home. Un Godly red tape to get anything done. ICE has forgotten where it came from."
"7","Management should be more open to employees"
"8","Commute is very long to city perimeter"
"9","Long hours. Poor holiday allowance"
"10","Lack of training, lack of communication, change of benefits."
"11","Take notice of the ""Old school employees, they have so much knowledge""."
"12","* Minimum training
* Bad communication between teams"
"13","The company tends to overwork and underpay their employees. Compensation structure focuses on bonuses, equity, etc. so employees have to ""rough it"" throughout the year."
"14","Pay your employees what they're worth, and turnover wouldn't be a problem!"
"15","no longer equity bonus package"
"16","Work/Life balance can be a challenge, but is improving."
"17","- Below average compensation and not much benefits.
- Little to no investment in continuing education/growth of employees. Very rarely have I seen this happen here.
- Not much team spirit/camaraderie. Boring and predictable to be honest. If you like being in a bubble and sticking to set routine stuff with job security as long as you 'stay in your lane', then ICE/NYSE may be the perfect place for you.
- Nearly... non-existent career growth (Not saying it's impossible, but it's incredibly difficult to get that). Despite having seen signs of attempting to improve (Once in a blue moon), at the core they're still highly political, top-heavy, have tons of favoritism and backdoor dialogues, and just breaks promises/hopes."
"18","Like other company, you are strong does not mean you will be promoted."
"19","Zero warmth amongst team members, no personal interaction. Cold environment."
"20","- competitive
- lack of upward mobility
- micromanagement"
"21","1. Cramped open space office.
2. No career development program
3. Below market value pay package
4. No performance based annual reviews or pay increase (no correlation)
5. You are replaceable. Take it or leave it."
"22","Where to begin:

Communication:  Almost none.  You are a cog in a wheel .... period!  

Culture:  Perfect place to sit behind a desk for 9 plus hours a day.  No team events.  You get to know almost nothing regarding the people you work with everyday. 

Attitude:  Not a lot of happy employees (including HR).  If you have an issue or want further clarification on a specific rule, HR will not happily help you!"
"23","Value employees!  Never thought that would be something that needs to be stated."
"24","Poor  Management; its not what you know its who you know.
Managers are good at managing up and not down.
Management doesn't value feedback from subordinates. 
Work is an illusion and not taken seriously.
No value for long term employees."
"25","Implement management training program"
"26","Despite being a great technology based company it does come with very high expectations and the work life balance is not as good as other companies. It is expected working in such a high demand business but it does wear you down over time."
"27","not alot of input taken from the everyday employees for business decisions or processes, salary takes a while to increase if you get brought in as underpaid"
"28","- Very toxic work place (verbal for example)
- Work-life balance is nonexistent (strongly encourage to eat lunch at your desk is just the tip of the iceberg example)
- Absolutely no WFH policy (unless you want to WFH after you leave the office after working hours which is also encouraged)
- Pay is way below standards especially for software development
- With two weeks left in 2017 they cut everyone's stock... bonuses and refused to pay them out for that year (unless you were upper management and above) that was 20% of my compensation package which was COMBINED already below industry standard
- Career path was defined some finally in 2016 but its mainly for show - small bumps in pay and a better title with tons more work!
- Hiring here is a joke now - grab college grads who barely know what they are doing so they don't have to pay them much - as a senior developer I ended up training new people every 6 months to a year because of this strategy - almost no new people stayed very long
- Turnover is huge - on my team alone I saw MANY existing co-workers leave and many more who were hired/left in my 3 years - on a team that maxed out at around a dozen people. This seemed to be a trend in many departments near mine
- The stress, toxic environment, no work-life balance, and constant abuse over my years here did a lot of damage to my physical and mental health - I can not recommend to anyone that they work here!

There are many good places to work in Atlanta - this is NOT one of them!"
"29","None - you gaslight on purpose to save money - this is your whole strategy. I would not recommend anyone to work here passed the first 2 or 3 years of their career."
"30","You will spend more time on the process than doing the coding."
"31","No promotion opportunities. No trainning.  After two years working there probably you will need a change. Rutine job after one or two years."
"32","Old systems, benefits are not competitive"
"33","Can be very limiting, hard to go above and beyond"
"34","Leadership is hands off. Groups lack direction and clarity. High turnover."
