,Unnamed: 0,X1,pros_page1,pros_page_rating_value,answer_re,answer_re_oth,answer_re_n
0,1,1.0,clear direction of company and desire to be the best in each area they operate in,4,clear direction of company and desire to be the best in each area they operate in,clear direction of company and desire to be the best in each area they operate in,company
1,2,1.0,- Great People - Great Work/Life Balance - Great Benefits,3,- Great People - Great Work/Life Balance - Great Benefits, great people great work life balance great benefits,
2,3,1.0,Forever expanding company so a lot to learn,3,Forever expanding company so a lot to learn,forever expanding company so a lot to learn,company
3,4,1.0,"Team atmosphere, manager , work life balance",4,"Team atmosphere, manager , work life balance",team atmosphere manager work life balance,"work, balance"
4,5,1.0,Consistent raises and great job security. Great facilities.,4,Consistent raises and great job security. Great facilities.,consistent raises and great job security great facilities ,great
5,6,1.0,Great place to work with a gym too,3,Great place to work with a gym too,great place to work with a gym too,"work, place"
6,7,1.0,"Dynamic, interesting company to work for",4,"Dynamic, interesting company to work for",dynamic interesting company to work for,"work, company"
7,8,1.0,Honest hard working people around you.,3,Honest hard working people around you.,honest hard working people around you ,"people, working"
8,9,1.0,* Great opportunity to learn about the financial sector * Diversified * Friendly environment,3,* Great opportunity to learn about the financial sector * Diversified * Friendly environment, great opportunity to learn about the financial sector diversified friendly environment,environment
9,10,1.0,ICE is a rapidly growing company that continues to expand into different market spaces and provides excellent job security. The Atlanta office is lovely and offers exceptional amenities to its employees.,4,ICE is a rapidly growing company that continues to expand into different market spaces and provides excellent job security. The Atlanta office is lovely and offers exceptional amenities to its employees.,ice is a rapidly growing company that continues to expand into different market spaces and provides excellent job security the atlanta office is lovely and offers exceptional amenities to its employees ,company
10,11,2.0,advancedment career. good working environment. multiple projects to work on. good equity bonus package for years,5,advancedment career. good working environment. multiple projects to work on. good equity bonus package for years,advancedment career good working environment multiple projects to work on good equity bonus package for years,"work, working"
11,12,2.0,"Intelligent leadership across the company, growth opportunities, rewarding work.",5,"Intelligent leadership across the company, growth opportunities, rewarding work.",intelligent leadership across the company growth opportunities rewarding work ,
12,13,2.0,"- It's one of those places where if you're interested in the Exchange Industry and want to learn what goes on at a place like ICE/NYSE, it's good to try it for six months to a year at most and then go elsewhere. You can certainly use it as an experience-b",3,"- It's one of those places where if you're interested in the Exchange Industry and want to learn what goes on at a place like ICE/NYSE, it's good to try it for six months to a year at most and then go elsewhere. You can certainly use it as an experience-b", it s one of those places where if you re interested in the exchange industry and want to learn what goes on at a place like ice nyse it s good to try it for six months to a year at most and then go elsewhere you can certainly use it as an experience b,place
13,14,2.0,"Good company, good colleagues, and the company is apparently growing.",5,"Good company, good colleagues, and the company is apparently growing.",good company good colleagues and the company is apparently growing ,company
14,15,2.0,"Building is incredible, compensation and bonuses (if reached) are generous",4,"Building is incredible, compensation and bonuses (if reached) are generous",building is incredible compensation and bonuses if reached are generous,compensation
15,16,2.0,- fast pace - global company - friendly teammates if you are lucky to join a good team,3,- fast pace - global company - friendly teammates if you are lucky to join a good team, fast pace global company friendly teammates if you are lucky to join a good team,"friendly, company, fast"
16,17,2.0,1. Supportive managers and colleagues 2. Work-life balance 3. Good for entry level experience (graduate or changing careers),4,. Supportive managers and colleagues . Work-life balance . Good for entry level experience (graduate or changing careers), supportive managers and colleagues work life balance good for entry level experience graduate or changing careers ,balance
17,18,2.0,The best part of working for ICE is being associated with the NYSE. The high profile nature of one of the most iconic buildings in finance history is a plus.,3,The best part of working for ICE is being associated with the NYSE. The high profile nature of one of the most iconic buildings in finance history is a plus.,the best part of working for ice is being associated with the nyse the high profile nature of one of the most iconic buildings in finance history is a plus ,working
18,19,2.0,Great brand and sense of pride working for an iconic organization,2,Great brand and sense of pride working for an iconic organization,great brand and sense of pride working for an iconic organization,working
19,20,2.0,The technology sector of the company is so robust. It has many different facets where you can experience every form of software development. The CTO expects the highest standards of software delivered to it's customers. Every aspect of the company understands that it's software and the teams that support it is their core business. Despite being a large company they treat their engineers with the highest levels of... respect. Being around such exceptional talent is invigorating and a great environment.,5,The technology sector of the company is so robust. It has many different facets where you can experience every form of software development. The CTO expects the highest standards of software delivered to it's customers. Every aspect of the company understands that it's software and the teams that support it is their core business. Despite being a large company they treat their engineers with the highest levels of... respect. Being around such exceptional talent is invigorating and a great environment.,the technology sector of the company is so robust it has many different facets where you can experience every form of software development the cto expects the highest standards of software delivered to it s customers every aspect of the company understands that it s software and the teams that support it is their core business despite being a large company they treat their engineers with the highest levels of respect being around such exceptional talent is invigorating and a great environment ,"great, company"
20,21,3.0,"Benefits are great, Learn alot, will pay for career learning",5,"Benefits are great, Learn alot, will pay for career learning",benefits are great learn alot will pay for career learning,pay
21,22,3.0,- Office is nice and has a great cafe - Some people you meet and work with here are great and very smart,3,- Office is nice and has a great cafe - Some people you meet and work with here are great and very smart, office is nice and has a great cafe some people you meet and work with here are great and very smart,"great, smart, work, people"
22,23,3.0,easy life and work life balance,2,easy life and work life balance,easy life and work life balance,"work, balance"
23,24,3.0,No stress Easy job The salary is ok Multicultural environment,4,No stress Easy job The salary is ok Multicultural environment,no stress easy job the salary is ok multicultural environment,"salary, environment"
24,25,3.0,"Can learn lots, open and friendly people, even senior management",4,"Can learn lots, open and friendly people, even senior management",can learn lots open and friendly people even senior management,"management, senior, friendly"
25,26,3.0,Work with some very bright people under good leadership,3,Work with some very bright people under good leadership,work with some very bright people under good leadership,people
26,27,3.0,Company has broad business segments. Employees are willing to assist in projects. Have visibility into over all company reach.,4,Company has broad business segments. Employees are willing to assist in projects. Have visibility into over all company reach.,company has broad business segments employees are willing to assist in projects have visibility into over all company reach ,company
27,28,3.0,I've worked with great people who unfortunately get layoff after the mergers or annual large layoffs.,1,I've worked with great people who unfortunately get layoff after the mergers or annual large layoffs.,i ve worked with great people who unfortunately get layoff after the mergers or annual large layoffs ,"great, people"
28,29,3.0,"Good work life balance, good team culture. Nice coffee machine in the kitchen.",3,"Good work life balance, good team culture. Nice coffee machine in the kitchen.",good work life balance good team culture nice coffee machine in the kitchen ,work
29,30,3.0,- Good work life balance - Knowledgeable and friendly employees - Future is bright,4,- Good work life balance - Knowledgeable and friendly employees - Future is bright, good work life balance knowledgeable and friendly employees future is bright,"friendly, work, balance"
30,31,4.0,Good benefits and work-life balance.,4,Good benefits and work-life balance.,good benefits and work life balance ,benefits
31,32,4.0,"Brilliant leadership, terrific strategic direction, initiatives getting going on work-life balance, challenging work",5,"Brilliant leadership, terrific strategic direction, initiatives getting going on work-life balance, challenging work",brilliant leadership terrific strategic direction initiatives getting going on work life balance challenging work,work
32,33,4.0,The company has a good brand name and many smart people.,2,The company has a good brand name and many smart people.,the company has a good brand name and many smart people ,"smart, company"
33,34,4.0,Brand name on profile. Nothing else,1,Brand name on profile. Nothing else,brand name on profile nothing else,
34,35,4.0,"I love working alongside smart people - like in tennis, I like to 'play up' to better my own game. EVERYONE here is smart - we work very hard, and we are lean. But there are no slackers, and you can be assured that the guy sitting next to you can teach you something you didn't know, no matter what your experience. We get employee discounts on stock purchases (free money), have free health care, and have a... company-subsidized full-scale restaurant on site. Oh yeah, a yoga studio with multiple FREE instructor-led classes every day.",4,"I love working alongside smart people - like in tennis, I like to 'play up' to better my own game. EVERYONE here is smart - we work very hard, and we are lean. But there are no slackers, and you can be assured that the guy sitting next to you can teach you something you didn't know, no matter what your experience. We get employee discounts on stock purchases (free money), have free health care, and have a... company-subsidized full-scale restaurant on site. Oh yeah, a yoga studio with multiple FREE instructor-led classes every day.",i love working alongside smart people like in tennis i like to play up to better my own game everyone here is smart we work very hard and we are lean but there are no slackers and you can be assured that the guy sitting next to you can teach you something you didn t know no matter what your experience we get employee discounts on stock purchases free money have free health care and have a company subsidized full scale restaurant on site oh yeah a yoga studio with multiple free instructor led classes every day ,"people, stock, smart, work, free, health, working"
35,36,4.0,The benefits are above normal.,2,The benefits are above normal.,the benefits are above normal ,benefits
36,37,4.0,great place for everyone to work,5,great place for everyone to work,great place for everyone to work,"work, place, great"
37,38,4.0,Good insurance and incentive plan,1,Good insurance and incentive plan,good insurance and incentive plan,insurance
38,39,4.0,Benefits and work life balance are good.,3,Benefits and work life balance are good.,benefits and work life balance are good ,"work, balance"
39,40,4.0,Great environment to work. People are very collaborative and managers work closely to make sure work is recognized.,4,Great environment to work. People are very collaborative and managers work closely to make sure work is recognized.,great environment to work people are very collaborative and managers work closely to make sure work is recognized ,"work, environment"
40,41,5.0,Great benefits given to their employees.,4,Great benefits given to their employees.,great benefits given to their employees ,benefits
41,42,5.0,Offer free food & drinks in cafeteria,1,Offer free food & drinks in cafeteria,offer free food drinks in cafeteria,"free, food"
42,43,5.0,-Great Benefits -Very Fast Paced -Great Management Teams -Lots of Growth and Opportunities,5,-Great Benefits -Very Fast Paced -Great Management Teams -Lots of Growth and Opportunities, great benefits very fast paced great management teams lots of growth and opportunities,
43,44,5.0,"Competitive salary, flexible hours, multicultural, good business processes",5,"Competitive salary, flexible hours, multicultural, good business processes",competitive salary flexible hours multicultural good business processes,flexible
44,45,5.0,"benefits- annual bonus, sick days from the first day and a high number of vacation days, espp program",4,"benefits- annual bonus, sick days from the first day and a high number of vacation days, espp program",benefits annual bonus sick days from the first day and a high number of vacation days espp program,
45,46,5.0,"For those that have been there a long time, the pay was decent but likely you're being pushed out (or already have been) by management cost cutting.",1,"For those that have been there a long time, the pay was decent but likely you're being pushed out (or already have been) by management cost cutting.",for those that have been there a long time the pay was decent but likely you re being pushed out or already have been by management cost cutting ,"management, pay"
46,47,5.0,"flat organization to access all different high level of management team, a good benefits, lots of good smart people around to work with",4,"flat organization to access all different high level of management team, a good benefits, lots of good smart people around to work with",flat organization to access all different high level of management team a good benefits lots of good smart people around to work with,"smart, work, management, people"
47,48,5.0,"Interesting work, can learn alot, great colleagues",1,"Interesting work, can learn alot, great colleagues",interesting work can learn alot great colleagues,great
48,49,5.0,"Greate environment (rooms, not open space), good people and really good location (azriel tower in tel aviv)",5,"Greate environment (rooms, not open space), good people and really good location (azriel tower in tel aviv)",greate environment rooms not open space good people and really good location azriel tower in tel aviv ,"environment, people"
49,50,5.0,Great pay & bonues and opportunity,4,Great pay & bonues and opportunity,great pay bonues and opportunity,pay
50,51,6.0,Good work - life balance Work starts at 8.30am and finishes at 5pm Free Coffees everyday Less than 100 employees in Dublin office Great benefits once you are working as full time employee,4,Good work - life balance Work starts at .am and finishes at pm Free Coffees everyday Less than employees in Dublin office Great benefits once you are working as full time employee,good work life balance work starts at am and finishes at pm free coffees everyday less than employees in dublin office great benefits once you are working as full time employee,"work, balance, benefits, working"
51,52,6.0,"Good 401K match, 6 percent",1,"Good K match, percent",good k match percent,
52,53,6.0,"There are some very smart people that work here. You have to be driven and motivated to work here, status quo doesn't cut it. Plenty of opportunity in this company.",3,"There are some very smart people that work here. You have to be driven and motivated to work here, status quo doesn't cut it. Plenty of opportunity in this company.",there are some very smart people that work here you have to be driven and motivated to work here status quo doesn t cut it plenty of opportunity in this company ,"smart, work, people"
53,54,6.0,Good brand and good name to have on your CV,1,Good brand and good name to have on your CV,good brand and good name to have on your cv,
54,55,6.0,"You will work with very smart people. Nice building, cafeteria and gym. Work From Home Benefits - 1 day a week, Fast moving business and well funded projects. Startup culture.",4,"You will work with very smart people. Nice building, cafeteria and gym. Work From Home Benefits - day a week, Fast moving business and well funded projects. Startup culture.",you will work with very smart people nice building cafeteria and gym work from home benefits day a week fast moving business and well funded projects startup culture ,"smart, work"
55,56,6.0,Smart colleagues Opportunities to grow Execs try to run the company like a small firm Accountability,3,Smart colleagues Opportunities to grow Execs try to run the company like a small firm Accountability,smart colleagues opportunities to grow execs try to run the company like a small firm accountability,company
56,57,6.0,"Its the most unique company Ive worked for. Management does come off harsh, and projects are plentiful with unreasonable timelines. But the attitude here is you either sink or you swim. Those that manage to stay afloat long enough, begin to understand the reason behind the madness. There is a lot of work here, but it does feel like family once you decide to be a part of it. I never experienced any knowledge... sharing problems like some reviews are saying. I just dont think people here waste time, because there is no time to waste. Recently some people were let go, but I wasnt surprised; they didnt qualify for the standard that ICE is looking for. All that were let go were given severance packages depending on their time with the company and contributions. Some people are expecting a catering/caring culture, well you wont find that here. Its the best of the best, doing their best, staying on top of the niches in the industry. Why do you think we are so profitable year after year? Good bonus pay, good benefits(health, vision, dental, matching 6% 401k, competetive bonus% depending on your role, PTO, unlimited sick days, floating holidays, etc)",4,"Its the most unique company Ive worked for. Management does come off harsh, and projects are plentiful with unreasonable timelines. But the attitude here is you either sink or you swim. Those that manage to stay afloat long enough, begin to understand the reason behind the madness. There is a lot of work here, but it does feel like family once you decide to be a part of it. I never experienced any knowledge... sharing problems like some reviews are saying. I just dont think people here waste time, because there is no time to waste. Recently some people were let go, but I wasnt surprised; they didnt qualify for the standard that ICE is looking for. All that were let go were given severance packages depending on their time with the company and contributions. Some people are expecting a catering/caring culture, well you wont find that here. Its the best of the best, doing their best, staying on top of the niches in the industry. Why do you think we are so profitable year after year? Good bonus pay, good benefits(health, vision, dental, matching % k, competetive bonus% depending on your role, PTO, unlimited sick days, floating holidays, etc)",its the most unique company ive worked for management does come off harsh and projects are plentiful with unreasonable timelines but the attitude here is you either sink or you swim those that manage to stay afloat long enough begin to understand the reason behind the madness there is a lot of work here but it does feel like family once you decide to be a part of it i never experienced any knowledge sharing problems like some reviews are saying i just dont think people here waste time because there is no time to waste recently some people were let go but i wasnt surprised they didnt qualify for the standard that ice is looking for all that were let go were given severance packages depending on their time with the company and contributions some people are expecting a catering caring culture well you wont find that here its the best of the best doing their best staying on top of the niches in the industry why do you think we are so profitable year after year good bonus pay good benefits health vision dental matching k competetive bonus depending on your role pto unlimited sick days floating holidays etc ,"company, work, people"
57,58,6.0,"Very stable. Unimaginative, boring company. Probably lots of job openings soon!",3,"Very stable. Unimaginative, boring company. Probably lots of job openings soon!",very stable unimaginative boring company probably lots of job openings soon ,
58,59,6.0,If you want to coast along in a comfortable arm chair this is NOT the company for you. Expects results and pays accordingly.,5,If you want to coast along in a comfortable arm chair this is NOT the company for you. Expects results and pays accordingly.,if you want to coast along in a comfortable arm chair this is not the company for you expects results and pays accordingly ,company
59,60,6.0,Very easy to get a job here on account of the high turnover. Disregard the requirements and apply if you badly need a job. You’re pretty much guaranteed a job on account of the lack of people willing to work in these conditions.,1,Very easy to get a job here on account of the high turnover. Disregard the requirements and apply if you badly need a job. You’re pretty much guaranteed a job on account of the lack of people willing to work in these conditions.,very easy to get a job here on account of the high turnover disregard the requirements and apply if you badly need a job you re pretty much guaranteed a job on account of the lack of people willing to work in these conditions ,"work, people"
60,61,7.0,Great team great team leader,4,Great team great team leader,great team great team leader,great
61,62,7.0,"Work in new technology, good salery and great peaple.",3,"Work in new technology, good salery and great peaple.",work in new technology good salery and great peaple ,great
62,63,7.0,Team members and location is the only good,2,Team members and location is the only good,team members and location is the only good,
63,64,7.0,"Dynamic, aggressive growth, interesting projects",4,"Dynamic, aggressive growth, interesting projects",dynamic aggressive growth interesting projects,
64,65,7.0,Innovative self-starter environment with the job security of an established firm.,5,Innovative self-starter environment with the job security of an established firm.,innovative self starter environment with the job security of an established firm ,environment
65,66,7.0,Offer bonus and share scheme. Investment in infrastructure to improve things. Company always seems to be expanding by buying other companies.,3,Offer bonus and share scheme. Investment in infrastructure to improve things. Company always seems to be expanding by buying other companies.,offer bonus and share scheme investment in infrastructure to improve things company always seems to be expanding by buying other companies ,
66,67,7.0,Pay was decent as well as bonus structure,2,Pay was decent as well as bonus structure,pay was decent as well as bonus structure,
67,68,7.0,Co-workers are smart and personable.,3,Co-workers are smart and personable.,co workers are smart and personable ,smart
68,69,7.0,- Stable and successful company. - Attractive compensation package. - Great people. - Smart executives.,3,- Stable and successful company. - Attractive compensation package. - Great people. - Smart executives., stable and successful company attractive compensation package great people smart executives ,compensation
69,70,7.0,"Successful company, important industry, you learn a lot about financial technology.",2,"Successful company, important industry, you learn a lot about financial technology.",successful company important industry you learn a lot about financial technology ,
70,71,8.0,"Good manager, nice cafe, gym",2,"Good manager, nice cafe, gym",good manager nice cafe gym,
71,72,8.0,"Pay, learn complex work very quickly, working at the forefront of the financial world, experience may vary depending on department.",3,"Pay, learn complex work very quickly, working at the forefront of the financial world, experience may vary depending on department.",pay learn complex work very quickly working at the forefront of the financial world experience may vary depending on department ,"work, working"
72,73,8.0,Nothing. I honestly can't think of anything that made my time there enjoyable.,3,Nothing. I honestly can't think of anything that made my time there enjoyable.,nothing i honestly can t think of anything that made my time there enjoyable ,
73,74,8.0,Good cafeteria. Office is on interstate.,1,Good cafeteria. Office is on interstate.,good cafeteria office is on interstate ,
74,75,8.0,This is a advantage to work in a company having a direct relationship with NYSE.,4,This is a advantage to work in a company having a direct relationship with NYSE.,this is a advantage to work in a company having a direct relationship with nyse ,"work, company"
75,76,8.0,"Nice offices ,coffee, its all.",2,"Nice offices ,coffee, its all.",nice offices coffee its all ,
76,77,8.0,- Great Benefits - Great office location in Atlanta - Fast Pace Environment - Lots of growth Opportunity,4,- Great Benefits - Great office location in Atlanta - Fast Pace Environment - Lots of growth Opportunity, great benefits great office location in atlanta fast pace environment lots of growth opportunity,
77,78,8.0,Great benefits and vacation plan,3,Great benefits and vacation plan,great benefits and vacation plan,benefits
78,79,8.0,People are extrem friendly; good place to start your career; company is expanding,3,People are extrem friendly; good place to start your career; company is expanding,people are extrem friendly good place to start your career company is expanding,"place, company"
79,80,8.0,"Great conditions, salary, stock plan.",5,"Great conditions, salary, stock plan.",great conditions salary stock plan ,stock
80,81,9.0,"If you like gossip and back stabbing, this is your place ; and bonus if you always take credit from others work ...!",1,"If you like gossip and back stabbing, this is your place ; and bonus if you always take credit from others work ...!",if you like gossip and back stabbing this is your place and bonus if you always take credit from others work ,"work, place"
81,82,9.0,"The people are great to work with, and management at all levels care both about the product and the individuals that deliver it. Great flexibility.",3,"The people are great to work with, and management at all levels care both about the product and the individuals that deliver it. Great flexibility.",the people are great to work with and management at all levels care both about the product and the individuals that deliver it great flexibility ,"great, work, management, people"
82,83,9.0,Nice atmosphere Excellent people Great Management,3,Nice atmosphere Excellent people Great Management,nice atmosphere excellent people great management,people
83,84,9.0,They let you purchase their stock at a 15% discount.,2,They let you purchase their stock at a % discount.,they let you purchase their stock at a discount ,stock
84,85,9.0,Fortune 500 company. Many technologies to learn. Easy way to make money doing essentially nothing.,4,Fortune company. Many technologies to learn. Easy way to make money doing essentially nothing.,fortune company many technologies to learn easy way to make money doing essentially nothing ,
85,86,9.0,"The cafeteria is nice and the gym is new. If you like to play the corporate ladder climbing politics game, here's the place for you...though no guarantee you'll win.",1,"The cafeteria is nice and the gym is new. If you like to play the corporate ladder climbing politics game, here's the place for you...though no guarantee you'll win.",the cafeteria is nice and the gym is new if you like to play the corporate ladder climbing politics game here s the place for you though no guarantee you ll win ,place
86,87,9.0,Some friendly and helpful coworkers. 401k with 6% match offered. Advertises unlimited sick days to bebused for personal and family health reasons. Pretty standard pto package.,1,Some friendly and helpful coworkers. k with % match offered. Advertises unlimited sick days to bebused for personal and family health reasons. Pretty standard pto package.,some friendly and helpful coworkers k with match offered advertises unlimited sick days to bebused for personal and family health reasons pretty standard pto package ,"friendly, health"
87,88,9.0,Very active and very intense environment.,3,Very active and very intense environment.,very active and very intense environment ,
88,89,9.0,Salary + Benefits are the only Pros I can think of working in that company.,1,Salary + Benefits are the only Pros I can think of working in that company.,salary benefits are the only pros i can think of working in that company ,working
89,90,9.0,Solid big international company with opportunity of reallocation,2,Solid big international company with opportunity of reallocation,solid big international company with opportunity of reallocation,company
90,91,10.0,Pay is good unless the pay structure is changed on you in December which has been typical the past 2 years.,2,Pay is good unless the pay structure is changed on you in December which has been typical the past years.,pay is good unless the pay structure is changed on you in december which has been typical the past years ,pay
91,92,10.0,great brand and growing force in the data services business,3,great brand and growing force in the data services business,great brand and growing force in the data services business,great
92,93,10.0,"Year end bonus comoeyive salaries,nice office",1,"Year end bonus comoeyive salaries,nice office",year end bonus comoeyive salaries nice office,
93,94,10.0,"Perfect place for anyone who, thrives in an environment and culture driven on the pursuit of mediocrity, enjoy's fiefdoms dominated by unqualified, disconnected and ill-equipped management and is seeking to be underpaid, undermined and believes MS Access & Excel are state-of-the-art enterprise database and business reporting tools.",4,"Perfect place for anyone who, thrives in an environment and culture driven on the pursuit of mediocrity, enjoy's fiefdoms dominated by unqualified, disconnected and ill-equipped management and is seeking to be underpaid, undermined and believes MS Access & Excel are state-of-the-art enterprise database and business reporting tools.",perfect place for anyone who thrives in an environment and culture driven on the pursuit of mediocrity enjoy s fiefdoms dominated by unqualified disconnected and ill equipped management and is seeking to be underpaid undermined and believes ms access excel are state of the art enterprise database and business reporting tools ,"culture, environment, management, place"
94,95,10.0,Very good work envrionment ant profissional team,4,Very good work envrionment ant profissional team,very good work envrionment ant profissional team,work
95,96,10.0,Big company with bonus and three weeks vacation days,3,Big company with bonus and three weeks vacation days,big company with bonus and three weeks vacation days,company
96,97,10.0,"Good work life balance, growing mindset, management does not care about the birocracy stuff and gives rather great freedom with regard to technology.",4,"Good work life balance, growing mindset, management does not care about the birocracy stuff and gives rather great freedom with regard to technology.",good work life balance growing mindset management does not care about the birocracy stuff and gives rather great freedom with regard to technology ,"work, management, great"
97,98,10.0,"Decent schedule, good experience with VBA, helpful teammates",3,"Decent schedule, good experience with VBA, helpful teammates",decent schedule good experience with vba helpful teammates,
98,99,10.0,401k match compensation some people are nice and willing to help,3,k match compensation some people are nice and willing to help,k match compensation some people are nice and willing to help,"compensation, people"
99,100,10.0,Not much anymore and it’s sad,2,Not much anymore and it’s sad,not much anymore and it s sad,
100,101,11.0,"Good Pay, interesting work, reasonable work/life balance",2,"Good Pay, interesting work, reasonable work/life balance",good pay interesting work reasonable work life balance,balance
101,102,11.0,"Great corporate culture, nice technology team, highly performant team..",5,"Great corporate culture, nice technology team, highly performant team..",great corporate culture nice technology team highly performant team ,
102,103,11.0,"Hard charging, low to no politics, meritocracy at its finest, manages out low performers, leaders listen to input and values peformance,",5,"Hard charging, low to no politics, meritocracy at its finest, manages out low performers, leaders listen to input and values peformance,",hard charging low to no politics meritocracy at its finest manages out low performers leaders listen to input and values peformance ,
103,104,11.0,There are some good people.,1,There are some good people.,there are some good people ,
104,105,11.0,"Comparatively attractive STARTING compensation package - They throw some money like we throw peanuts to monkeys in zoo but remember they still think you are a MONKEY! Stock bonus for director or above and their close aide. If you have skills to find innocents in order to induce self-destruction, harassment and mutual backstabbing, you have definitely come to the right place. Cafeteria and coffee",4,"Comparatively attractive STARTING compensation package - They throw some money like we throw peanuts to monkeys in zoo but remember they still think you are a MONKEY! Stock bonus for director or above and their close aide. If you have skills to find innocents in order to induce self-destruction, harassment and mutual backstabbing, you have definitely come to the right place. Cafeteria and coffee",comparatively attractive starting compensation package they throw some money like we throw peanuts to monkeys in zoo but remember they still think you are a monkey stock bonus for director or above and their close aide if you have skills to find innocents in order to induce self destruction harassment and mutual backstabbing you have definitely come to the right place cafeteria and coffee,compensation
105,106,11.0,"Great company to advance, good vacation time",3,"Great company to advance, good vacation time",great company to advance good vacation time,company
