"","cons_page1"
"1","As a software developer in a finance oriented company, you are treated like a commodity.  The company is actively pursuing offshoreing, outsourcing, whatever you want to call it.  Upper management seems only focused on increasing the perception of value to investors, while neglecting the nuts and bolts of the everyday operations.  Famous quote from the CEO: ""In real estate there are three essential things: location,... location, location.  In our business, it's data, data, data.""  But many employees are left wondering why the actions dont match the words.  Not much feeling of comeradery or team/company spirit."
"2","Don't kill the golden goose.  You cant downsize and offshore your way to success.  Stop thinking like an investment banker, and start thinking like a leader.  People probably dont really expect corporate leadership to be totally honest, so stop trying so hard to convince us of that."
"3","Management blames underlings for failure. No incentive to improve business processes."
"4","Take leadership role seriously"
"5","No sense of purpose for where the company is headed, few growth prospects, little to no skill development, generally static work environment, lots of bureaucracy, lots of busy work and work for the sake of work; the fact that the industry is small leaves long-term employees at a disadvantage seeking positions elsewhere, because the skill set is unique and does not easily apply to other fields."
"6","Transition issues are understandable given the recent string of acquisitions and restructuring. More of a problem is the lack of vision communicated to employees. Lots of fancy words about growth and change don't make up for the fact that priorities are not communicated to employees. If someone is asked to work on a project, it is necessary to communicate what the end goal is: who will see the project, and how the... company and/or the department will benefit. This is not the case. Projects come up one after another, with little of direction or purpose; because of a missing compass of priorities, useless but urgent projects often take precedence over more important ones."
"7","Unfortunately, the company is a dysfunctional organization that rewards unconditional allegiance, especially at higher levels. The result is a lot of emphasis on upward management, a lot of energy wasted on polishing appearances. Most of the sales force is pretty clueless about Barra products."
"8","Good luck."
"9","Communication across the company could be improved; sometimes there is redundancy between groups that could be eliminted or smoothed out if there was better communication."
"10","Senior management is good at making sure the company doesn't do anything to exorbitant or rash, but continues to grow.  They should continue to do this."
"11","Inconsistent  leadership

Limited opportunities for growth"
"12","Stay focuced on the big picture. Micromanagement will not earn you respect nor produce the best results from your group."
"13","not always very intellectually challenging"
"14","create some whacky products haha"
"15","It's a competitive environment - you are expected to contribute above expectations and take charge of your own development and career."
"16","Great leadership."
