"","x"
"1","Good benefits, quiet office"
"2","Good benefits, office environment, talented people"
"3","The company treats employees with warmth. You will get to work with people from around the world, and it would lead to a great learning experience."
"4","It was a good profile as it boosted my analytical skills and improved my working knowledge of Microsoft Office"
"5","Flexible work hour and work from home option
co workers are nice and helpful"
"6","Data.  History. Some balance."
"7","Immense resources available to improve technical skills. Management tries to provide perks such as ""fun days"" and cultural celebrations."
"8","Flexi work timing, quality of work is good"
"9","Small Company, Good work in Research team, Decent Work Life Balance"
"10","Lot to learn about finance"
"11","Best grade salaries and compensation in Hungary, good self development opportunities (not in every role), career acceleration, many challenges to work on, be creative and provide your own solutions"
"12","Good learning/ diverse work / compensation is good"
"13","Flexible work culture , nice policies"
"14","Great learning opportunities. Good paymasters and great benefits, health insurance etc."
"15","Many benefits and travel advantages."
"16","Nice work environment
Transparency within leads
Much growth options
Fun@work - Events"
"17","Salary is above market level"
"18","Global
Experiencia
Accesibles
Excelente ambiente laboral
Las mejores oficinas"
"19","Some interesting people to work with. Good benefits; Decent work-life balance."
"20","El trato de la gente es muy amable.
El balance vida trabajo es perfecto. 
Tienen muchos beneficios, vacaciones, etc. Muy por encima de otras empresas en México"
"21","Flexi timing and clean washrooms"
"22","Flexible working environment - good for starting the career but not to continuing it"
"23","Depending on the team you are in--great work environment, flexible hours, and employee-friendly."
"24","Great learning experience, great environment."
"25","MSCI has strong pricing power in parts of the index business!"
"26","Prestaciones: 20 días de vacaciones desde el primer día laboral, bono anual, caja de ahorro, bono de referencia"
"27","Great People and Products. High Quality Research."
"28","Matured platforms and projects. Good compensation and benefits. Good to work. Product development company."
"29","Prompt settlement of dues, Relaxed office environment, friendly HR policies. Many members among the senior management are very knowledgable, and the company has continually displayed tactical acumen through both organic and inorganic growth. They try to run a tight ship and this has made them a shareholder darling. The sales teams are extremely aggressive (in a good way)."
"30","Worth to work in terms of improving system skills"
"31","Good compensation, good exposure"
"32","NICE EXPERIENCE NICE TEAM NICE"
"33","The working environment, learning opportunities, location."
"34","Le salaire, c'est le seul avantage que je vois, le reste n'est bon qu'en théorie."
"35","Amazing work culture with helpful people. Opportunities to learn and work on cutting edge products and technologies."
"36","Interesting work. Growth company. Relatively flat."
"37","People are very approachable, humble, and helpful. Starting to use new technologies. Medium sized company. Good work gets noticed. Have events, fun days for networking."
"38","Susbcription based business with 90% renewal rate
Global
Institutional, enterprise clients"
"39","Good for opportunity and stabilityfor carrier"
"40","Excellent work environment and facility
Great perks according to the type of Industry"
"41","Work Life Balance is great"
"42","Great Work/Life Balance
Always got a raise
Offices are encouraged to enjoy free time
Co-workers"
