,X1,pros_page1,pros_page_rating_value
1,2,"Great colleagues
Good opportunities for growth and career advancement
Warm corporate culture 
High-level support for entrepreneurial initiatives, new ideas
Good benefits package",3
2,2,Flexible times and work-life balance.,2
3,2,Great work life balance. You can quickly get new responsibilities since teams are small and talent is appreciated.,3
4,2,Good for a very short-term early career move. Moving most support jobs to low-cost employment countries so no reason to stay.,2
5,2,"Great coworkers
Flexible schedule
Fun environment, very informal",5
6,2,Casual atmosphere - jeans and t-shirts are permitted.  Very intelligent co-workers.  Interesting work.,3
7,2,"- 4 weeks paid vacation plus 10 sick days
- very smart people",5
8,2,Great structure and a high amount of communication between all levels.,5
9,2,"* Learn directly how the backoffice IT systems of financial companies work.
* Learn indirectly how financial risk management software works.
* Work with people from around the world, in your office as well as the other offices around the world.
* Decent salary and benefits.",2
10,2," Great equity index business. index products are highly respected in the investment management industry and MSCI generates impressive margins. Check out their investor relations site and you know what I mean. A very profitable business means that, in pri",2
11,3,Riskmetrics Group has a very laid back atmosphere yet everyone is productive and takes responsibility for their work.  I have never worked at a company that was so interested in my success as an individual and so willing to recognized me for my accomplishments.,3
12,3,"Senior management is keen on cost cutting. If you are working in emerging markets, e.g. india, china. The center you are working at still have opportunity to grow. Your promotion ladder is still there.

In general, Work/Life balance is good. However, it also depends on which team you join, and which leader you report to.",2
13,3,"Intelligent people. Collegiate, challenging environment. Interesting client base.",3
14,3,"- Relaxed and open atmosphere
- Smart and motivated colleagues
- Great for software developers wanting to build ambitious systems",2
15,3,"access to senior management
growth opportunities if in it for the long run
fast growing company
morgan stanley background",5
16,3,"- casual dress code;
- ability to telecommute;
- app. 20 days of annual leave;",3
17,3,The opp to interact with very smart people,5
18,3,"MSCI Barra has wonderful products, talented people, and a great client list.  You will learn a lot.",5
19,3,"Great global footprint.
Smart people in all departments and at all levels.
Strong strategic focus.
People who know how to deliver strong results.",2
20,3,"Network with clients (potential employesrs)
Simple business model (either Risk or Indices)
Good office locations
Basic salary is competitive (but bonus poor)",2
21,4,"Small company environment, with opportunities to excel with hardwork.",3
22,4,"good work life balance, friendly people, good reputation in the risk management industry, pretty good pay and compensation, good management, relaxed culture",2
23,4,"Great Culture, Smart people who are approachable, mutual respect. Not Bureaucratic.",3
24,4,"I work at RMG because of the people, culture, growth (personal & professional) and opportunities.  I know I could make more money elsewhere but I'm doing what I love with people I really like.  One of the cool things is that RiskMetrics encourages us to focus on our strengths to guide our careers.",2
25,4,"challenging environment; friendly, intellectually curious and knowledgable coworkers; family-friendly company; feedback is respected by management",5
26,4,"Relaxed environment.
Good hours
Family-centric
Non-manager are nice people",3
27,4,"Great people and the chance to work with global offices
Decent pay and decent benefit
Opportunities for transferring to different locations",5
28,4,"There's flexibility at work, people are smart, projects are challenging, Work place and environment is fun, overall comensation is satisfactory",5
29,4,(true)RiskMetrics people is probably the biggest reason you would work for RiskMetrics. You will learn a lot from lots of smart people who are willing to share what they know.,2
30,4,It's good to learn the Barra models if you are interested in the risk management analytics since the Barra methodology and products are industry leaders; good flexibility in term of days off and personal leaves; most people are hard working and competent,2
31,5,"Good work and life balance
Nice people",3
32,5,"Fairness and kindness atmosphere as well as open working space.
People here respect each other no matter they are senior or entry level.",2
33,5,Dirección buena y competente en general. Buen equilibrio entre el trabajo y la vida privada.  Buena comunicación en la empresa.  La presión no es tan alta como la de sus compañeros.  Ambiente divertido y en general un lugar relajado para trabajar.  Bajo índice de rotación de personal,3
34,5,"RiskMetrics culture is one that allows employees to develop through collaboration with other teams.  There is no division between groups, but more of a group effort to deliver a product.  All offices have an open office layout, making management of all levels completely accessible.",2
35,5,"Good benefits, fairly base salary. Good environment.",5
