"","X1","pros_page1","pros_page_rating_value"
"1",1,"Good vacation: 4 full weeks.  If you are a diligent worker, should feel secure in your position.  Commute is easy with BART.  Name recognition within the industry, looks good on the resume.  Company does sponsor CFA studies and test taking.  Work hours are reasonable.  Good place if your background is physics or financial analysis.  If you are a researcher, it is a really good place.","3.0"
"2",1,"The cooperative environment with colleagues.","2.0"
"3",1,"OK compensation, good benefits, 4 weeks paid vacation, flexibility with telecommuting if desired, consistent 9 to 5 schedule, no long hors outside of proxy season, relaxed work atmosphere.","3.0"
"4",1,"The company offers a tremendous opportunity to learn about the investment management business, especially on the analytics side (the old Barra). If you're in an outward-facing role, you'll also get excellent access to money manager clients (i.e., future employers). On the day to day level, you get to work with smart people and do interesting work, often in a collegial atmosphere.","2.0"
"5",1,"RiskMetrics is a place where everyone's opinion is valued, and everyone has the opportunity to make a contribution.  There is also the opportunity to learn new things and work on exciting and interesting technologies.  And, everyone has the ability to define their own career path, such as it is.","5.0"
"6",1,"Formerly Barra, this was once a place that had a grad school atmosphere and was a market leader of institutional analytics. The brainpower and product knowledge and support was unrivaled then, but a lack of leadership in management and inability to harness and support talent lead to a steady bleed of talented individuals to its competitors.

However some talent remains, especially on the research side, where a few... from old Barra remain, so there is still some niche opportunity for learning.

Its sunny downtown Berkeley location is ideal for commuters and the atmosphere remains somewhat relaxed. Consideration for work/life balance can vary greatly with your department and supervisor.","3.0"
"7",1,"good team, atmosphere, competent people","5.0"
"8",1,"Everybody's opinion matters, new ways of thinking are strongly encouraged.","5.0"
"9",1,"They offer decent pay and good benefits for fairly easy work.  The employees are generally young and friendly, and the Rockville office is easily accessible.","2.0"
"10",1,"Relatively relaxing atmosphere. Fairly flexible working hours.","2.0"
"11",2,"Great colleagues
Good opportunities for growth and career advancement
Warm corporate culture 
High-level support for entrepreneurial initiatives, new ideas
Good benefits package","3.0"
"12",2,"Flexible times and work-life balance.","2.0"
"13",2,"Great work life balance. You can quickly get new responsibilities since teams are small and talent is appreciated.","3.0"
"14",2,"Good for a very short-term early career move. Moving most support jobs to low-cost employment countries so no reason to stay.","2.0"
"15",2,"Great coworkers
Flexible schedule
Fun environment, very informal","5.0"
"16",2,"Casual atmosphere - jeans and t-shirts are permitted.  Very intelligent co-workers.  Interesting work.","3.0"
"17",2,"- 4 weeks paid vacation plus 10 sick days
- very smart people","5.0"
"18",2,"Great structure and a high amount of communication between all levels.","5.0"
"19",2,"* Learn directly how the backoffice IT systems of financial companies work.
* Learn indirectly how financial risk management software works.
* Work with people from around the world, in your office as well as the other offices around the world.
* Decent salary and benefits.","2.0"
"20",2,"- Great equity index business. Index products are highly respected in the investment management industry and MSCI generates impressive margins. Check out their investor relations site and you know what I mean. A very profitable business means that, in principle, you can earn good money. But beware: MSCI is shrewd at keeping profits up and employee cost down. Negotiate hard to get what you need up-front as you're... unlikely to see much upside in your job. 
- Management focused on cost control. You will probably experience this as a mixed blessing but it helps to preserve profitability. MSCI hasn't gone crazy  acquiring other firms and is unlikely to dump money into hopeless M&A projects. Firm is financially in good shape (again: check financial reports) and has managed its IPO and spin-off from Morgan Stanley well.
- Considering its size, MSCI has a very international footprint. You are likely to collaborate with colleagues around the world. You would typically have to join a much larger organisation to get a similar global experience.","2.0"
"21",3,"Riskmetrics Group has a very laid back atmosphere yet everyone is productive and takes responsibility for their work.  I have never worked at a company that was so interested in my success as an individual and so willing to recognized me for my accomplishments.","3.0"
"22",3,"Senior management is keen on cost cutting. If you are working in emerging markets, e.g. india, china. The center you are working at still have opportunity to grow. Your promotion ladder is still there.

In general, Work/Life balance is good. However, it also depends on which team you join, and which leader you report to.","2.0"
"23",3,"Intelligent people. Collegiate, challenging environment. Interesting client base.","3.0"
"24",3,"- Relaxed and open atmosphere
- Smart and motivated colleagues
- Great for software developers wanting to build ambitious systems","2.0"
"25",3,"access to senior management
growth opportunities if in it for the long run
fast growing company
morgan stanley background","5.0"
"26",3,"- casual dress code;
- ability to telecommute;
- app. 20 days of annual leave;","3.0"
"27",3,"The opp to interact with very smart people","5.0"
"28",3,"MSCI Barra has wonderful products, talented people, and a great client list.  You will learn a lot.","5.0"
"29",3,"Great global footprint.
Smart people in all departments and at all levels.
Strong strategic focus.
People who know how to deliver strong results.","2.0"
"30",3,"Network with clients (potential employesrs)
Simple business model (either Risk or Indices)
Good office locations
Basic salary is competitive (but bonus poor)","2.0"
"31",4,"Small company environment, with opportunities to excel with hardwork.","3.0"
"32",4,"good work life balance, friendly people, good reputation in the risk management industry, pretty good pay and compensation, good management, relaxed culture","2.0"
"33",4,"Great Culture, Smart people who are approachable, mutual respect. Not Bureaucratic.","3.0"
"34",4,"I work at RMG because of the people, culture, growth (personal & professional) and opportunities.  I know I could make more money elsewhere but I'm doing what I love with people I really like.  One of the cool things is that RiskMetrics encourages us to focus on our strengths to guide our careers.","2.0"
"35",4,"challenging environment; friendly, intellectually curious and knowledgable coworkers; family-friendly company; feedback is respected by management","5.0"
"36",4,"Relaxed environment.
Good hours
Family-centric
Non-manager are nice people","3.0"
"37",4,"Great people and the chance to work with global offices
Decent pay and decent benefit
Opportunities for transferring to different locations","5.0"
"38",4,"There's flexibility at work, people are smart, projects are challenging, Work place and environment is fun, overall comensation is satisfactory","5.0"
"39",4,"(true)RiskMetrics people is probably the biggest reason you would work for RiskMetrics. You will learn a lot from lots of smart people who are willing to share what they know.","2.0"
"40",4,"It's good to learn the Barra models if you are interested in the risk management analytics since the Barra methodology and products are industry leaders; good flexibility in term of days off and personal leaves; most people are hard working and competent","2.0"
"41",5,"Good work and life balance
Nice people","3.0"
"42",5,"Fairness and kindness atmosphere as well as open working space.
People here respect each other no matter they are senior or entry level.","2.0"
"43",5,"Dirección buena y competente en general. Buen equilibrio entre el trabajo y la vida privada.  Buena comunicación en la empresa.  La presión no es tan alta como la de sus compañeros.  Ambiente divertido y en general un lugar relajado para trabajar.  Bajo índice de rotación de personal","3.0"
"44",5,"RiskMetrics culture is one that allows employees to develop through collaboration with other teams.  There is no division between groups, but more of a group effort to deliver a product.  All offices have an open office layout, making management of all levels completely accessible.","2.0"
"45",5,"Good benefits, fairly base salary. Good environment.","5.0"
"46",5,"Great people, great atmosphere (for now), ability to work on projects not related to your area of expertise.","3.0"
"47",5,"RiskMetrics was a fun place to work.  Open collaboration between groups from the CEO to Fianance to Managers to Sales, etc.  Everyone has a say and managers listen.","5.0"
"48",5,"Name Recognition
Big Footprint
The work is sometimes interesting, challenging, and engaging.
Lower level staff is intelligent, generous, and kind.","5.0"
"49",5,"The people are extremely smart, dedicated, curious, and humble and relaxed.  That is changing with MSCI merger, but that legacy won't die too easily.  

You are given the opportunity to run with your ideas.

Th culture is flat, and fun and relaxed, even thought it's Wall St.","2.0"
"50",5,"RiskMetrics has a very diverse group of employees from different cultural and professional background which makes for interesting conversations and interactions.","2.0"
"51",6,"Still working with some of my friends who are smart and still make it a somewhat fun environment","3.0"
"52",6,"great team, good and learned people around and a very collaborative environment","2.0"
"53",6,"Plenty of vacation days. 
Ability to network with clients and issuers (read: potential employers).
Interesting co-workers.","3.0"
"54",6,"if you wanna be professional, this is a good place to learn.","2.0"
"55",6,"They pay very well.  Many people do not have enough to do.  Benefit policies are good.  It is a company that makes money.","5.0"
"56",6,"treat people relatively fairly, small but truely global; indexing business is well positioned to further grow quickly, many smart people around","3.0"
"57",6,"Good pay, intelligent people, plenty of exciting projects and work, heaps of potential.","5.0"
"58",6,"you get a salary at the end of the month you get health insurance. may be there are the best reasons? if you have a good manager you will have a decent employee life if not then too bad.","5.0"
"59",6,"Good company culture and many talented people.  One of the leaders in the index and risk analytics service provider in the market.","2.0"
"60",6,"great work-life balance & flextime
great colleagues
ambitious firm-- focuses on exciting growth areas and apparently willing to invest in those businesses
CEO is energetic and candid
global presence","2.0"
"61",7,"ability to work from home. flex hours. nice + friendly colleagues.","3.0"
"62",7,"4 weeks paid vacation
flexibility to telecommute when needed
good work/life balance
work can be challenging
opportunity to work with smart people","2.0"
"63",7,"- Generally, your office mates are good people.
- It's a job... In today's job market, that's saying something.
- Unfortunately, there isn't much else positive to say about the company.","3.0"
"64",7,"Global office presence. Strong brand in Indices and Risk. In general nice people, talented people will not stay for long.","2.0"
"65",7,"MSCI is a challenging place to work at and is growing.  It is poised to become a world leader in risk management products.","5.0"
"66",7,"Great People, very talented.
Great office","3.0"
"67",7,"Access to Franchise Risk Models and Software used professionaly in Asset management..
Collegiate environement.
Develop knowledge of requirements for supporting Financial Quant Research.
Starting Entry level salary good with decent benefit package.
It had franchise value on the resume but not so much anymore.","5.0"
"68",7,"Good place for an early career professional to pick up skills and get exposure in a brand name global company 
Very intense, fast pace work that teaches you to think on your feet 
The opportunity to work with some very hard working, dedicated people","5.0"
"69",7,"MSCI pays well to those who do exactly what they are told. If you are happy with well defined job, where you invest your energy energy into obeying those above you, MSCI will treat you well.","2.0"
"70",7,"You can learn a lot in MSCI. The diversity of the workshop is also good. You work with people from different countries and cultures in MSCI.","2.0"
"71",8,"Salary and benefits package were pretty good.  Co-workers were very helpful and liked to share knowledge.","3.0"
"72",8,"Environnement de travail international

Industrie solide

Potentiel de développement","2.0"
"73",8,"Work life balance, freedom to explore other areas, generous vacation, good benefits, offices in downtown new york, reasonable working hours.","3.0"
"74",8,"Fair work/life balance at lower levels, though I understand more senior levels have less flexibility.  Collegial with fellow analysts, systems that provide for some efficiencies of scale.  Opportunity for my work product to have some vast impacts on products.","2.0"
"75",8,"I think the best thing is the compensation however if you compare the load of task and compensation, you will see that it is not good.","5.0"
"76",8,"Great financial serives company with a great brand","3.0"
"77",8,"Compensation, Work culture, People, Overall aptitude of the technical team","5.0"
"78",8,"Benefits package
Flexibility at times
Opportunity to learn the financial services industry
Compensation
Bonuses (a good bonus if it's been a profitable year)","5.0"
"79",8,"It still have a reputation in the industry, a well-known firm","2.0"
"80",8,"Good brand and work experience. Nice people to work with. Good salary which is comparable to the industry and good benefits.","2.0"
"81",9,"Adequate vacation time to help you forget how miserable your job is.","3.0"
"82",9,"MSCI is a high growth, execution focused firm.
A very positive experience for those who can work hard and achieve something over time.
Collegues at MSCI are smart, hard working, motivated and talented individuals.","2.0"
"83",9,"Smart, talented, and hard working colleagues
Strong platform of products and well positioned to continue growth
Products add value and bring transparency into the investment process","3.0"
"84",9,"Good brand, decent at work life balance, plenty of holidays,","2.0"
"85",9,"The benefits are good, with a solid retirement contribution match.  Also, everyone gets 4 weeks of vacation (though that is a negative for those working there for many years).","5.0"
"86",9,"The employees in many of the departments are good people and are a joy to work with, but this excludes nearly all management.","3.0"
"87",9,"Pleasant team, mostly challenging problems.","5.0"
"88",9,"The people I worked with, from many different offices globally, were all absolutely wonderful. I can't say enough about the great people I had the privilege of working with each day. 

4 weeks vacation (although not great if you have been there a long time)

401 (k) matching is good, although its too ironic for words that they are promoting ESG/have an ESG division and do not offer a ESG OPTION for the 401(k).... Very disappointing and disingenuous. There are also no real internal ESG policies or programs. 

Opportunities to take on significant responsibility, which gives you great experience and keeps you growing professionally (although there is no, and I mean no, financial compensation tied to taking on more responsibility. So if you do, please note that this is for your own growth and to build your resume.).","5.0"
"89",9,"The work life balance is pretty good since I was not micromanaged and could come and go as I wanted.","2.0"
"90",9,"- Wages above average, if you don’t count the 30+% overtime you will be asked to put on it
- Decent year-end bonuses
- Offices are usually in prime locations in the financial capitals (although relocation and travels are discouraged)
- Attractive health care coverage, average 401k retirement plan
- Established reputation among customers
- Respected research team, especially in Berkeley and Geneva","2.0"
"91",10,"Very good benefits and 401k company match.","3.0"
"92",10,"The people I worked with were great and it was a pretty stress-free environment","2.0"
"93",10,"Cutting edge financial and statistical research
Great team and leadership in my office
Good knowledge sharing in my office
Nice fundays","3.0"
"94",10,"People are friendly and nice","2.0"
"95",10,"Excellent place to start your career; state-of-the-art technology, better than average in terms of professional approach. Self-starters would love this place who know what they want to get from a position.","5.0"
"96",10,"Just like living in a small town, working for a small organization provides employees with a chance to get to know and interact with all their coworkers","3.0"
"97",10,"- reasonable pay (not comparable to the banking industry)
- opportunities to get promoted (due to high turnover)
- good work-life balance","5.0"
"98",10,"Good office locations, good benefits, access to leading edge financial research, access to clients where you can network.   Indices business is a cash cow.","5.0"
"99",10,"1. The Morgan Stanley DNA
2. Extremely profitable and scalable business model
3. Encouraging regulatory landscape and changing preferences in institutional investment towards increased sophistication in investment process and risk management makes MSCI's future a compelling story","2.0"
"100",10,"management, ceo, diversity, risk experts","2.0"
"101",11,"Senior Management in Mumbai office excellent, and strive to turn the office into a great place of excellence. The team strives hard to improve its standing among the global offices and has tremendous talent, and will soon become the most important of all Global MSCI Offices. 
Good work life balance and pushing somebody for output is not encouraged. However, depending on manager, senior managements policies might... not exactly trickle down","3.0"
"102",11,"The amount you learn about the investment process and the people you meet are tremendous.  The firm will provide growth those strong enough to speak up.","2.0"
"103",11,"It has a lot of talented energetic people and it is a great place to learn about the investment process.","3.0"
"104",11,"Great culture, very bright co-workers and good atmosphere.","2.0"
"105",11,"Big compensation
Fast growth
Interesting business
Riskmetrics adds new dimension to it","5.0"
"106",11,"The company has a very strong braintrust among its employees and does a good job attracting talented people (many employees have advanced degrees, impressive backgrounds at others companies and overall are very bright). The culture is pretty relaxed, but everyone works hard - probably around 50-60 hours a week.

Mid-level managers are empathetic that career paths at the company are opaque, as they face same... advancement problems.

Senior management has copped to being aware of general dissatisfaction with the way the company is structured/run in the past and just completed their company-wide engagement survey. The onus is on them to take action in response to employee feedback.","3.0"
"107",11,"In MSCI, you learn a lot about your job. You don't just encode or copy and paste data, you analyze them.","5.0"
"108",11,"RiskMetrics had a great, laid-back culture, nice people and very good benefits. Compensation was fair compared to other companies, and management generally showed respect for workers. The company seemed to promote a very strong work-life balance.","5.0"
"109",11,"Profitable company paying good bonuses","2.0"
"110",11,"Working to collaborate across businesses, learning a lot from colleagues, open to smart ideas","2.0"
"111",12,"Some colleagues are great people, lots to learn from them, most people are smart and qualified to do jobs, if not manage others
Generally, non-comp benefits are competitive and fair","3.0"
"112",12,"Hard working individuals supporting solid products.  Competitive benefits and salaries offer great balance.","2.0"
"113",12,"Good environment
Amazing people
amazing live/work balance
salary","3.0"
"114",12,"Challenging job and worked with a group of very smart individuals.  Company planned some fun team building events such as ""Fun Day"" and ""Friday drinks""","2.0"
"115",12,"MSCI is a leader in the risk management and index business.
The company has been growing steadily via strategic acquisitions.
Management is very approachable and open.
Benefits are attractive.","5.0"
"116",12,"Very Causal and cool and relaxing","3.0"
"117",12,"New technology to learn deal with.  Hmm having a really hard time comming up with pros for this company after working for them for 8 years.","5.0"
"118",12,"Great people, good place to learn finance basics, recognized brands, networking (tip: stay in touch with people leaving the company for future career opportunities).","5.0"
"119",12,"People, Work environment, Learn a lot, systems and technology, movility","2.0"
"120",12,"It's a place with excellent teamwork / collaboration, and excellent work environment, ranging from local duties to global responsibilites. There are several interesting projects in development all the time, and they take your collaboration and opinions seriously.
There are also some good career development opportunities along the way, and they care about their employees.","2.0"
"121",13,"Smart and talented people you can learn from everyday.
A high growth company that allows you to see your own achievement and make a difference.
A company that encourages career development and growth.
Good leaders who listen and supports you.","3.0"
"122",13,"High growth company, can be an exciting place to work, nice culture where everyone gets on yet is still personally ambitious without being backstabbing","2.0"
"123",13,"Easy people, very laid back.","3.0"
"124",13,"Highly skilled associates

Average to decent salary

Resources from the hybrid of organizations

interesting projects","2.0"
"125",13,"Good compensation and benefits Large bonus they say..","5.0"
"126",13,"Good pay and benefits, they even pay bonuses","3.0"
"127",13,"Good work environment many activites.
Good salary.","5.0"
"128",13,"Some really smart people who are the top of their field.
Fairly flexible approach to working
Good Technology Infrastructure internally to enable the above.","5.0"
"129",13,"Good Team Culture, exciting projects, good way to broaden your horizon and learn about various investment tools","2.0"
"130",13,"Intelligent people at just about every level.  High degree of technology though the environment is locked down a bit. Indexing business makes money without trying and is thus the prized group.  A sales company disguised as a financial tech company.","2.0"
"131",14,"Salary and working environment are both look fine but not less and unfortunately not more. Can improve skills such as how to follow up continously.","3.0"
"132",14,"Lot of opportunities to grow and learn","2.0"
"133",14,"good work good exposure good work life balance","3.0"
"134",14,"MSCI has a value driven culture and a lot of intelligent, motivated individuals who know how to work as a team.","2.0"
"135",14,"Can work 9-5
High compensation
Great benefits","5.0"
"136",14,"You will have an opportunity to meet people from all over the world, especially people from India and the Phillipines, as you train them to do your job.","3.0"
"137",14,"Competitive package...., Good work environment..Global Presence, lot of training..","5.0"
"138",14,"Lots of young professionals, like a summer camp","5.0"
"139",14,"Creative environment. Flexible working hours. Lots of independence. Lots of potential to grow.","2.0"
"140",14,"Interesting work
Some Very Smart People","2.0"
"141",15,"Lots of work u need to do.","3.0"
"142",15,"Friendly senior management, 
good work culture","2.0"
"143",15,"comfortable and easy job, you have enough time to improve yourself.","3.0"
"144",15,"Index products are good and are righty labeled as industry standard.","2.0"
"145",15,"Good package, good profiles, Good reviews from collegues","5.0"
"146",15,"Training was a priority by management","3.0"
"147",15,"My four year stint with the company provided me a training ground for further jobs in the field of financial research.  I enjoyed the training they provided including the trip to the headquarters. Almost all employees are like-minded and enjoyed each others company even outside the workplace.  Furthermore, there were bonuses commensurate to performance so everyone is motivated to do their best.","5.0"
"148",15,"People doing the actual work are very smart.","5.0"
"149",15,"Opportunity to work closely with people in different countries, employees are well compensated and management is very good at watching the bottom line","2.0"
"150",15,"- There are great benefits at MSCI.  Women get 16 weeks of maternity leave and men get 2 weeks of paternity leave.  There are discounts to local gyms, yoga in the office, etc...
- Office has amazing views.","2.0"
"151",16,"Interesting Industry, High Exposure to portfolio management.","3.0"
"152",16,"The company is great to learn as far as you want to. There are very smart and highly academical and technical trained people but they are not located in Emerging Markets.","2.0"
"153",16,"you could touch many different fields, such as portfolio management and risk management, both local and global market, equity and fixed income.","3.0"
"154",16,"Flexible work time;
Good work life balance;
Compensation is on par with industry average;","2.0"
"155",16,"good benefits.
Can be a good place to start career","5.0"
"156",16,"time flexibility: you can arrive late once in a while, and for a doctor appointment, you can leave early
Nice colleagues: not very smart but yes, good at work and very professional","3.0"
"157",16,"The company has moved a new location which is close to metro","5.0"
"158",16,"A good place to start your career, nice atmosphere, felxible working hours and some experienced collegaues to learn from. International operation is also a plus (fun to work with Berkeley and Beijing at the same time)","5.0"
"159",16,"Great learning experience, got to work on current technologies.","2.0"
"160",16,"Absolute supportive company, no matter what your special situation a solution is found. Good wage in comparisation to other companies in the branch, Christmas money, Bonus if the company did have profit, so everybody is keen on making sure it does! Quality office environment, centralized location, super cooperative colleges, all fully set on making your work be successful.","2.0"
"161",17,"Good Learning EXp and also friendly atmosphere","3.0"
"162",17,"interesting domain, friendly people, lose structure allowing you to take things in your hands, if you have initiative and proved yourself you can easily pick up new tasks and grow,
fresh wave of energized executives from GS pushing for improvement and changes in personnel","2.0"
"163",17,"Great technical knowledge
Good work environment
Leaders, executives are mostly friendly and helpful","3.0"
"164",17,"Flexible work schedule, casual, and friendly environment.  Atmosphere sometimes a little too casual.","2.0"
"165",17,"Good quality of life and nice place to work","5.0"
"166",17,"Independent work, diverse, highly motivated and creative people, a long career for top talent. Good vacation and holiday time. Really values clients.","3.0"
"167",17,"- Capable, smart, driven, and nice people
- At times can contribute to cutting edge research
- Good benefits","5.0"
"168",17,"Good work life balance, easy working hours","5.0"
"169",17,"Great people.  The benefits are not bad, but the stress you go through to get them is not worth it.  Single people discrimination is rampant here.  If you have a kid you get leave early every day.  If you don't, keep working.","2.0"
"170",17,"Very good learning and development opportunities, good atmosphere, a lot of talented and nice people. Strong products, market leader in many segments.","2.0"
"171",18,"Dynamic, international, client focused organization that rewards hard work and holds employees to high standards.","3.0"
"172",18,"Some seriously smart people occasionally allowed to bloom.
Great benefits.
Very international.","2.0"
"173",18,"only few and they can be pretty temporary...","3.0"
"174",18,"Highly focused on knowledge dissemination and facilitates learning 
Values good work
Top mgt across the world have an entrepreneurial culture
Everyone from CEO onwards work very hard
Good values and serious about delivering value to clients
Pays better than peers but also expects top work from staff
No ego at most levels","2.0"
"175",18,"Easy hours;  Reasonable comp; Pleasant office / environment;  Friendly people;  Get exposure to many investment organizations using indices and analytics tools","5.0"
"176",18,"Everyday is different, very pleasant working environment","3.0"
"177",18,"Good compensation and benefits.  Very interesting domain, at the intersection of finance, analytics, software, and data.  Opportunity to work with some of the biggest names in the finance industry.","5.0"
"178",18,"Variety, from the many companies it keeps buying.
Some decent benefits.
Mixed products, even if the labor to make them is all over the place.
Interesting history. But with shaky potential, since competition started catching up.","5.0"
"179",18,"Flexible schedule, casual dress, great people, stock options, decent pay, great bonuses, fun work.","2.0"
"180",18,"A lot of exposure to financial markets and across all client segments","2.0"
"181",20,"Company pays good salary to get talent from Indiian market","3.0"
"182",20,"ok for graduate as career begining","2.0"
"183",20,"Very comforble and warm working environment.  Very rich culture.  Lots of learming opportuniies.  Benifits are reasonable good.  Nice and right business models.","3.0"
"184",20,"Good work environment, team work is vert good and good initial salary.","2.0"
"185",20,"Fair and open in communication.","5.0"
"186",20,"Good atmosphere and fun colleagues. The work is not necessarily rewarding, but can be interesting. A good place to start off and learn the finance industry. Pay is competitive but not excessive. Top workers are rewarded.","3.0"
"187",20,"My career was taken to the next level at this company and I will be forever grateful for this opportunity.  In my experience, hard work and a demonstrated results will get you places.  In recent years the company has really worked hard to improve the career development of its employees -previously it was sorely lacking. There was some good training sessions that I found very valuable.","5.0"
"188",20,"None whatsoever about this company","5.0"
"189",20,"Good culture and interesting work","2.0"
"190",20,"Good salary compared to market average
Health insurance
Retirement saving account
Several round recruitment process to ensure the very high quality staff (except middle management and above)","2.0"
"191",23,"Very good enviroment and benefits","3.0"
"192",23,"Der Markenname öffnet Türen und ermöglicht interessante Kontakte

Relative Freiheit bei der Berufsausübung, solange alles klappt

Gute theoretische Forschung, intellektuell fordernd

Besser organisierte Abläufe als manche größere Organisationen","2.0"
"193",23,"1. Hire good peoples
2. Good for learning
3. Growth Opportunity","3.0"
"194",23,"You will have many opportunities to work with people all over the world and learn from them. People are mostly responsible here. The job is good in work-life balance.","2.0"
"195",23,"You get good Work/life balance, time-office policies, and work Enviroment.","5.0"
"196",23,"The people are great. Plenty of interesting work to do so there is always a way to demonstrate skills and get ahead.","3.0"
"197",23,"On the face they seem to pay well but the salaries are kept relatively same for prolonged periods of time. Most of their benefits have a lock in for a min of 2 years.","5.0"
"198",23,"Some wonderful, talented people trying to help company grow.  Compan yitself  trying to grow but needs lot of help and organization.  Finally some of sr management waking up to challenge the more chaotic, abusive even, colleagues, some of whom are finally starting to wake up and move to companies which they can more easily handle.  Some of it all still a strange golf club of associations and laziness.","5.0"
"199",23,"There are some good people who know how to treat people decently and want to try to create a decent work environment.

Pay is good.","2.0"
"200",23,"Good Pay.Good vacations,Good benefits,Work life balance is good","2.0"
"201",24,"Good Salaries, Lots of Work, If you are always an individual contributor this is the company for you.
Lots of Technical work. In MSCI Work never finishes.","3.0"
"202",24,"1. Good money: the general perception is that salaries are higher than what other, similar companies can offer, especially in Emerging Market offices;
2. The company is abundant in learning opportunities, thanks to the available internal training programs. The company also supports the education of employees by giving them substantial support to sign up for the CFA exam. Also, MSCI has very high profile clients and... if you have the chance to work with them, you get richer every day with important experience;
3. The company provides a professional, well equipped and modern office environment.;
4. The competitve environment of MSCI forces you to learn to promote yourself and to build your brand internally - in my view, this is a pro;
5. Great work-life balance - all-nighters are uncommon;
6. Some team leaders are exceptional and great to work with. MSCI selects its employees carefully, so you can work with some really smart people;
7. If you like working in an international environment with many teams all around the globe, MSCI is your place.","2.0"
"203",24,"Leader in ESG investing, great place for ESG training; strong employee engagement","3.0"
"204",24,"Nice Company, Pay Scale is good. Depends on project on which you are working.","2.0"
"205",24,"Very few that I can think of.  As a former employee of ISS, I was concerned when RMG purchased the company.   It turns out that concern was more than justified.","5.0"
"206",24,"The people were brilliant, the opportunities open to all employees who were willing to put in the work to make it happen. The company had a good vacation policy, an emphasis on importance of the family in an employee's life.","3.0"
"207",24,"Friendly environment, great benefits. Excellent work-life balance.","5.0"
"208",24,"-Great place to start your career, a lot of learning of financial analytics
-Good work-life balance
-Excellent brand value","5.0"
"209",24,"Good place to work.
Good environment.
Good compensation","2.0"
