"","X1","pros_page1","pros_page_rating_value"
"1",1,"Good vacation: 4 full weeks.  If you are a diligent worker, should feel secure in your position.  Commute is easy with BART.  Name recognition within the industry, looks good on the resume.  Company does sponsor CFA studies and test taking.  Work hours are reasonable.  Good place if your background is physics or financial analysis.  If you are a researcher, it is a really good place.","3.0"
"2",1,"The cooperative environment with colleagues.","2.0"
"3",1,"OK compensation, good benefits, 4 weeks paid vacation, flexibility with telecommuting if desired, consistent 9 to 5 schedule, no long hors outside of proxy season, relaxed work atmosphere.","3.0"
"4",1,"The company offers a tremendous opportunity to learn about the investment management business, especially on the analytics side (the old Barra). If you're in an outward-facing role, you'll also get excellent access to money manager clients (i.e., future employers). On the day to day level, you get to work with smart people and do interesting work, often in a collegial atmosphere.","2.0"
"5",1,"RiskMetrics is a place where everyone's opinion is valued, and everyone has the opportunity to make a contribution.  There is also the opportunity to learn new things and work on exciting and interesting technologies.  And, everyone has the ability to define their own career path, such as it is.","5.0"
"6",1,"Formerly Barra, this was once a place that had a grad school atmosphere and was a market leader of institutional analytics. The brainpower and product knowledge and support was unrivaled then, but a lack of leadership in management and inability to harness and support talent lead to a steady bleed of talented individuals to its competitors.

However some talent remains, especially on the research side, where a few... from old Barra remain, so there is still some niche opportunity for learning.

Its sunny downtown Berkeley location is ideal for commuters and the atmosphere remains somewhat relaxed. Consideration for work/life balance can vary greatly with your department and supervisor.","3.0"
"7",1,"good team, atmosphere, competent people","5.0"
"8",1,"Everybody's opinion matters, new ways of thinking are strongly encouraged.","5.0"
"9",1,"They offer decent pay and good benefits for fairly easy work.  The employees are generally young and friendly, and the Rockville office is easily accessible.","2.0"
"10",1,"Relatively relaxing atmosphere. Fairly flexible working hours.","2.0"
"11",2,"Great colleagues
Good opportunities for growth and career advancement
Warm corporate culture 
High-level support for entrepreneurial initiatives, new ideas
Good benefits package","3.0"
"12",2,"Flexible times and work-life balance.","2.0"
"13",2,"Great work life balance. You can quickly get new responsibilities since teams are small and talent is appreciated.","3.0"
"14",2,"Good for a very short-term early career move. Moving most support jobs to low-cost employment countries so no reason to stay.","2.0"
"15",2,"Great coworkers
Flexible schedule
Fun environment, very informal","5.0"
"16",2,"Casual atmosphere - jeans and t-shirts are permitted.  Very intelligent co-workers.  Interesting work.","3.0"
"17",2,"- 4 weeks paid vacation plus 10 sick days
- very smart people","5.0"
"18",2,"Great structure and a high amount of communication between all levels.","5.0"
"19",2,"* Learn directly how the backoffice IT systems of financial companies work.
* Learn indirectly how financial risk management software works.
* Work with people from around the world, in your office as well as the other offices around the world.
* Decent salary and benefits.","2.0"
"20",2,"- Great equity index business. Index products are highly respected in the investment management industry and MSCI generates impressive margins. Check out their investor relations site and you know what I mean. A very profitable business means that, in principle, you can earn good money. But beware: MSCI is shrewd at keeping profits up and employee cost down. Negotiate hard to get what you need up-front as you're... unlikely to see much upside in your job. 
- Management focused on cost control. You will probably experience this as a mixed blessing but it helps to preserve profitability. MSCI hasn't gone crazy  acquiring other firms and is unlikely to dump money into hopeless M&A projects. Firm is financially in good shape (again: check financial reports) and has managed its IPO and spin-off from Morgan Stanley well.
- Considering its size, MSCI has a very international footprint. You are likely to collaborate with colleagues around the world. You would typically have to join a much larger organisation to get a similar global experience.","2.0"
"21",3,"Riskmetrics Group has a very laid back atmosphere yet everyone is productive and takes responsibility for their work.  I have never worked at a company that was so interested in my success as an individual and so willing to recognized me for my accomplishments.","3.0"
"22",3,"Senior management is keen on cost cutting. If you are working in emerging markets, e.g. india, china. The center you are working at still have opportunity to grow. Your promotion ladder is still there.

In general, Work/Life balance is good. However, it also depends on which team you join, and which leader you report to.","2.0"
"23",3,"Intelligent people. Collegiate, challenging environment. Interesting client base.","3.0"
"24",3,"- Relaxed and open atmosphere
- Smart and motivated colleagues
- Great for software developers wanting to build ambitious systems","2.0"
"25",3,"access to senior management
growth opportunities if in it for the long run
fast growing company
morgan stanley background","5.0"
"26",3,"- casual dress code;
- ability to telecommute;
- app. 20 days of annual leave;","3.0"
"27",3,"The opp to interact with very smart people","5.0"
"28",3,"MSCI Barra has wonderful products, talented people, and a great client list.  You will learn a lot.","5.0"
"29",3,"Great global footprint.
Smart people in all departments and at all levels.
Strong strategic focus.
People who know how to deliver strong results.","2.0"
"30",3,"Network with clients (potential employesrs)
Simple business model (either Risk or Indices)
Good office locations
Basic salary is competitive (but bonus poor)","2.0"
"31",4,"Small company environment, with opportunities to excel with hardwork.","3.0"
"32",4,"good work life balance, friendly people, good reputation in the risk management industry, pretty good pay and compensation, good management, relaxed culture","2.0"
"33",4,"Great Culture, Smart people who are approachable, mutual respect. Not Bureaucratic.","3.0"
"34",4,"I work at RMG because of the people, culture, growth (personal & professional) and opportunities.  I know I could make more money elsewhere but I'm doing what I love with people I really like.  One of the cool things is that RiskMetrics encourages us to focus on our strengths to guide our careers.","2.0"
"35",4,"challenging environment; friendly, intellectually curious and knowledgable coworkers; family-friendly company; feedback is respected by management","5.0"
"36",4,"Relaxed environment.
Good hours
Family-centric
Non-manager are nice people","3.0"
"37",4,"Great people and the chance to work with global offices
Decent pay and decent benefit
Opportunities for transferring to different locations","5.0"
"38",4,"There's flexibility at work, people are smart, projects are challenging, Work place and environment is fun, overall comensation is satisfactory","5.0"
"39",4,"(true)RiskMetrics people is probably the biggest reason you would work for RiskMetrics. You will learn a lot from lots of smart people who are willing to share what they know.","2.0"
"40",4,"It's good to learn the Barra models if you are interested in the risk management analytics since the Barra methodology and products are industry leaders; good flexibility in term of days off and personal leaves; most people are hard working and competent","2.0"
"41",5,"Good work and life balance
Nice people","3.0"
"42",5,"Fairness and kindness atmosphere as well as open working space.
People here respect each other no matter they are senior or entry level.","2.0"
"43",5,"Dirección buena y competente en general. Buen equilibrio entre el trabajo y la vida privada.  Buena comunicación en la empresa.  La presión no es tan alta como la de sus compañeros.  Ambiente divertido y en general un lugar relajado para trabajar.  Bajo índice de rotación de personal","3.0"
"44",5,"RiskMetrics culture is one that allows employees to develop through collaboration with other teams.  There is no division between groups, but more of a group effort to deliver a product.  All offices have an open office layout, making management of all levels completely accessible.","2.0"
"45",5,"Good benefits, fairly base salary. Good environment.","5.0"
"46",5,"Great people, great atmosphere (for now), ability to work on projects not related to your area of expertise.","3.0"
"47",5,"RiskMetrics was a fun place to work.  Open collaboration between groups from the CEO to Fianance to Managers to Sales, etc.  Everyone has a say and managers listen.","5.0"
"48",5,"Name Recognition
Big Footprint
The work is sometimes interesting, challenging, and engaging.
Lower level staff is intelligent, generous, and kind.","5.0"
"49",5,"The people are extremely smart, dedicated, curious, and humble and relaxed.  That is changing with MSCI merger, but that legacy won't die too easily.  

You are given the opportunity to run with your ideas.

Th culture is flat, and fun and relaxed, even thought it's Wall St.","2.0"
"50",5,"RiskMetrics has a very diverse group of employees from different cultural and professional background which makes for interesting conversations and interactions.","2.0"
"51",6,"Still working with some of my friends who are smart and still make it a somewhat fun environment","3.0"
"52",6,"great team, good and learned people around and a very collaborative environment","2.0"
"53",6,"Plenty of vacation days. 
Ability to network with clients and issuers (read: potential employers).
Interesting co-workers.","3.0"
"54",6,"if you wanna be professional, this is a good place to learn.","2.0"
"55",6,"They pay very well.  Many people do not have enough to do.  Benefit policies are good.  It is a company that makes money.","5.0"
"56",6,"treat people relatively fairly, small but truely global; indexing business is well positioned to further grow quickly, many smart people around","3.0"
"57",6,"Good pay, intelligent people, plenty of exciting projects and work, heaps of potential.","5.0"
"58",6,"you get a salary at the end of the month you get health insurance. may be there are the best reasons? if you have a good manager you will have a decent employee life if not then too bad.","5.0"
"59",6,"Good company culture and many talented people.  One of the leaders in the index and risk analytics service provider in the market.","2.0"
"60",6,"great work-life balance & flextime
great colleagues
ambitious firm-- focuses on exciting growth areas and apparently willing to invest in those businesses
CEO is energetic and candid
global presence","2.0"
"61",7,"ability to work from home. flex hours. nice + friendly colleagues.","3.0"
"62",7,"4 weeks paid vacation
flexibility to telecommute when needed
good work/life balance
work can be challenging
opportunity to work with smart people","2.0"
"63",7,"- Generally, your office mates are good people.
- It's a job... In today's job market, that's saying something.
- Unfortunately, there isn't much else positive to say about the company.","3.0"
"64",7,"Global office presence. Strong brand in Indices and Risk. In general nice people, talented people will not stay for long.","2.0"
"65",7,"MSCI is a challenging place to work at and is growing.  It is poised to become a world leader in risk management products.","5.0"
"66",7,"Great People, very talented.
Great office","3.0"
"67",7,"Access to Franchise Risk Models and Software used professionaly in Asset management..
Collegiate environement.
Develop knowledge of requirements for supporting Financial Quant Research.
Starting Entry level salary good with decent benefit package.
It had franchise value on the resume but not so much anymore.","5.0"
"68",7,"Good place for an early career professional to pick up skills and get exposure in a brand name global company 
Very intense, fast pace work that teaches you to think on your feet 
The opportunity to work with some very hard working, dedicated people","5.0"
"69",7,"MSCI pays well to those who do exactly what they are told. If you are happy with well defined job, where you invest your energy energy into obeying those above you, MSCI will treat you well.","2.0"
"70",7,"You can learn a lot in MSCI. The diversity of the workshop is also good. You work with people from different countries and cultures in MSCI.","2.0"
"71",8,"Salary and benefits package were pretty good.  Co-workers were very helpful and liked to share knowledge.","3.0"
"72",8,"Environnement de travail international

Industrie solide

Potentiel de développement","2.0"
"73",8,"Work life balance, freedom to explore other areas, generous vacation, good benefits, offices in downtown new york, reasonable working hours.","3.0"
"74",8,"Fair work/life balance at lower levels, though I understand more senior levels have less flexibility.  Collegial with fellow analysts, systems that provide for some efficiencies of scale.  Opportunity for my work product to have some vast impacts on products.","2.0"
"75",8,"I think the best thing is the compensation however if you compare the load of task and compensation, you will see that it is not good.","5.0"
"76",8,"Great financial serives company with a great brand","3.0"
"77",8,"Compensation, Work culture, People, Overall aptitude of the technical team","5.0"
"78",8,"Benefits package
Flexibility at times
Opportunity to learn the financial services industry
Compensation
Bonuses (a good bonus if it's been a profitable year)","5.0"
"79",8,"It still have a reputation in the industry, a well-known firm","2.0"
"80",8,"Good brand and work experience. Nice people to work with. Good salary which is comparable to the industry and good benefits.","2.0"
"81",9,"Adequate vacation time to help you forget how miserable your job is.","3.0"
"82",9,"MSCI is a high growth, execution focused firm.
A very positive experience for those who can work hard and achieve something over time.
Collegues at MSCI are smart, hard working, motivated and talented individuals.","2.0"
"83",9,"Smart, talented, and hard working colleagues
Strong platform of products and well positioned to continue growth
Products add value and bring transparency into the investment process","3.0"
"84",9,"Good brand, decent at work life balance, plenty of holidays,","2.0"
"85",9,"The benefits are good, with a solid retirement contribution match.  Also, everyone gets 4 weeks of vacation (though that is a negative for those working there for many years).","5.0"
"86",9,"The employees in many of the departments are good people and are a joy to work with, but this excludes nearly all management.","3.0"
"87",9,"Pleasant team, mostly challenging problems.","5.0"
"88",9,"The people I worked with, from many different offices globally, were all absolutely wonderful. I can't say enough about the great people I had the privilege of working with each day. 

4 weeks vacation (although not great if you have been there a long time)

401 (k) matching is good, although its too ironic for words that they are promoting ESG/have an ESG division and do not offer a ESG OPTION for the 401(k).... Very disappointing and disingenuous. There are also no real internal ESG policies or programs. 

Opportunities to take on significant responsibility, which gives you great experience and keeps you growing professionally (although there is no, and I mean no, financial compensation tied to taking on more responsibility. So if you do, please note that this is for your own growth and to build your resume.).","5.0"
"89",9,"The work life balance is pretty good since I was not micromanaged and could come and go as I wanted.","2.0"
"90",9,"- Wages above average, if you don’t count the 30+% overtime you will be asked to put on it
- Decent year-end bonuses
- Offices are usually in prime locations in the financial capitals (although relocation and travels are discouraged)
- Attractive health care coverage, average 401k retirement plan
- Established reputation among customers
- Respected research team, especially in Berkeley and Geneva","2.0"
"91",10,"Very good benefits and 401k company match.","3.0"
"92",10,"The people I worked with were great and it was a pretty stress-free environment","2.0"
"93",10,"Cutting edge financial and statistical research
Great team and leadership in my office
Good knowledge sharing in my office
Nice fundays","3.0"
"94",10,"People are friendly and nice","2.0"
"95",10,"Excellent place to start your career; state-of-the-art technology, better than average in terms of professional approach. Self-starters would love this place who know what they want to get from a position.","5.0"
"96",10,"Just like living in a small town, working for a small organization provides employees with a chance to get to know and interact with all their coworkers","3.0"
"97",10,"- reasonable pay (not comparable to the banking industry)
- opportunities to get promoted (due to high turnover)
- good work-life balance","5.0"
"98",10,"Good office locations, good benefits, access to leading edge financial research, access to clients where you can network.   Indices business is a cash cow.","5.0"
"99",10,"1. The Morgan Stanley DNA
2. Extremely profitable and scalable business model
3. Encouraging regulatory landscape and changing preferences in institutional investment towards increased sophistication in investment process and risk management makes MSCI's future a compelling story","2.0"
"100",10,"management, ceo, diversity, risk experts","2.0"
"101",11,"Senior Management in Mumbai office excellent, and strive to turn the office into a great place of excellence. The team strives hard to improve its standing among the global offices and has tremendous talent, and will soon become the most important of all Global MSCI Offices. 
Good work life balance and pushing somebody for output is not encouraged. However, depending on manager, senior managements policies might... not exactly trickle down","3.0"
"102",11,"The amount you learn about the investment process and the people you meet are tremendous.  The firm will provide growth those strong enough to speak up.","2.0"
"103",11,"It has a lot of talented energetic people and it is a great place to learn about the investment process.","3.0"
"104",11,"Great culture, very bright co-workers and good atmosphere.","2.0"
"105",11,"Big compensation
Fast growth
Interesting business
Riskmetrics adds new dimension to it","5.0"
"106",11,"The company has a very strong braintrust among its employees and does a good job attracting talented people (many employees have advanced degrees, impressive backgrounds at others companies and overall are very bright). The culture is pretty relaxed, but everyone works hard - probably around 50-60 hours a week.

Mid-level managers are empathetic that career paths at the company are opaque, as they face same... advancement problems.

Senior management has copped to being aware of general dissatisfaction with the way the company is structured/run in the past and just completed their company-wide engagement survey. The onus is on them to take action in response to employee feedback.","3.0"
"107",11,"In MSCI, you learn a lot about your job. You don't just encode or copy and paste data, you analyze them.","5.0"
"108",11,"RiskMetrics had a great, laid-back culture, nice people and very good benefits. Compensation was fair compared to other companies, and management generally showed respect for workers. The company seemed to promote a very strong work-life balance.","5.0"
"109",11,"Profitable company paying good bonuses","2.0"
"110",11,"Working to collaborate across businesses, learning a lot from colleagues, open to smart ideas","2.0"
"111",12,"Some colleagues are great people, lots to learn from them, most people are smart and qualified to do jobs, if not manage others
Generally, non-comp benefits are competitive and fair","3.0"
"112",12,"Hard working individuals supporting solid products.  Competitive benefits and salaries offer great balance.","2.0"
"113",12,"Good environment
Amazing people
amazing live/work balance
salary","3.0"
"114",12,"Challenging job and worked with a group of very smart individuals.  Company planned some fun team building events such as ""Fun Day"" and ""Friday drinks""","2.0"
"115",12,"MSCI is a leader in the risk management and index business.
The company has been growing steadily via strategic acquisitions.
Management is very approachable and open.
Benefits are attractive.","5.0"
"116",12,"Very Causal and cool and relaxing","3.0"
"117",12,"New technology to learn deal with.  Hmm having a really hard time comming up with pros for this company after working for them for 8 years.","5.0"
"118",12,"Great people, good place to learn finance basics, recognized brands, networking (tip: stay in touch with people leaving the company for future career opportunities).","5.0"
"119",12,"People, Work environment, Learn a lot, systems and technology, movility","2.0"
"120",12,"It's a place with excellent teamwork / collaboration, and excellent work environment, ranging from local duties to global responsibilites. There are several interesting projects in development all the time, and they take your collaboration and opinions seriously.
There are also some good career development opportunities along the way, and they care about their employees.","2.0"
"121",15,"Lots of work u need to do.","3.0"
"122",15,"Friendly senior management, 
good work culture","2.0"
"123",15,"comfortable and easy job, you have enough time to improve yourself.","3.0"
"124",15,"Index products are good and are righty labeled as industry standard.","2.0"
"125",15,"Good package, good profiles, Good reviews from collegues","5.0"
"126",15,"Training was a priority by management","3.0"
"127",15,"My four year stint with the company provided me a training ground for further jobs in the field of financial research.  I enjoyed the training they provided including the trip to the headquarters. Almost all employees are like-minded and enjoyed each others company even outside the workplace.  Furthermore, there were bonuses commensurate to performance so everyone is motivated to do their best.","5.0"
"128",15,"People doing the actual work are very smart.","5.0"
"129",15,"Opportunity to work closely with people in different countries, employees are well compensated and management is very good at watching the bottom line","2.0"
"130",15,"- There are great benefits at MSCI.  Women get 16 weeks of maternity leave and men get 2 weeks of paternity leave.  There are discounts to local gyms, yoga in the office, etc...
- Office has amazing views.","2.0"
"131",16,"Interesting Industry, High Exposure to portfolio management.","3.0"
"132",16,"The company is great to learn as far as you want to. There are very smart and highly academical and technical trained people but they are not located in Emerging Markets.","2.0"
"133",16,"you could touch many different fields, such as portfolio management and risk management, both local and global market, equity and fixed income.","3.0"
"134",16,"Flexible work time;
Good work life balance;
Compensation is on par with industry average;","2.0"
"135",16,"good benefits.
Can be a good place to start career","5.0"
"136",16,"time flexibility: you can arrive late once in a while, and for a doctor appointment, you can leave early
Nice colleagues: not very smart but yes, good at work and very professional","3.0"
"137",16,"The company has moved a new location which is close to metro","5.0"
"138",16,"A good place to start your career, nice atmosphere, felxible working hours and some experienced collegaues to learn from. International operation is also a plus (fun to work with Berkeley and Beijing at the same time)","5.0"
"139",16,"Great learning experience, got to work on current technologies.","2.0"
"140",16,"Absolute supportive company, no matter what your special situation a solution is found. Good wage in comparisation to other companies in the branch, Christmas money, Bonus if the company did have profit, so everybody is keen on making sure it does! Quality office environment, centralized location, super cooperative colleges, all fully set on making your work be successful.","2.0"
"141",19,"Good salary, decent benefits, smart people. Many people at the lower levels of the organization want to do the right thing for the business and its customers. Their best efforts are good intentions often fail due to lack of senior management support and resources.","3.0"
"142",19,"MSCI consists of young and talented employees. This helps in bringing new ideas and values into the firm and thereby enables the firm to forge ahead.","2.0"
"143",19,"Very talented workforce working shoulder to shoulder to service the most talented clientele. Also a very collegial environment and very humane people.","3.0"
"144",19,"Work environment, learning opportunities. Reasonable salary hikes each year. (10-15%) for 5 star performers it can be more! can be even 30% on absolutely exceptional situations! Bonuses now a days upto 20%.","2.0"
"145",19,"good exposure to asset owners, investment management and asset allocation and/or risk
smart and knowledgeable colleagues","5.0"
"146",19,"Dynamic workplace. Some awesome people and culture in certain offices.","3.0"
"147",19,"Work Environment (Most people in Norman are great)
Vacation and sick leaves
Benefits
Fun Days
Location (cheap living cost thus low salary I guess)
College Town thus College Football","5.0"
"148",19,"technology but sometimes interrupted
market news when IT depts can work at once
hr sometimes ok but not everywhere","5.0"
"149",19,"Great attitude of co-workers. Managers respect your life outside the job. You can take your vacations days without your manager making any comments about it.","2.0"
"150",19,"- Some very smart people at the top of their games doing some great work.
- Very international.
- Benefits are generous.","2.0"
"151",20,"Company pays good salary to get talent from Indiian market","3.0"
"152",20,"ok for graduate as career begining","2.0"
"153",20,"Very comforble and warm working environment.  Very rich culture.  Lots of learming opportuniies.  Benifits are reasonable good.  Nice and right business models.","3.0"
"154",20,"Good work environment, team work is vert good and good initial salary.","2.0"
"155",20,"Fair and open in communication.","5.0"
"156",20,"Good atmosphere and fun colleagues. The work is not necessarily rewarding, but can be interesting. A good place to start off and learn the finance industry. Pay is competitive but not excessive. Top workers are rewarded.","3.0"
"157",20,"My career was taken to the next level at this company and I will be forever grateful for this opportunity.  In my experience, hard work and a demonstrated results will get you places.  In recent years the company has really worked hard to improve the career development of its employees -previously it was sorely lacking. There was some good training sessions that I found very valuable.","5.0"
"158",20,"None whatsoever about this company","5.0"
"159",20,"Good culture and interesting work","2.0"
"160",20,"Good salary compared to market average
Health insurance
Retirement saving account
Several round recruitment process to ensure the very high quality staff (except middle management and above)","2.0"
"161",21,"Very flexible work schedule, good pay and benefits.","3.0"
"162",21,"some interesting work being done, flexible work schedule, low stress","2.0"
"163",21,"great company in growth mode with plenty of interesting development areas","3.0"
"164",21,"Is good because you have good opportunity to learn","2.0"
"165",21,"The ever changing middle and lower level staff from all over.  More and more are leaving unfortunately,  when they realize no great advances unless connected or brilliant manipulators.
A potential for good mix of companies, but too many alienated and deceptive things.","5.0"
"166",21,"Riskmetrics was a start-up inhabiting the body of a publicly traded financial firm. It was a magnet for people who loved finance but weren't big fans of Wall Street's cultural rot. Working there was a privilege.","3.0"
"167",21,"Good salary and compensation package (Life insurance, pension fund payment, bonus, 1 month extra payment, high salary). Very nice office environment.","5.0"
"168",21,"Je zou echt genieten van het werken met MSCI als je van grote hoeveelheden data geniet, dit is een erg breed spectrum die het verzamelen, controleren en analyseren omvat. Bovendien, de werkomgeving is er ontspannen vergeleken met andere investering analytici en financiële instellingen.
Hoewel er veel druk ligt op de werk nauwkeurigheid, is het behapbaar, vooral als je erg open staat en enthousiast bent over het... leren van nieuwe dingen en processen. Een erg belangrijk onderdeel van het werken in MSCI is dat je veel inzicht moet hebben in het gebruik en impact van jouw werk op de klant.","5.0"
"169",21,"Solid research teams across Barra and Index","2.0"
"170",21,"Interesting people and industry, good products, strong ethics. Compensation is ok, but not industry leading.","2.0"
"171",22,"Pay is OK but only at the higher title levels. Domain and analytical work itself can be highly interesting and challenging, if not for the corporate bureaucracy and infighting that impedes progress. Decent benefits such as medical, vision, 401k, etc.","3.0"
"172",22,"Can maintain good work/life balance","2.0"
"173",22,"Some smart people around. 
Competitors aren't much better. 
Dynamic culture. Lots of aggressive managers, male and female. 
It's like Wall Street without the big bonuses","3.0"
"174",22,"Great working culture, smart and nice people around","2.0"
"175",22,"Array of talented junior reports
Possible career growth though very slow because of terrible team dynamics and shaky HR
A yearly Fun Day","5.0"
"176",22,"Pay is good if you negotiate well. they generally offer you a handsome amount which will satisfy most.","3.0"
"177",22,"The company seems to care a lot about morale, fun days every summer, recreational activities over lunch. liberal leave and telework policies.","5.0"
"178",22,"RiskMetrics had a culture that promoted and rewarded competence, and strong hiring practices that ensured you would be working alongside people who were good at what they did.  Senior management promoted an egalitarian culture that is uncommon in the finance industry, and put real effort into making everyone feel valued.  Risk-taking was encouraged, and failure was generally seen as a learning experience that... wouldn't necessarily cost anyone their job or seriously damage their career.  The best part for me was being surrounded by smart colleagues who were strongly committed, challenged me and helped me raise my game, no matter what the context.  It wasn't always fun, but it was always worth the effort.","5.0"
"179",22,"Great work culture and work life balance, flat organizational structure with no boundaries between senior and junior employees, casual culture.","2.0"
"180",22,"Great place to experience the inner workings and depth of Barra's data based models. Notice that positions are often heavy on the computer analysis and programming side of finance.","2.0"
"181",23,"Very good enviroment and benefits","3.0"
"182",23,"Der Markenname öffnet Türen und ermöglicht interessante Kontakte

Relative Freiheit bei der Berufsausübung, solange alles klappt

Gute theoretische Forschung, intellektuell fordernd

Besser organisierte Abläufe als manche größere Organisationen","2.0"
"183",23,"1. Hire good peoples
2. Good for learning
3. Growth Opportunity","3.0"
"184",23,"You will have many opportunities to work with people all over the world and learn from them. People are mostly responsible here. The job is good in work-life balance.","2.0"
"185",23,"You get good Work/life balance, time-office policies, and work Enviroment.","5.0"
"186",23,"The people are great. Plenty of interesting work to do so there is always a way to demonstrate skills and get ahead.","3.0"
"187",23,"On the face they seem to pay well but the salaries are kept relatively same for prolonged periods of time. Most of their benefits have a lock in for a min of 2 years.","5.0"
"188",23,"Some wonderful, talented people trying to help company grow.  Compan yitself  trying to grow but needs lot of help and organization.  Finally some of sr management waking up to challenge the more chaotic, abusive even, colleagues, some of whom are finally starting to wake up and move to companies which they can more easily handle.  Some of it all still a strange golf club of associations and laziness.","5.0"
"189",23,"There are some good people who know how to treat people decently and want to try to create a decent work environment.

Pay is good.","2.0"
"190",23,"Good Pay.Good vacations,Good benefits,Work life balance is good","2.0"
"191",25,"There exists the ability to grow your role within  the firm.  Managers within the firm recognize talent and people who think outside the box, and have the patience to teach and train which opens the door to greater responsibilities and promotion along with comparable compensation.","3.0"
"192",25,"Salary is good; culture is not bad","2.0"
"193",25,"Good work location, Best way to start career, Great managed company","3.0"
"194",25,"Used to be collegial and respectful.  Maybe it's going back to that in some areas but not very consistent.   Pay ok but not very competitive.","2.0"
"195",25,"Very good culture
Transparent decision making
Independence in working
Good knowledge sharing","5.0"
"196",25,"Lot of smart people. Average money. wide spectral of available knowledge. Good office building.","3.0"
"197",25,"Some very smart research and knowledgable consultants to work with.  Very flexible working schedule and easy access to top level management.","5.0"
"198",25,"Great benefit and fun people to work with. Not a lot of room to grow though. The product is going down hill because of poor software development life cycle.","5.0"
"199",25,"Great Salary and Benefit. Excelent Work-Life balance.
I highly recommended this company to work for. Very smart people.
Nice offices and excelente location.
Good reference for future career.
Offers interaction with international clients and colleagues.","2.0"
