,pros_page1,pros_page_rating_value,answer_re,answer_re_oth,answer_re_n
0,"in some groups, we have great people",3,"in some groups, we have great people",in some groups we have great people,"great, people"
1,"Decent pay for entry level analysts, good hours (for financial services of course), and ample exposure to sophisticated financial products . Work - life balance is certainly adequate. It gives you a lot of time to explore NYC. Its a good stepping stone to a top business school.",3,"Decent pay for entry level analysts, good hours (for financial services of course), and ample exposure to sophisticated financial products . Work - life balance is certainly adequate. It gives you a lot of time to explore NYC. Its a good stepping stone to a top business school.",decent pay for entry level analysts good hours for financial services of course and ample exposure to sophisticated financial products work life balance is certainly adequate it gives you a lot of time to explore nyc its a good stepping stone to a top business school ,"hours, balance, pay"
2,"It is a generally stable firm to work for, very predictable and honors the work life balance for the most part. The compensation in most cases is sufficient.",3,"It is a generally stable firm to work for, very predictable and honors the work life balance for the most part. The compensation in most cases is sufficient.",it is a generally stable firm to work for very predictable and honors the work life balance for the most part the compensation in most cases is sufficient ,"compensation, work, balance"
3,"Moody's has a very collegial work atmosphere -- the other analysts are smart, eager to share information and good to work with. Most of management respects analysts opinions. You should never be bored at Moody's -=- even if something you are doing is tedious, there is more interesting work around the corner. There are also a lot of opportunities to learn more. In fact there is a 20 hour training requirement and... there are classes on all sorts of topics being offered ranging from credit issues, computer applications, how to deal with customers etc. All in all a stimulating work environment.",4,"Moody's has a very collegial work atmosphere -- the other analysts are smart, eager to share information and good to work with. Most of management respects analysts opinions. You should never be bored at Moody's -=- even if something you are doing is tedious, there is more interesting work around the corner. There are also a lot of opportunities to learn more. In fact there is a hour training requirement and... there are classes on all sorts of topics being offered ranging from credit issues, computer applications, how to deal with customers etc. All in all a stimulating work environment.",moody s has a very collegial work atmosphere the other analysts are smart eager to share information and good to work with most of management respects analysts opinions you should never be bored at moody s even if something you are doing is tedious there is more interesting work around the corner there are also a lot of opportunities to learn more in fact there is a hour training requirement and there are classes on all sorts of topics being offered ranging from credit issues computer applications how to deal with customers etc all in all a stimulating work environment ,"work, management"
4,"a well known firm; established methods, diverse workforce, global organization",1,"a well known firm; established methods, diverse workforce, global organization",a well known firm established methods diverse workforce global organization,
5,Many of the floors of the expensive headquarters at 250 Greenwich has a ghost town feel. The view from the vista of the cafeteria on the 20th floor is really nice.,1,Many of the floors of the expensive headquarters at Greenwich has a ghost town feel. The view from the vista of the cafeteria on the th floor is really nice.,many of the floors of the expensive headquarters at greenwich has a ghost town feel the view from the vista of the cafeteria on the th floor is really nice ,
6,"good balance between work and life. i never had an issue taking time off, and face time was generally not of import. significant changes were made once the company went public, and revenue drove the business as opposed to analysis. significant changes at some levels should help, but the old guard is still there for the most part.",2,"good balance between work and life. i never had an issue taking time off, and face time was generally not of import. significant changes were made once the company went public, and revenue drove the business as opposed to analysis. significant changes at some levels should help, but the old guard is still there for the most part.",good balance between work and life i never had an issue taking time off and face time was generally not of import significant changes were made once the company went public and revenue drove the business as opposed to analysis significant changes at some levels should help but the old guard is still there for the most part ,"work, balance, company"
7,There is good work/life balance. People are friendly.,4,There is good work/life balance. People are friendly.,there is good work life balance people are friendly ,
8,"Good work-life balance, competitive compensation and a fairly secure environment combine to provide an unusually good relationship between Moodys and its employees. Although the work is less than exciting, it is fairly challenging.",3,"Good work-life balance, competitive compensation and a fairly secure environment combine to provide an unusually good relationship between Moodys and its employees. Although the work is less than exciting, it is fairly challenging.",good work life balance competitive compensation and a fairly secure environment combine to provide an unusually good relationship between moodys and its employees although the work is less than exciting it is fairly challenging ,"compensation, work, environment"
9,"Dynamic company which generally treats it's employees well. There is opportunity for career advancement, and some movement between departments is possible. The atmosphere doesn't feel as ruthless as a bank for instance. Because it's mainly analysts, there is a more thoughtful, laid-back atmosphere which works well for the ratings process. The company did very well between 2001 - 2005, and this has cushioned... some of the blow from the credit crunch. The senior management changes about 12 months ago will hopefully result in some efficiency gains.",4,"Dynamic company which generally treats it's employees well. There is opportunity for career advancement, and some movement between departments is possible. The atmosphere doesn't feel as ruthless as a bank for instance. Because it's mainly analysts, there is a more thoughtful, laid-back atmosphere which works well for the ratings process. The company did very well between - , and this has cushioned... some of the blow from the credit crunch. The senior management changes about months ago will hopefully result in some efficiency gains.",dynamic company which generally treats it s employees well there is opportunity for career advancement and some movement between departments is possible the atmosphere doesn t feel as ruthless as a bank for instance because it s mainly analysts there is a more thoughtful laid back atmosphere which works well for the ratings process the company did very well between and this has cushioned some of the blow from the credit crunch the senior management changes about months ago will hopefully result in some efficiency gains ,"senior, management, company"
10,Recognition as a credit analyst.,3,Recognition as a credit analyst.,recognition as a credit analyst ,
11,-benefits -great coworkers- they do a good recruiting job,3,-benefits -great coworkers- they do a good recruiting job, benefits great coworkers they do a good recruiting job,
12,Supposedly Moody's is designed to give people in the financial field a chance to do some meaningful financial analysis in rating the riskiness of debt and other securities.,3,Supposedly Moody's is designed to give people in the financial field a chance to do some meaningful financial analysis in rating the riskiness of debt and other securities.,supposedly moody s is designed to give people in the financial field a chance to do some meaningful financial analysis in rating the riskiness of debt and other securities ,people
13,"they've, so far, largely kept their promise to employ through the cycle",4,"they've, so far, largely kept their promise to employ through the cycle",they ve so far largely kept their promise to employ through the cycle,
