"","x"
"1","Management is weak and very fickle minded, decision making is not strategic"
"2","good environment and growth opportunity"
"3","Not much to say here"
"4","I've only been here for a year and some months but have seen the culture deteriorate significantly in this time. This is due to cost cutting due to ""poor"" results (double digit growth, but missed target...) They sold/rented out a floor and moved people around, fired some, no budget for anything at all. Senior employees with company stock probably don't care, but junior people are leaving in droves. But this seems to... be a part of the plan. The company seldom fires, it just pushes people out. Which leads me to the main issue, this organisation is the direct opposite of a meritocracy. There's tons of politics and they would rather promote someone attending Diversity & Inclusion events (or fitting a minority) than people actually performing well. This is a good place to land after you're too tired to work hard and just want to take it easy with pretty smart people with a nice salary and you're willing to accept nonsense politics."
"5","A 3rd class company dont deserve even a single star.. Please be careful before joining double check your JD with them... They are biggest liars ..they will brief you a different JD and once you join they will trap you some 3 rd  class work... There are some person in US who will take your interveiw and tell you the false JD.. And wait for your last day that you confirmed.. Once your last day at previous organisation... oassed they will call you for change in your JD... There HR are really sucks... No orientation nothing.. Very unprofessional and 3rd class organisation... Sooo much negitivity in the work place i cant tell you... Really a very bad experience i had and my collegue who has joined recently along with me... They will pay you above your level and then you will trap... Soo guys be careful with such kind of 3rd class organisation and don't ruin your career..."
"6","Poor management, HR disfuntional, lack of career oath"
"7","Salary, Learning, Growth, Management, Opportunities"
"8","The business will succeed with or without you."
"9","no advice as such"
"10","Muchos servicios en Estados Unidos"
"11","Pay is lower than most financial service firms"
"12","No onsite opportunity , no HR policy in place , can be fired anytime"
"13","Politics, global teams micro management"
"14","Salary, mediocrity at times and cost cutting"
"15","If you want to make a change....you CANT."
"16","The management people don't care about you at all, and promotion is a black box. Hard-working won't get you promoted"
"17","Uninspiring managers who dont really care about employees. You do not develop any hard skills"
"18","Promotion progression difficult as Senior staff tend not to leave"
"19","Pay compensation and advancement opportunity"
"20","Poor management, no career advancement for junior analysts, no work-life balance, full of politics"
"21","The salary could be better, but its comparable to other companies."
"22","Going under some transformation from past several years off course for efficiency improvement and technology implementation. These may cause some flutter for some departments"
"23","Sales quotas were always rising making it difficult to be successful consistently"
"24","It can get stressful when conflicts of interest arise between different departments but nothing out of the ordinary"
"25","Limited upwards growth for Associate Analyst if working in a regional office like Toronto. Better career prospects if Associate analysts move to New York."
"26","The consistency of the work load is not the greatest so at times it can be very slow and unmotivating."
"27","Salary not great
Progress very limited"
"28","Most hostile work environment ever experience (and note that I was a trader in an hedge fund prior). Management completely nonexistent, only present when needed to complain on performance. Embarrassing salary, no bonuses. No career opportunities due to shortage of employees in the bottom of the chain, so Moody's will keep you there until you quit. Work life balance nonexistent if you actually want to perform all... your daily tasks. Nonexistent opportunities of growth. Offshore team in India is more relevant that employees in London, and possibly will be replaced once the India team is properly instructed. No room for mistakes. Constant state of fear of making mistakes which will not be overseen."
"29","Bad systems, worklife integration, human resource challenges"
