,cons_page1
1,Ability to claw back as a brand after the subprime debacle. The brand has taken a beating in the press and in the congress with the way the ratings were deemed to fail how it communicated credit worthiness of the security to investors. It will be interesting to see what legislature decides as the role credit rating agencies will play in the future of capital markets. The next few months and even a year will redefine... the way the company will evolve- most certainly it wont enjoy its position as it did pre-2007.
2,Do not reward mediocrity
3,"-boys club
-women will never get ahead there
-brian clarkson made the ratings biz commerical endeavour therefore helping in the downfall of the world markets"
4,"-there are middle managers in sales that are blowing smoke and runing peoples careers 
-there are too many managers and not enough workers (sales people, trainers)"
5,"Employees treated like disposable parts.  Often times, the hiring process seems to be completely random.  I had excellent grades from a top undergraduate business school.  No one wanted to interview me for a full time job.  The management is very disrespectful to lower ranking employees.  Very hierarchical.  It is the McDonald's of financial services firms: they have a franchise (i.e. the ratings, which often are... required); they have their standard models, and they hire randomly people that can plug in numbers into their models.

The mortgage crisis has pulled the tide out on Moody's, and showed that Moody's too, was swimming naked.  They are all about the cash, no integrity - in the way that they treat people and in the way that they rate securities.

Moody's is probably a good business, it generates a lot of cash flow, but in my experience, that definitely doesn't translate into a good place to work - it's a lousy place to work."
6,Get a clue.
7,"you bear all the downside, whilst there is only minimum upside"
8,hand out stock-option to staff to retain when the market picks up again
9,"Don't work here if you want to climb the ladder quickly - lifers are everywhere.  Underperformers are not weeded out until there's a fire, and then both good and bad are let go.  It's not like MS or Goldman where it's ""up or out"" -- here, you will have a nice office with decent pay and benefits, but promotions take forever because there is so little turnover at the management ranks."
10,Become less dependent on ratings revenue.
11,"Underappreciated work and poor morale affected the quality of work.
Innovators beware, this is not a place that values innovative ideas.
You are measured against a very precise set of metrics, this can be good for some, and bad for others.
Management attempts to create competition amongst employees in order improve efficiency, in the end, this creates more animosity and less efficiency."
12,Treat employees with more dignity and respect
13,"Long hours and heavy workloads. Not really work/life balance friendly but then again, not substantially worse than other companies in this field."
14,"Expectations management. Don't throw people on work they have no experience in and expect miracles or quality work from the get-go. But then again, this is just personal experience and might not be a general issue."
