"","x"
"1","Company has a good work culture and people have a good time."
"2","ease to work and good salary"
"3","Great people and learning potential"
"4","Moody's is a great place to work at if your main priority is work-life balance in the finance industry. It is also a pretty good steppingstone to asset management at least in London. Generally friendly and pretty bright people."
"5","Good culture, good benefits, good work life balance"
"6","Nothing good in the company"
"7","Good work and life balance"
"8","They have flexible work schedule. People are nice."
"9","Nice office, decent compensation, flexible work arrangements"
"10","Bonus, Work Environment, Leaves, Team"
"11","Work life balance compared to most companies"
"12","good work and work life balance"
"13","Ambiente y flexibilidad horaria"
"14","Good corporate culture, great exposure to senior management, great office"
"15","Exposure, learning, working life balance"
"16","Collegial atmospere opportunities to learn"
"17","Good hike , and work exposure"
"18","Flexibility, good people, professionals, good salary"
"19","Colleges, interesting work, access to thought leaders"
"20","Good work life balance in the company"
"21","If you want to coast....you CAN."
"22","Good pay, hours, flexibility, benefits"
"23","Good work and life balance"
"24","Interesting, good work life balance"
"25","Good work life balance, some nice Lead Analyst, nice office"
"26","Knowledgeable helpful colleagues
Work life balance 
Independence day to day as analyst"
"27","Flexible hours, and good life balance"
"28","There are some nice people inside the organization"
"29","The environment is great. There's no micromanagement, at least not in my department. You get about 20-21 days of paid time off to start. Work at home option after a year in the company."
"30","Culture, employee friendly, training, diversity"
"31","Warm leads and recognized name so not a difficult sales job"
"32","Professional environment. Starting salary offered was fair, I got promoted twice without having to fight for it. They know how to recognize good employees and keep them."
"33","Credit research, exposure to senior management at companies covered. A ton of learning opportunities in the credit space."
"34","The work load and environment supports you having a good balance between your work and personal life."
"35","Good work life balance
Chilled atmosphere"
"36","Only the name on the CV, which it is not even outstanding"
"37","Flexibility, great managers, commitment to learning and development"
"38","Great colleagues throughout the firm. Compensation is fair."
"39","short work hours, nice people"
"40","Good work-life balance for Wall Street
Smart capable coworkers"
"41","good payout and good facilities"
"42","Excelente ambiente de trabajo y salarios muy competetivos. Muy buen lugar para ganar experiencia en una prestigiosa compañía y aprender del mercado financiero"
"43","Independence in working and realizing the resluts"
"44","Good environment and good salary"
"45","Learning opportunities for freshers, training, events"
"46","Salary above the market for associate positions.

Work-life balance is better compared to similar positions at Investment Banking.

The exchange of ideas and experience with people from others offices around the world is a leverage."
"47","Work life balance, Flexibility, Great colleagues"
"48","Diverse and smart associates, some in management are real role models, others need to retire. Moody's has great benefits for a mature company including 50% match of your 401k up to 6%, 10 week paternity leave, 16 week  maternity leave, and flexible hours including ""work from home""."
"49","Work Life balance was exceptional."
"50","Good company, culture ok, positive place"
"51","- Very competitive benefits package w/10 weeks paid paternity and maternity leave
- Work life balance is good. There are times when we are swamped but not 100% of the time.
- Team oriented atmosphere. Promotions and bonuses awarded based on performance and contribution to work place culture, which helps avoid over-rewarding people that are high performing but otherwise toxic."
"52","Plano de saúde muito bom, oportunidade de aprendizado e ambiente desafiador, remuneração atrativa, ambiente de trabalho bom, bom plano de previdência, e flexibilidade para fazer home office"
"53","An inclusive culture
Flexibility with WFH
Job mobility
Promote within
Open communication
Talented coworkers"
"54","Good balance of work life, good employee development, good culture."
"55","Work/life balance is nice, people are pretty friendly, and there’s good exposure to leadership."
"56","A empresa tem um bom ambiente de trabalho, com profissionais extremamente qualificados, boa remuneração e benefícios, incluindo plano de saúde e odontológico."
"57","learn a varied skillset, training and build up contacts across financial services"
"58","Flexible work arrangements and culture"
"59","Great place to learn, Very good benefits (health insurance). Good salaries"
"60","Ability to move within company"
"61","Nice people and good work life balance"
"62","Leader in its segment. High standards"
"63","Work from home opportunity, reasonable work hours"
"64","- Excellent work-life balance
- Good credit training
- Good exposure"
"65","Nice people and good work life balance (most of the time)
Interesting work"
"66","Location is good. High profile name. Global company. Some People are able to use the flexible work policy, but it varies. Not much else to say here."
"67","Great people, very professional, I really learned a lot, personally and professionally"
"68","WLB good
Good salary
WFH policy
Career development opportunities"
"69","Very, very good work life balance;
People are nice and kind;"
"70","Flexible good pay balance life"
"71","Plenty of information to read and learn"
"72","No work pressure, Nice management"
"73","Good prospects with better work life balance"
"74","Overtime Eligible, Work/Life Balance is good (9-5)"
"75","Learn a ton, really talented team."
"76","Colleagues are nice and helpful."
"77","A few nice people work here but that all."
"78","Awesome, Great, Good, Wonderful, Nice"
"79","- Better than unemployment
- Work from home is encouraged"
"80","All well is in the company"
"81","Interesting work is available but only to those chosen as favourties"
"82","Overall job satisfaction is good."
"83","There is no pros in the company"
