"","X1","pros_page1","pros_page_rating_value"
"1",1,"in some groups, we have great people","3.0"
"2",1,"Decent pay for entry level analysts, good hours (for financial services of course), and ample exposure to sophisticated financial products .  Work - life balance is certainly adequate.  It gives you a lot of time to explore NYC.  Its a good stepping stone to a top business school.","3.0"
"3",1,"It is a generally stable firm to work for, very predictable and honors the work life balance for the most part. The compensation in most cases is sufficient.","3.0"
"4",1,"Moody's has a very collegial work atmosphere -- the other analysts are smart, eager to share information and good to work with.  Most of management respects analysts opinions.  You should never be bored at Moody's -=- even if something you are doing is tedious, there is more interesting work around the corner.  There are also a lot of opportunities to learn more.  In fact there is a 20 hour training requirement and... there are classes on all sorts of topics being offered ranging from credit issues, computer applications, how to deal with customers etc.  All in all a stimulating work environment.","4.0"
"5",1,"a well known firm; established methods, diverse workforce, global organization","1.0"
"6",1,"Many of the floors of the expensive headquarters at 250 Greenwich has a ghost town feel. The view  from the vista of the cafeteria on the 20th floor is really nice.","1.0"
"7",1,"good balance between work and life.  i never had an issue taking time off, and face time was generally not of import.  significant changes were made once the company went public, and revenue drove the business as opposed to analysis.  significant changes at some levels should help, but the old guard is still there for the most part.","2.0"
"8",1,"There is good work/life balance. People are friendly.","4.0"
"9",1,"Good work-life balance, competitive compensation and a fairly secure environment combine to provide an unusually good relationship between Moodys and its employees.  Although the work is less than exciting, it is fairly challenging.","3.0"
"10",1,"Dynamic company which generally treats it's employees well. There is opportunity for career advancement, and some movement between departments is possible.

The atmosphere doesn't feel as ruthless as a bank for instance. Because it's mainly analysts, there is a more thoughtful, laid-back atmosphere which works well for the ratings process.   

The company did very well between 2001 - 2005, and this has cushioned... some of the blow from the credit crunch.

The senior management changes about 12 months ago will hopefully result in some efficiency gains.","4.0"
"11",2,"Recognition as a credit analyst.","3.0"
"12",2,"-benefits
-great coworkers- they do a good recruiting job","3.0"
"13",2,"Supposedly Moody's is designed to give people in the financial field a chance to do some meaningful financial analysis in rating the riskiness of debt and other securities.","3.0"
"14",2,"they've, so far, largely kept their promise to employ through the cycle","4.0"
"15",2,"Good opportunity to learn a lot about various asset classes, but only if you are a self-starter.  If you like stability and don't mind the cubicle lifestyle, this may be a good place for you.  You can phone it in here and probably get by.  Pay is average, with less upside than the street but more job security.","1.0"
"16",2,"There is a reasonable work life balance here. 
If you enjoy a very well-defined job where you can follow a precise set of steps in order to complete the required work as an analyst then that can be considered a plus","1.0"
"17",2,"It's doing reasonably well currently in this recession. There's a lot of resources for learning and growing a career, pay is good.","2.0"
"18",2,"Laid back atmosphere if you like that environment.  The salary is not great, but decent.  If you are new to IT, you will definitely learn some new things.  Promotions based on hard work.","4.0"
"19",2,"Moody's has a laid back academic culture where work life balance is encouraged.    Flexibility in work schedule is a big plus","3.0"
"20",2,"Formal debt/credit training and education especially if you have no prior knowledge/experience of debt/credit analysis. Professional development continues this theme by requiring all analysts to complete a certain number (dependent upon seniority level) of required classes/hours per year.","4.0"
"21",4,"The people are generally great to work with.
The work is interesting and you can learn lots if you have the right manager.","3.0"
"22",4,"- Stock options
- promotion opportunities
- senior management
- benefits
- employees
- state-of-the-art building
- bonus opportunities
- vast organization","3.0"
"23",4,"You get good exposure to issuers and their management. Some good lead analysts who help junior analysts develop their fundamental credit skills.","3.0"
"24",4,"Good balance between personal and business life, though may depend on resposibilities
No unneeded pressure, good place to retire
There is some space for professional growth or even career change
They pay for training courses","4.0"
"25",4,"Moody's is a great place to gain experience and build on your skills, the company is reputable enough to impress recruiters reviewing your resume; and all positions come with free on demand training courses for certain areas of your position.","1.0"
"26",4,"Very relaxed environment--sometimes too laid back. Can get boring at times during slow stretches. Great work-life balance. never feel like you're stuck in the office for too long.","1.0"
"27",4,"Good People, good benefits and compensation","2.0"
"28",4,"Moody's is a great place to learn and the knpowledgel that is obtaind from working here can be a valuable asset for other companies","4.0"
"29",4,"My direct manager made my time at Moody's definitely more valuable. Due to her mentoring I was exposed to different aspects of the company and my role in the department. Salary was average. Senior Management accessible.","3.0"
"30",4,"- Good work/life balance
- People are nice to work with
- Senior management is accessible
- Pretty flat structure","4.0"
"31",5,"The work/ life balance is good compared to other companies.","3.0"
"32",5,"Great people, intellectually rewarding, supports independence of thought and unbiased opinion, decent work-life balance, much improved senior management, more strategic direction, good focus on customer service and ""getting the message out"".","3.0"
"33",5,"work and life balance, very comfortable work environment. management always open to feedback and suggestions. Reputable company from which one can learn a lot.","3.0"
"34",5,"- Great work life balance
- Good benefits
- Opportunity to meet senior executives of covered companies if you are in the ratings side
- Good name to have in resume
- Access to a sea of research materials and models if you want to self-learn","4.0"
"35",5,"- Exposure to virtually all asset classes in the debt markets, if you have the initiative to learn;
- Access to senior management of companies as an insider;
- Work/Life balance is possible (but it may take you longer to get promoted -- if at all -- if you choose to work 9 to 6, particularly since the credit crisis);","1.0"
"36",5,"It's not as stressful as working for an IB. Although work is still plentiful and the hours are still long.
People are respectful and courteous.
Can balance work and life.
Good place to learn and develop skills.","1.0"
"37",5,"To learn the basic credit skills
Some banks like people with rating agency experience
Good exposure as you can meet many companies
Except peak season, normally most staffs can left before 7-8 pm","2.0"
"38",5,"1. Great intellectual environment.
2. Honesty in internal credit decisions
3. Democratic debate on credit ratings that are assigned to issues that are rated.","4.0"
"39",5,"This is a great learning experience, especially for someone at the start of their career. 
At Moody's, everyone has their chance and you will be given exposure right from the beginning which is not always available in other companies","3.0"
"40",5,"Great people, benefits and work/life balance","4.0"
"41",6,"Pre-reorganization, compensation/bonuses/stock options were real perks for the hard working folks who got them.  Benefits packages available were generous and flexible, including HMOs, POS, etc.  401K plan with matching employer contributions.  Compensation in the form of extra 401K matches and bonuses were proportional to individual and corporate performance.  Most coworkers had no plans to leave the company. ... Tenure of most of the employees I worked with was 10+ years, some lifers.  Severences packages were good to generous.","3.0"
"42",6,"Good/great benefits
Good place to learn
If you work on a team that reports into a strong manager (competent, advocates for his/her employees) you will have a good work experience.","3.0"
"43",6,"- Friendly and knowledgable coworkers
- Get to work with bankers, lawyers, and senior managment of various companies
- Very good work life balance
- Work receives high visibility in the credit markets","3.0"
"44",6,"Terrific opportunity to get training and get expertise on fundamental credit analysis and other important communication and relationship building skills as part of the credit rating process. The collaborative environment and collegial/cooperative environment is one of the best reasons to work here.","4.0"
"45",6,"The salary is ok. The work hour is flexible. No overtime usually. No much pressure. Most of coworkers are friendly","1.0"
"46",6,"Pre-reorganization, compensation/bonuses/stock options were real perks for the hard working folks who got them. Benefits packages available were generous and flexible, including HMOs, POS, etc. 401K plan with matching employer contributions.","1.0"
"47",6,"Collegial atmosphere among analysts; mentoring of junior analysts generally good but depends upon the competencies of senior analyst; analytic work environment leans toward professional academic with very good coverage and rigor in fundamental credit analytics training program.  Analytic work load is generally split with Associates doing first the number crunching, moving up to the heavy lifting on fact checking,... and if track record is good to providing the bones of written analysis, along with input to rating decisioning committees.","2.0"
"48",6,"Big Brand would be the reason why you want to work there, plus very Good People around, also, there working hour is reasonable","4.0"
"49",6,"-Collegial environment
-Senior analysts happy to help out juniors
-Academic approach to credit analysis
-Exposure to lots of different aspects of the business if you just ask for it","3.0"
"50",6,"Benefits are good. Used to be great place to work - not anymore...","4.0"
"51",8,"Great place to learn and grow","3.0"
"52",8,"Good training, interesting credits, lots of exposure to credit analysis","3.0"
"53",8,"Moody's fosters a very collegial environment","3.0"
