"","x"
"1","Things are in a state of flux due to the recent merger.  Many people still don't know how things will shake out in general, or individually."
"2","Lack of vision for the future"
"3","Like  many of corporations, lots of new dev is being outsourced."
"4","Upper management has no idea what they are doing.  Most recent major example was deciding to lay off a huge percentage of IT employees in the US and hire new ones in Beijing.  They lost decades (centuries?) of experience doing this and did not even consider that in Beijing the employees get paid triple time for working outside normal business hours (so 24 hour support would cost a ton)."
"5","Twice yearly survey is not tied into pay or promotions. They will give you more responsibilities, sometimes a new title, but they will probably never give you salary wise what they are willing to pay, someone right off the street.  No career path, very few promotions from within, little training to be promoted and if promoted, no wage adjustment.  Too much on call.  Free with praise, trinkets and 'at a boys' but not... money, current salary 20% under street average.  Too may ways to be fired. These are my opinions."
"6","Distance between different working groups."
"7","Career advancement is difficult. You can stay in sales or account management, take a pay cut to go in to management and then wait for years to progress after that."
"8","The job we do is not comparable to other positions in the company, we are a small unit."
"9","Big sluggish machine. Although streamlining the product offering, there are still too many out there. Very much a Boys' club. CEO and COO are Harvard mates. Too many management layers and the 'fast forward' intent of weeding out old wood somehow also weeded out key creators within the company. Benefits vary greatly depending on location. Not a great payer."
"10","Benefits have continued to erode and I am not sure when we will hit bottom. Maybe when the job market becomes more competitive?"
"11","Management cares only about the appearance of things and not for real suggestions for improving processes.  Promotions and advancement are not based on ability and people magically appear in higher positions when no one else knew that a position was open.  
Compensation and pay raises are too closely tied to an immediate supervisor's personal opinion of an employee.  Despite the fact that the reviews are supposed... to be objective and based on facts, when managers fail to follow this procedure, there is no recourse.
I had a rotating array of at least half a dozen people to whom I reported to at any given moment."
"12","Huge and bureucratic.  The same projects and products get implemented over and over again in slightly different ways.  Every manager fights for a bigger slice of the pie by promising the world without regards to whether or not the team can deliver.  Almost no-one knows enough about what they are supposed to be doing to do it effectively.  Those that are in the know hoard information."
"13","Very inflexible with work arrangements. Almost no working from home is allowed in my department (technology)."
"14","Thomson is essentially a collection of smaller companies that they have acquired over the years. Now they are trying to merge all of these different companies and financial information products into one big product. This ignores the niche markets that some of the acquired companies were serving. The big product they are feeding everything into has a lousy user interface and poor performance. I bet this has only... gotten worse with the Reuters merger."
"15","Job security, massive conglomerate, new corporate ethos. There is a lot of ill feeeling between legacy Reuters and legacy Thomson employess as to which is the best way to do things and the impression of ""job stealing"" when someone is let go and a person from the other side slips into the job."
"16","Salaries tend to be low compared to other industries. The differences with money paid in Banking or Investment are quite shocking.
There's no official back-up for said flexible working, there are no clear rules, it's up to your manager to determine whether you can work form home or not, and it's knonw that some managers are strongly opposed to this option. A clear policy should be written so that workers could... refer to it.
Morale is low after the merge. Things are changing. It seems Thomson was not such a good company in terms of benefits and some of the good Reuters policies have not been adopted in the US. There has been a harmonisation in the UK. Lots of people are leaving."
"17","There are a lot of politics at the higher levels of the company.  They do not regularly share information across business units.  HR is horrible.  They do not pay for performance.  Raises for top performers are usually around 3.5% to 4.5%, while raises for poor performers are usually between 2% and 3%.  They do not try to attract top talent."
"18","Multiple owned companies with similar businesses create a negative competitive environment; layers of bureacracy that comes with larger companies; Continuous buying and selling businesses creates lack of employee stability and often duplicative job functions."
"19","Pay is average.  Some management positions are not posted."
"20","If you are in the Eagan office, then you are in the center of the universe.  In the field, it can be difficult to get things done without travelling out to Minnesota."
"21","They are not a technology company but are trying to leverage it in their businesses and do not always have the technical expertise to deliver a sound technical product which can lead to customer satisfaction issues."
"22","Clueless upper management; promotions not based on merit; too many reorgs (1 every six months!)"
"23","Software development at Reuters was a complete mess.  Too many products were being developed in too many places, which eventually led to lots of layoffs.  The entire company seemed very disjointed.  When people were laid off, there was no thought given to performance, only to geographical location."
"24","Not all business units are the same.  Healthcare is a terrible unit to work for compared to Creative Solutions."
"25","Too much corporate politics (which you'd get anywhere, though), turnover is high within the company, parking can be rough, always facing reorgs and change management,"
"26","Too many project managers with little or no understanding of what they are managing, adding no value to a project.  Senior management believe moving as much work as possible to low cost offshore locations is the answer to all of their problems."
"27","People who worked on the Thomson Financial side are just waiting for the Reuters people to get shot of them. I understand the place has become massively more bureacratic since the merger. Rumours that Reuters regards itself as a branch of the British civil service appear to be true."
"28","Management does not listen to staff. Attempting to 'clone' us all and lose our individuality as relationship managers. Too many middle managers, too much report writing, too many reviews."
