"","cons_page1"
"1","If you are looking for good learning. I don't think you will get here. Lot of Partiality in the team. But again it depends on the team."
"2","Os progressos são um pouco engessados e difíceis de serem mudados"
"3","Hope the company will provide more job opportunities for those people who have legal background."
"4","Not many but growth opportunities are hard to come by"
"5","Communication during times of change could be better"
"6","Plano de carreira bem definido e dificuldade para conseguir aumento."
"7","Comunicação não é boa , e o RH demora a atender demandas"
"8","Dint saw any negative things."
"9","The pay is very low"
"10","Increase pay"
"11","managers were very unkind sometimes"
"12","managers were very unkind sometimes"
"13","not much in career path"
"14","There's no coherent strategy for supporting customers from legacy products and moving them to the products the company wants to focus on. And no strategy for letting employees move to work on other product lines."
"15","Less Package for the employees"
"16","Increase in the Package"
"17","The reason there is amazing flexibility is because there is no accountability. 
They rolled out this New Ways of Working program to bring the whole company into agile methodology. Maybe 10% of the workforce knows what agile is and the coaches helping teach it have no idea what they are doing. No one knows how to work together or cross-functionally. It’s a mess!
If you are a very average employee you will be a... superstar at Thomson Reuters. 
Mass exodus of highly talented people."
"18","Figure out a strategy. Hold people accountable. Retain high performers. Publish roles and responsibilities for teams."
"19","1. Salary package is average
2. Less opportunities to up skill onself"
"20","Not a lot of room for advancement."
"21","Thank you for providing us with good benefits."
"22","Waste hrs.. you need to maintain relationships in order to get promoted"
"23","Grow up kids"
"24","Lots of bureaucracy and admin sometimes as it's a big company."
"25","Nothing now to specify for the Cons"
"26","Sinto que a hierarquia da empresa está um pouco confusa, isso pode ter relação com a empresa estar mudando para processos ágeis, porém fico um pouco perdido em relação aos papeis de certas pessoas dentro da corporação."
"27","Large organization so aquistions and such can cause uncertainty but leadership makes a strong effort to be transparent and communicate those changes with ample notice."
"28","Keep the open door culture and continue to promote individuals that work tirelessly to provide world class service to your customers."
"29","We all think that the Salary is not equals the market."
"30","Constant change and be a challenge for some."
"31","So many lay offs"
"32","The agendas or priorities can change at any moment and the focus of work can be completely changed. Sometimes your hard work may not be required once completed."
"33","To have some strangled process which will help in tracking important aspects to drive operational work smoothly."
"34","Like all big corporations, can be overly bureaucratic"
"35","Sold division  and left some staff in the dust"
"36","Unstable company, Consistent layoffs, Frequent organizational change"
"37","Very mature office - not great at taking in and nurturing young people."
