"","x"
"1","There are lots of opportunities within a huge organization to find a position that fits your lifestyle and interests."
"2","Family friendly environment to work in."
"3","Great benefits, excellent leadership, and a very cooperative culture."
"4","Local management is good.  Technologies used are mostly what I want to work with."
"5","Management is O.K. about personal time, Dr. appt's, Denists, something happening at home.  Working from home allowed at times.  Twice yearly review of your job, how are you doing, where do you want to go survey."
"6","Great work environment and professional oportunities."
"7","Industry leader. Decent Compensation. Westlaw is the best product in the market, way better than the competitor Lexis Nexis."
"8","Big global company leader of news service"
"9","Blue chip company. Lots of history and truly international. There are 2 arms to the business - Editorial & Information Technology. The experience will be dependent on which arm you work for. Reasonable career growth. A good name to have on your resume and a great stepping stone to another company."
"10","Working with professional colleagues for a company that is the industry leader."
"11","There are plenty of career opportunities (if you are willing to look for them). With over 50,000 employees and 300 offices in over 90 countries there are jobs out there in every imaginable role."
"12","They don't get trapped into thinking their way is the best/only way to do something. They encourage thinking about new technology and how to leverage it to improve the existing design. 

For me a benefit is the relaxed team atmosphere. I have people to go to for help, but each piece is independent so I'm not constantly having to negotiate around what other people are doing."
"13","A good chance to hone professional skills, and to achieve a varied skill set at a very successful company."
"14","Pay and career growth if you're willing to sell your soul"
"15","The best reason to work for Thomson Reuters is the people. They have done an excellent job of assembling some very talented folks. The problem is after awhile the ineptitude of the senior managment errodes away at that talent so much so that they leave the company."
"16","benefits are good, especially now that vacation time has been made more typical (3 weeks rather than 2 for employees under 5 years)"
"17","i get to work with smart, interesting people in a fast-moving industry. thomson reuters is very good about rotating people through different functions and divisions, to ensure that your skill set is always growing and that you don't get bored easily."
"18","Stable and growing.  The facilities are fantastic.  In my area, at least, there is no real pressure to be married to the job (stay late, work weekends, etc.).  We usually have access to the best resources (computers, supplies, etc.) available."
"19","If you are young and just out of college, it's a good place to start.  But the raises given to employees after five years are puny (2-3%) and without getting a promotion there is little chance for increasing your pay.  In other words, the longer that you are employed the less you are appreciated.  In all fairness, Thomson and Reuters have just merged, so there is hope for some change, although the previous ... acquisitions and mergers have not shown many changes."
"20","Great sense of involvement, ability to work worldwide, good range of options in terms of job role, self accountability in tasks and are trusted to work alone.  Time management flexible and generally job is results based.  Mgt ability is varied from role to role but the ability to manoevre usually allows ways around this."
"21","The free coffee in the C building is pretty good."
"22","It's a stable company. There are many opportunities to move around in the company and there are a lot of challenges."
"23","It's a big company with a lot of different opportunities to move around and try new things. There are many opportunities for training and professional growth."
"24","Benefits are relatively good. The group I worked in had a casual dress code. Company seems to be doing well financially."
"25","At the front of news production, Reuters is/was a globally recognised brand that is/was known for its impartial reporting, hopefully this will continue under the new regime."
"26","Global company: being an international company makes people from all over the world feel welcomed.
Lots of opportunity for development and career progression: There are plenty of opportunities for internal movement, easy to find new jobs and most managers are supportive of career development. 
Good flexibility if you are a woman: Maternity leave policy is very good and flexible working is at quite a decent level... in the company. Many people work from home 1 or 2 days a week or come back after maternity on a part time basis. 
Environment: quite good environment, not stressing. Offices are open plan and only a few managers at the highest level have their own offices."
