,X1,pros_page1,pros_page_rating_value
1,1,"Lot's of opportunity if you enjoy change and are willing to embrace it
Supportive management for development opportunities",4
2,1,"Ótimo ambiente, equipamentos de ponta, estrutura de muita qualidade e equipe disposta a ajudar.",5
3,1,Grande porte com benefícios compatíveis,4
4,1,Loved working here and good environment.,5
5,1,Good work and life balance,4
6,1,great place to learn and growth,5
7,1,Good benefits and very nice people,4
8,1,Mostly let you just work,2
9,1,One of the Top MNC company. Helps in growing and learning opportunity.,4
10,1,The only pro I can think of is that there is amazing flexibility.,2
11,2,"1. Flexibility
2. Excellent work environment
3. Professionalism
4. Nice work culture
5. Best mediclaim coverage not only for employees and immediate dependents but for parents as well",4
12,2,Good benefits! Flexible work schedule. People tend to stay with company.,5
13,2,No pros only cons.. senseless,1
14,2,Autonomy and creativity is encouraged.,5
15,2,Nice place to work and learn new technologies,4
16,2,"A empresa mudou bastante nos últimos meses, acredito que pelo fato de muitas pessoas terem saído, foi feito um plano de retenção onde muitas pessoas foram promovidas e/ou ganharam um aumento para equiparar com o mercado. Acredito que esse movimento precisa continuar para reter seus talentos e atingir a aqueles que não tiveram a oportunidade de serem reconhecidos.

Em relação a gestão, na minha opinião teve uma boa... melhora, parece que os gestores tem sido mais transparentes com o que acontece, ao invés de negligenciar fatos no intuito de manter seus colaboradores motivados.

Em relação as horas extras, elas não acabaram, mas melhorou bastante, os gestores que antes pediam para fazer horas e horas extras, agora se mostram um pouco mais preocupados com o excesso de trabalho fora do horário (por mais que ainda existam pessoas trabalhando em publicações no final de semana).

A parte de cultura da empresa, que antes não existia, agora está acontecendo, tem acontecido vários eventos e ações para melhorar o ambiente e a cultura da empresa.

Minha percepção da empresa nos últimos 6 meses melhorou bastante, as vezes me sindo um pouco desconfortável com certas situações, porém vejo um movimento onde os responsáveis pela empresa estão buscando melhorar as coisas.",5
17,2,"Leadership is motivated to innovate, management listens.

Diverse and bright colleagues.

Lots of room for growth and promotion if you are willing to put in the work.",4
18,2,"We have an open door policies that helps us to reach every manager at the company, VR, Medical Assistance, Odontological Assistance and health benefits.",2
19,2,"Fantastic people, supportive environment. Plenty of opportunity to try new roles and get involved in a wide range of projects",4
20,2,Great people Great Culture Fun,2
21,3,I enjoy working here because I get to interact with leadership team and have complete transparency of their vision and this helps me to plan my work and deliver.,4
22,3,Good pay and good benefits; global opportunities.,5
23,3,Very good to staff and provide work lie balance,4
24,3,"Great people, Good benefits, Work/life balance",5
25,3,"Good work life balance. 
Great location",4
26,3,It is utter shameful to give feedback about HighQ Solutions ( Thomson Reuters) India Operations. Indian Management Team is literally pathetic to work with and London Management Team along with CEO are totally unaware of things that are happening and are being managed in India.,1
27,3,Good company to work for experienced people but not for freshers. Good work culture.,3
28,3,Nice place to work and have colleagues,2
29,3,"Great colleagues, overall a good working environment.",4
30,3,Good culture; good benefits; work life balance,2
31,5,Great place to  work and policies are good.,4
32,5,"It was a great place to work before they acquired Reuters.  
Glad I left before they closed the Rochester office.",1
33,5,good starting role for sales enthusiasts,4
34,5,"Benefits!  Vacation, working remotely, 401K, Insurance, flexible.",5
35,5,Work-life balance. Easy product to sell.,4
36,5,"Parental Leave Policy, Yearly Bonuses and Raises, Room for Lateral Movement",5
37,5,"Big company with big budgets
Friendly work environment",4
38,5,Global organisation focusing on quality and doing good.,2
39,5,No such reason to work in that company,3
40,5,the people in the company are amazing,4
41,6,Facility and cafeteria are it.,4
42,6,"Nice culture, good growth opportunity, good for freshers, less pressures.",5
43,6,Bom salário e boa estrutura da empresa,4
44,6,"Flexible work hours, good benefits",5
45,6,"Thomson Reuters provides finest work place to the employees.  
The work life balance you get is next to none.
The culture, ethics and values of the company are really a standard in the industry.
Thomson Reuters offers lot of classrooms and online trainings that build the overall personality of an employee.
A thorough professional company. There is absolutely no unprofessionalism and employees are treated as... equal.",5
46,6,"Very Friendly environment, Very good platform to start a career, Stability is not a problem as issues are resolved within the reach of the company.",5
47,6,Work culture is very nice,4
48,6,Work environment is nice and great,5
49,6,Sometimes can get onto innovation product,4
50,6,"Solid base salary and commission. Target is 60k.  After one year you will get promoted to a better role (If you hit your numbers). It is not too difficult to hit your numbers... Come in, make your calls and emails and you will probably hit. However, there are some segments where is is not as easy. 

Managers are very helpful and resourceful with networking and career progression. 

Great place to come and grow... your career and to foster networking.

Also, work stays at work and you have nothing to take home or work from home on.",2
51,7,Best company to work,4
52,7,"good work enviornment 
decent pay",5
53,7,Perfect work and life balance,4
54,7,"Interesting projects, talented and professional coworkers, great experience building position, good work-life balance",5
55,7,"* Wonderful, supportive culture across all locations and business units
* Real commitment to flexibility, diversity & inclusion
* Market leader in everything it touches & willing to invest resources continually to stay that way
* Large enough to provide a lot of opportunities
* Senior leadership is genuinely enthusiastic about what they do and company mission; also genuinely good leaders (both together... is rare)",4
56,7,good work life balance for all,4
57,7,Work life balance and employee values are respected.,4
58,7,"Great benefits, good work life balance, good name on CV",2
59,7,"Lots to do
Interaction with clients around the country
Free Starbucks coffee daily",4
60,7,"Flexbilidad laboral
posibilidad de crecimiento interno 
dinamica para trabajar entre sectores
gran clima de trabajo",2
61,8,"great pay
fun people
good atmosphere
once you get in they are very helpful guiding you to your next role or career path",4
62,8,Calidad humana. Llave de refrigerios.,5
63,8,good environment benefits and 401k,4
64,8,Good salaries with nice incentive,3
65,8,"Work life balance, benefits, co-workers",1
66,8,"Salário, aprendizado, localização, benefícios, plr",5
67,8,Good benefits and generous vacation.,4
68,8,Benefícios de alta compatibilidade com o mercado de trabalho,2
69,8,Only work life balance is good,4
70,8,"Better place to work
Work -life balance",2
71,9,"- Flexible hours
- Good experience with extensive learning 
- Good guidance and training
- Good experience with handling tight deadlines, intense work load, being detailed and multitasking",4
72,9,"Pay is decent
Holiday policy good with ample yearly leaves
Office facilities good
Lateral movement easy
Access to good data platforms",5
73,9,Muito bom para aprender o sistema Domínio e ser conhecido entre os contadores.,4
74,9,Awesome culture and opportunities to work with different teams,5
75,9,good organisation and much materials to get knowledge regarding products and services.,4
76,9,Empresa grande e oportunidade de aprender com os profissionais dela,5
77,9,The Thomson Reuters is Refinitiv now,4
78,9,"Thomson Reuters was one of the most diverse environments I have worked for. This includes not only the employees but departments as well.  Being able to specifically contribute to the overall support and creation of diversity with internal and external projects. Involvement, acceptance, understanding, sharing, and collaborating with people and groups of all backgrounds shows that this company goes above and beyond... making this one of the best places to work,",2
79,9,Has a great professional staff,4
80,9,Clima na equipe e ambiente multicultural.,2
81,10,"They understand work life balance, so you will be happy with the flexibility.",4
82,10,"- Fantastic team spirit
- competitive Reuters Trading & Banking Product Suite
- wide reange of respnsibilities",5
83,10,"Fast-paced, competitive pay, great group of co-workers.",4
84,10,There are clear pay grades with assessments to prove you're ready to move up when you satisfy requirements. Plus lots of job opportunities within the business to develop your skills,5
85,10,Flexibilidad horaria y tranquilidad para trabajar,4
86,10,"Friendly work environment, good managers, great trainee pool plan",5
87,10,"Great Team
Continuous Professional Development
Great Bonuses
Great Perks",4
88,10,Ok environment stable work and salary.,2
89,10,Buenos compañeros y buen ambiente de trabajo,4
90,10,Great pool of talent and reasonable management,2
91,11,"Knowledgeable, intelligent, talented staff.  Friendly environment. Ability to work remotely is supported. Good work/life balance programs.",4
92,11,Learning how to see the handwriting on the wall,1
93,11,Horario Flexible - Home office - Posibilidad de crecimiento,4
94,11,"nice people, nice working relationship, location is good",5
95,11,"Friendly Culture
Work life balance
Allowance as per shift timings
Cab Facility",4
96,11,"comfortable environment, easy going and not restrictive",5
97,11,"relaxing culture, can go home at 4pm, keep expensing without much control",4
98,11,it is a nice working environment,2
99,11,"flex hours, benefits, pension, amazing boss",4
100,11,"Undoubtedly the market leader, with an ever growing market portfolio.  Work from home when you are not on the road or meeting with customers, which is the best part of the job.   I've worked a few places in the industry and ""if you can't beat 'em, join 'em"", the comp plan here is the best of any similar company I've worked at.  Leadership is levelheaded and open to ideas, conversations and making things easier.",2
101,12,Good solid values that everyone abides by,4
102,12,Learn the organisation ethics and gaining vast knowledge.,4
103,12,"Flexible, 3 weeks vacation from start, may work at home depends which team.",1
104,12,Office location if you count that as a pro,1
105,12,"Benefícios são bons, flexibilidade no trabalho",4
106,12,"- Environnement de travail
-  Privée Boulot",5
107,12,Global organization with great brand recognition could help with future opportunities in other organizations.,4
108,12,Invierte en el desarrollo de los empleados,2
109,12,"Quick to learn, team player, invaluable asset to any position. Smart, innovative & self-motivated . Look no further to find your next employee. Here I am.",4
110,12,Diversity at workplace Multinational environment,4
111,13,Big company with very good benefits and values.,4
112,13,Decent benefits. Increased PTO after 5 years.  Great people.,5
113,13,"Flexibility, Work culture, technology, Work life balance",4
114,13,"Growth opportunities,  excellent learning place",5
115,13,"Good HR policies, great work atmosphere",4
116,13,"Flexibility, freedom to do job",5
117,13,"Get to know a lot of new product and technology, and always have chance to improve  and challenge yourself.",4
118,13,"Equipe motivada, engajada e acolhedora. Flexibilidade nos horários e nas folgas por conta do banco de horas. Incentivo no aprendizado. Os beneficios são muito bons. Possui um refeitorio completo, realiza confratenizações mensais. Ambiente de trabalho amplo.",2
119,13,"Benefits! Great Benefits, I love them.",4
120,13,"Great people, always willing to help and assist",2
121,17,"TR is an old-fashioned data business, with large proportion of its revenues still coming from news and print business. If this is your idea of a good employer, they provide a lot of job stability (with some recent exceptions), nice offices, stress-free (albeit not always objectively good) benefits and a recognisable name on your CV. If you stay for a while, they will promote you into various job titles which will... sound good at dinner parties. 
If you get a good sales patch you will hit consistent 100% every year. You still won't earn as much as elsewhere, but you will probably get more job satisfaction and sense of achievement that way.
I don't know much about the life outside of sales, but it looks like people stay for a while and are generally happy, but all in all slightly underpaid.

This is the kind of company that will really take care of you if you happen to get a long-term sickness or other unfortunate life events. There are some amazing redundancy packages to be had too.

Additionally, there seems to be less politics than in other large organisations I worked at.",4
122,17,"Decent salary
Excellent benefits
Flexible work hours",5
123,17,Good benefits. Family leave. Decent pay.,4
124,17,"Prestaciones, buen balance Vida - Trabajo",5
125,17,"Good work and life balance, good culture",4
126,17,"The company allows people to work remote, even people nobody knows what they’re doing from home.",1
127,17,"Socially Responsible, Very understanding of unexpected life events. Smart people",4
128,17,"Professional management
Good salary
Brand new office",2
129,17,"Shuttle bus, lunch bus goes to different hawker centers, PR gets the same number of child care leaves as citizens, medical insurance covers family members, flexible working hours.",4
130,17,good to work with Thomson Reuters.,5
131,18,"•The managers are transparent with the workers
•Management are respectful
•Work environment is business casual (we can wear jeans everyday)",4
132,18,Posibilidad de crecer profesionalmente. Tienen variadas capacitaciones para cada una de las áreas.,5
133,18,"Great colleagues and atmosphere, good pay",4
134,18,"Great teammates and work environment.

Highly competent manager.

Encouraged to explore other job positions within the company, including participation in job rotations.

Mentoring available.",5
135,18,Good wokplace work life balance,5
136,18,"Nice facility
great perks
overall good company",5
137,18,Good better with lot of flexibility,5
138,18,good place to work environment,3
139,18,Bom ambiente de trabalho e com salário compatível com o mercado.,4
140,18,credibility and accuracy that the company maintains,5
141,19,Good work culture. Overall work experience is really good.,5
142,19,Good work customs and people management,5
143,19,"Flexibilidade de horario, ambiente descontraído e dinâmico.",4
144,19,"Diversity, colleagues, location, values, experience",5
145,19,It has been a great place to work. I have weathered many storms during my tenure @ TR.,4
146,19,"Work-life balance
Great benefits & leaves
Competitive base pay
Comfortable, lenient",5
147,19,Home office y el bonus,4
148,19,Great at work-life balance. Well paid. Good at providing benefits,3
149,19,"Nice parties, activities and such.",4
150,19,Work from home flexibility.  Generally nice colleagues. Nice-ish offices.,2
151,20,"Great culture, lots of freedom, amazing team leads that motivate you, relaxed environment, no stress, flow of communication is great since there are frequent meetings. 
(these pros also depend on factors like  what team you're working in or who your manager is)",4
152,20,"Amazing people, good learning and growth opportunities, and unbeatable benefits.",5
153,20,"Good pay, loads of leaves , balanced work life",2
154,20,"Equipes boas, os recrutadores são ótimos, apesar de gestores mais antigos ruins",5
155,20,Great culture and working colleagues.,4
156,20,Flexible organization. Interesting and chalenging,5
157,20,Great people to work with and place to develop your career. Worklife balance is also a plus.,4
158,20,"Very good working environment. TR values its workers and provides good benefits, such as a great pension fund.",2
159,20,Good is overall rating there,4
160,20,Good work culture in the office,4
161,21,"Company benefits 
Employee has development capacity
Have a great managers 
Have increased my knowledge a lot
Have stability that for me and I suppose for every person has a high value",4
162,21,Work life balance is good,5
163,21,Great place to work. Lots of growth opportunities,4
164,21,Good people to work with,5
165,21,"Stable life.
work life balance.
best culture",4
166,21,i have completed one successful year in this company. Good culture to work here. No work pressure. Manger and team leads are very helpful. Good management,4
167,21,Es una empresa grande con muchas posibilidades de crecimiento si trabajas en USA.,4
168,21,"Bons benefícios  , vr 537, salario 1961",2
169,21,Everything is good in the organisation,5
170,21,"Lots of food, lots of fun people, great healthy work enviroment",2
171,22,Great exposure into the financial markets and diverse workforce in addition to the training and investments in employees,4
172,22,"Good management
Nice environment 
Learning opportunity",5
173,22,Nice working environment. Flexible hr to work and 35 hr /Week.,4
174,22,Good ambience and work culture.US team - awesome.Company thinks about employees and their work life balance. Nice company to work with.,5
175,22,"Benefícios são bons, horário flexível.",4
176,22,"Good HR Policies with regard to Engagement, L&D etc",1
177,22,Good working environment and culture,5
178,22,"Great brand, great people to work with, generally a can-do attitude and very supportive management",2
179,22,Very good company with great people,4
180,22,good learning and people are willing to help,2
181,23,good work life balance,4
182,23,A good and healthy environment to work.,4
183,23,"Good work environment, best platform for freshers to learn",4
184,23,Good place to meet many people from different background. It makes office feel so energetic and fun,5
185,23,"=> Environment Friendly
=> Supportive Staff
=> Supportive Higher Environment
=> Superb Payroll Policy 
=> Work Flexibility",4
186,23,"Ambiente muy dinámico
Equipo de casa matriz muy profesional
Cultura muy fuerte",5
187,23,"Brilliant career progression and opportunity 
Very global in nature
Highly ethical and strong integrity - treat employees well
Strong inclusive values",4
188,23,"Able to work from home whenever I’d like, good amount of vacation accrual, paid training.",2
189,23,Good opportunity and good management. Good work life balance.,4
190,23,Work life balance company for married people,4
191,24,Work from home option is really good.,3
192,24,"There are a fair amount of perks about working at TR; namely an above average PTO/Sick/Volunteer time; good healthcare coverage, and, at least for my team, working remote whenever we want to so long as work gets done. Comp plans are fine, but nothing to write home about, but I'd offset that with the fact that I can work from the cabin during the summers if I want to and it's not an issue.",5
193,24,"- Es considerada una empresa importante. Puede servir a la hora de buscar otro empleo. 
- Hasta que me fui, la remuneracion era razonable.",4
194,24,"Amazing work culture, awesome appraisals and lots of perks. You grow with the company. Great Managers and salary review on every year. A great place to work in overall.",5
195,24,"É uma empresa com valores incríveis, impacta no mundo todo. Onde há informação, há Thomson Reuters. O RH é engajado e proporciona vivências enriquecedoras.",4
196,24,Bom salário e também o variável,5
197,24,Flexibilidade nos horários e dinamismo.,4
198,24,good working atmosphere where somebody will like to work,3
