answer_re_oth,answer_re_n
lot s of opportunity if you enjoy change and are willing to embrace it supportive management for development opportunities,management
ótimo ambiente equipamentos de ponta estrutura de muita qualidade e equipe disposta a ajudar ,
grande porte com benefícios compatíveis,
loved working here and good environment ,working
good work and life balance,"work, balance"
great place to learn and growth,"place, great"
good benefits and very nice people,"benefits, people"
mostly let you just work,work
one of the top mnc company helps in growing and learning opportunity ,
the only pro i can think of is that there is amazing flexibility ,
 flexibility excellent work environment professionalism nice work culture best mediclaim coverage not only for employees and immediate dependents but for parents as well,"culture, work, environment"
good benefits flexible work schedule people tend to stay with company ,work
no pros only cons senseless,
autonomy and creativity is encouraged ,
nice place to work and learn new technologies,"work, place"
a empresa mudou bastante nos últimos meses acredito que pelo fato de muitas pessoas terem saído foi feito um plano de retenção onde muitas pessoas foram promovidas e ou ganharam um aumento para equiparar com o mercado acredito que esse movimento precisa continuar para reter seus talentos e atingir a aqueles que não tiveram a oportunidade de serem reconhecidos em relação a gestão na minha opinião teve uma boa melhora parece que os gestores tem sido mais transparentes com o que acontece ao invés de negligenciar fatos no intuito de manter seus colaboradores motivados em relação as horas extras elas não acabaram mas melhorou bastante os gestores que antes pediam para fazer horas e horas extras agora se mostram um pouco mais preocupados com o excesso de trabalho fora do horário por mais que ainda existam pessoas trabalhando em publicações no final de semana a parte de cultura da empresa que antes não existia agora está acontecendo tem acontecido vários eventos e ações para melhorar o ambiente e a cultura da empresa minha percepção da empresa nos últimos meses melhorou bastante as vezes me sindo um pouco desconfortável com certas situações porém vejo um movimento onde os responsáveis pela empresa estão buscando melhorar as coisas ,
leadership is motivated to innovate management listens diverse and bright colleagues lots of room for growth and promotion if you are willing to put in the work ,management
we have an open door policies that helps us to reach every manager at the company vr medical assistance odontological assistance and health benefits ,health
fantastic people supportive environment plenty of opportunity to try new roles and get involved in a wide range of projects,
great people great culture fun,people
i enjoy working here because i get to interact with leadership team and have complete transparency of their vision and this helps me to plan my work and deliver ,"work, working"
good pay and good benefits global opportunities ,pay
very good to staff and provide work lie balance,"work, balance"
great people good benefits work life balance,balance
good work life balance great location,work
it is utter shameful to give feedback about highq solutions thomson reuters india operations indian management team is literally pathetic to work with and london management team along with ceo are totally unaware of things that are happening and are being managed in india ,work
good company to work for experienced people but not for freshers good work culture ,"work, people, company"
nice place to work and have colleagues,"work, place"
great colleagues overall a good working environment ,working
good culture good benefits work life balance,"work, balance"
great place to work and policies are good ,"work, place"
it was a great place to work before they acquired reuters glad i left before they closed the rochester office ,"work, place, great"
good starting role for sales enthusiasts,
benefits vacation working remotely k insurance flexible ,working
work life balance easy product to sell ,
parental leave policy yearly bonuses and raises room for lateral movement,
big company with big budgets friendly work environment,"work, environment, company"
global organisation focusing on quality and doing good ,
no such reason to work in that company,"work, company"
the people in the company are amazing,"people, company"
facility and cafeteria are it ,
nice culture good growth opportunity good for freshers less pressures ,
bom salário e boa estrutura da empresa,
flexible work hours good benefits,"work, benefits"
thomson reuters provides finest work place to the employees the work life balance you get is next to none the culture ethics and values of the company are really a standard in the industry thomson reuters offers lot of classrooms and online trainings that build the overall personality of an employee a thorough professional company there is absolutely no unprofessionalism and employees are treated as equal ,"work, balance, place, company"
very friendly environment very good platform to start a career stability is not a problem as issues are resolved within the reach of the company ,
work culture is very nice,culture
work environment is nice and great,"environment, great"
sometimes can get onto innovation product,
solid base salary and commission target is k after one year you will get promoted to a better role if you hit your numbers it is not too difficult to hit your numbers come in make your calls and emails and you will probably hit however there are some segments where is is not as easy managers are very helpful and resourceful with networking and career progression great place to come and grow your career and to foster networking also work stays at work and you have nothing to take home or work from home on ,"work, salary, place, home"
best company to work,"work, company"
good work enviornment decent pay,"work, pay"
perfect work and life balance,"work, balance"
interesting projects talented and professional coworkers great experience building position good work life balance,"balance, talented, great"
 wonderful supportive culture across all locations and business units real commitment to flexibility diversity inclusion market leader in everything it touches willing to invest resources continually to stay that way large enough to provide a lot of opportunities senior leadership is genuinely enthusiastic about what they do and company mission also genuinely good leaders both together is rare ,"culture, company"
good work life balance for all,"work, balance"
work life balance and employee values are respected ,balance
great benefits good work life balance good name on cv,work
lots to do interaction with clients around the country free starbucks coffee daily,
flexbilidad laboral posibilidad de crecimiento interno dinamica para trabajar entre sectores gran clima de trabajo,
great pay fun people good atmosphere once you get in they are very helpful guiding you to your next role or career path,"great, pay, people"
calidad humana llave de refrigerios ,
good environment benefits and k,"environment, benefits"
good salaries with nice incentive,
work life balance benefits co workers,
salário aprendizado localização benefícios plr,
good benefits and generous vacation ,benefits
benefícios de alta compatibilidade com o mercado de trabalho,
only work life balance is good,"work, balance"
better place to work work life balance,"work, balance, place"
 flexible hours good experience with extensive learning good guidance and training good experience with handling tight deadlines intense work load being detailed and multitasking,"work, hours"
pay is decent holiday policy good with ample yearly leaves office facilities good lateral movement easy access to good data platforms,
muito bom para aprender o sistema domínio e ser conhecido entre os contadores ,
awesome culture and opportunities to work with different teams,"culture, work"
good organisation and much materials to get knowledge regarding products and services ,
empresa grande e oportunidade de aprender com os profissionais dela,
the thomson reuters is refinitiv now,
thomson reuters was one of the most diverse environments i have worked for this includes not only the employees but departments as well being able to specifically contribute to the overall support and creation of diversity with internal and external projects involvement acceptance understanding sharing and collaborating with people and groups of all backgrounds shows that this company goes above and beyond making this one of the best places to work ,"company, people"
has a great professional staff,great
clima na equipe e ambiente multicultural ,
they understand work life balance so you will be happy with the flexibility ,work
 fantastic team spirit competitive reuters trading banking product suite wide reange of respnsibilities,
fast paced competitive pay great group of co workers ,great
there are clear pay grades with assessments to prove you re ready to move up when you satisfy requirements plus lots of job opportunities within the business to develop your skills,pay
flexibilidad horaria y tranquilidad para trabajar,
friendly work environment good managers great trainee pool plan,"work, great"
great team continuous professional development great bonuses great perks,
ok environment stable work and salary ,"work, environment"
buenos compañeros y buen ambiente de trabajo,
great pool of talent and reasonable management,management
knowledgeable intelligent talented staff friendly environment ability to work remotely is supported good work life balance programs ,"work, balance, talented"
learning how to see the handwriting on the wall,
horario flexible home office posibilidad de crecimiento,
nice people nice working relationship location is good,working
friendly culture work life balance allowance as per shift timings cab facility,balance
comfortable environment easy going and not restrictive,
relaxing culture can go home at pm keep expensing without much control,home
it is a nice working environment,"environment, working"
flex hours benefits pension amazing boss,
undoubtedly the market leader with an ever growing market portfolio work from home when you are not on the road or meeting with customers which is the best part of the job i ve worked a few places in the industry and if you can t beat em join em the comp plan here is the best of any similar company i ve worked at leadership is levelheaded and open to ideas conversations and making things easier ,"home, company"
good solid values that everyone abides by,
learn the organisation ethics and gaining vast knowledge ,
flexible weeks vacation from start may work at home depends which team ,"work, home"
office location if you count that as a pro,
benefícios são bons flexibilidade no trabalho,
 environnement de travail privée boulot,
global organization with great brand recognition could help with future opportunities in other organizations ,great
invierte en el desarrollo de los empleados,
quick to learn team player invaluable asset to any position smart innovative self motivated look no further to find your next employee here i am ,
diversity at workplace multinational environment,environment
big company with very good benefits and values ,"benefits, company"
decent benefits increased pto after years great people ,
flexibility work culture technology work life balance,balance
growth opportunities excellent learning place,place
good hr policies great work atmosphere,"work, great"
flexibility freedom to do job,
get to know a lot of new product and technology and always have chance to improve and challenge yourself ,
equipe motivada engajada e acolhedora flexibilidade nos horários e nas folgas por conta do banco de horas incentivo no aprendizado os beneficios são muito bons possui um refeitorio completo realiza confratenizações mensais ambiente de trabalho amplo ,
benefits great benefits i love them ,
great people always willing to help and assist,
tr is an old fashioned data business with large proportion of its revenues still coming from news and print business if this is your idea of a good employer they provide a lot of job stability with some recent exceptions nice offices stress free albeit not always objectively good benefits and a recognisable name on your cv if you stay for a while they will promote you into various job titles which will sound good at dinner parties if you get a good sales patch you will hit consistent every year you still won t earn as much as elsewhere but you will probably get more job satisfaction and sense of achievement that way i don t know much about the life outside of sales but it looks like people stay for a while and are generally happy but all in all slightly underpaid this is the kind of company that will really take care of you if you happen to get a long term sickness or other unfortunate life events there are some amazing redundancy packages to be had too additionally there seems to be less politics than in other large organisations i worked at ,"company, benefits, people"
decent salary excellent benefits flexible work hours,"hours, work, salary, benefits"
good benefits family leave decent pay ,
prestaciones buen balance vida trabajo,balance
good work and life balance good culture,"culture, work"
the company allows people to work remote even people nobody knows what they re doing from home ,"company, work, people"
socially responsible very understanding of unexpected life events smart people,people
professional management good salary brand new office,"salary, management"
shuttle bus lunch bus goes to different hawker centers pr gets the same number of child care leaves as citizens medical insurance covers family members flexible working hours ,"flexible, insurance, working"
good to work with thomson reuters ,work
 the managers are transparent with the workers management are respectful work environment is business casual we can wear jeans everyday ,environment
posibilidad de crecer profesionalmente tienen variadas capacitaciones para cada una de las áreas ,
great colleagues and atmosphere good pay,pay
great teammates and work environment highly competent manager encouraged to explore other job positions within the company including participation in job rotations mentoring available ,work
good wokplace work life balance,"work, balance"
nice facility great perks overall good company,"great, company"
good better with lot of flexibility,
good place to work environment,"work, environment, place"
bom ambiente de trabalho e com salário compatível com o mercado ,
credibility and accuracy that the company maintains,company
good work culture overall work experience is really good ,work
good work customs and people management,"work, management, people"
flexibilidade de horario ambiente descontraído e dinâmico ,
diversity colleagues location values experience,
it has been a great place to work i have weathered many storms during my tenure tr ,"place, great"
work life balance great benefits leaves competitive base pay comfortable lenient,"balance, benefits, pay"
home office y el bonus,
great at work life balance well paid good at providing benefits,benefits
nice parties activities and such ,
work from home flexibility generally nice colleagues nice ish offices ,home
great culture lots of freedom amazing team leads that motivate you relaxed environment no stress flow of communication is great since there are frequent meetings these pros also depend on factors like what team you re working in or who your manager is ,"great, working"
amazing people good learning and growth opportunities and unbeatable benefits ,
good pay loads of leaves balanced work life,work
equipes boas os recrutadores são ótimos apesar de gestores mais antigos ruins,
great culture and working colleagues ,"culture, working"
flexible organization interesting and chalenging,
great people to work with and place to develop your career worklife balance is also a plus ,"work, balance, place, people"
very good working environment tr values its workers and provides good benefits such as a great pension fund ,"great, working"
good is overall rating there,
good work culture in the office,"culture, work"
company benefits employee has development capacity have a great managers have increased my knowledge a lot have stability that for me and i suppose for every person has a high value,"great, benefits"
work life balance is good,balance
great place to work lots of growth opportunities,place
good people to work with,"work, people"
stable life work life balance best culture,"culture, work"
i have completed one successful year in this company good culture to work here no work pressure manger and team leads are very helpful good management,"culture, work, management"
es una empresa grande con muchas posibilidades de crecimiento si trabajas en usa ,
bons benefícios vr salario ,
everything is good in the organisation,
lots of food lots of fun people great healthy work enviroment,"work, great"
great exposure into the financial markets and diverse workforce in addition to the training and investments in employees,
good management nice environment learning opportunity,"environment, management"
nice working environment flexible hr to work and hr week ,"work, working"
good ambience and work culture us team awesome company thinks about employees and their work life balance nice company to work with ,"work, company"
benefícios são bons horário flexível ,
good hr policies with regard to engagement l d etc,
good working environment and culture,"culture, environment, working"
great brand great people to work with generally a can do attitude and very supportive management,"great, work, management, people"
very good company with great people,"great, people, company"
good learning and people are willing to help,people
good work life balance,"work, balance"
a good and healthy environment to work ,environment
good work environment best platform for freshers to learn,work
good place to meet many people from different background it makes office feel so energetic and fun,"place, people"
 environment friendly supportive staff supportive higher environment superb payroll policy work flexibility,
ambiente muy dinámico equipo de casa matriz muy profesional cultura muy fuerte,
brilliant career progression and opportunity very global in nature highly ethical and strong integrity treat employees well strong inclusive values,
able to work from home whenever i d like good amount of vacation accrual paid training ,"work, home"
good opportunity and good management good work life balance ,work
work life balance company for married people,"balance, company, people"
work from home option is really good ,home
there are a fair amount of perks about working at tr namely an above average pto sick volunteer time good healthcare coverage and at least for my team working remote whenever we want to so long as work gets done comp plans are fine but nothing to write home about but i d offset that with the fact that i can work from the cabin during the summers if i want to and it s not an issue ,"work, home, working"
 es considerada una empresa importante puede servir a la hora de buscar otro empleo hasta que me fui la remuneracion era razonable ,
amazing work culture awesome appraisals and lots of perks you grow with the company great managers and salary review on every year a great place to work in overall ,"work, salary, place, great"
é uma empresa com valores incríveis impacta no mundo todo onde há informação há thomson reuters o rh é engajado e proporciona vivências enriquecedoras ,
bom salário e também o variável,
flexibilidade nos horários e dinamismo ,
good working atmosphere where somebody will like to work,"work, working"
friendly co workers and flexible working hours,"flexible, hours, working"
better and understanding people to communicate with,people
work from home when needed,home
this is best place for work life balance with varied knowledge i received working in a product based company like tr the team is appreciative innovative and understands employee thoughts on work process,"balance, place, company, work, working"
flexible working autonomy salary good bonus benefits high holiday allowance,working
learning opportunities work life balance corporate social responsibility,work
benefits are amazing and there s a lot of work life balance probably the only benefit missing is on site daycare ,work
good culture professional employees challenging job good managers easy going job very good leave plans,
it s a huge company with tremendous opportunity,company
flexibilidad horaria home working buen ambiente buenas oficinas capacitaciones,working
good working environment and people ,"environment, working"
pay raise every year if metrics are met additional overtime during peak season,
work life balance is good ,balance
support from colleagues and managers best foundation to start a fresh career ,
prestaciones superiores a la ley,
 there is good work life balance ,"work, balance"
large company great culture pays well for zero qualifications ,great
empresa multinacional salário compatível agradável de trabalhar,
work life balance is good relaxed job,balance
autonomia localização boa gestão benefícios e acompanhamento,
caring management lots of amenities on campus easy to move jobs within the company,company
conciliation vie personnelle et travail télétravail possible avantages sociaux,
learning and development of news sense,
provides all benefits you would expect from a good employer,benefits
good office atmosphere no pressure at work cab facility is provided,pressure
salary atmosphere engagement growth employee friendly,friendly
used to be a phenomenal place to work reorg over last months has sapped morale from sales force i m a year vet and was always very pro tr lately just seems like a big cluster f long term customer relationships have been severed every tenured sales rep is basically waiting for a good opportunity to come along to jump ,place
home office networking muy buen ambiente laboral ,
working environment infra cafeteria comfortable good for freshers,working
ambiente global oportunidades de crescimento ,
good work life balance,"work, balance"
flexible schedule and good work environment,"work, flexible, environment"
strong on salary or compensation as they annoyingly call it was some travel frozen a few years in for cost cutting though,"salary, cutting"
ambiente agradável e funcionários muito amigáveis,
a good culture to work,"culture, work"
