All reviews for S&P Dow Jones Indices as of 2019-09-17 22:43 PDT. (No filters were used to create this file.)
# -------------------------------------------------------
# Employer's Name: S&P Dow Jones Indices
# Content: Glassdoor Reviews
# All Reviews through 2019-09-16
# -------------------------------------------------------
Employer's Name,Review Link,Job Title,Review Date,Review City/Town Name,Review State Name,Review Country Name,Current Job,Length of Employment,Employment Status,Overall Satisfaction,Career Opportunities,Compensation & Benefits,Senior Leadership,Work-Life Balance,Culture & Values,Business Outlook,Recommend to Friend,CEO Approval,Pros,Cons,Advice to Sr. Management,Headline,Employer Response
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW27832932.htm,Senior Index Manager,2019-07-06,New York,New York State,US,No,Less than a year,Full-time,1.0,1.0,4.0,1.0,1.0,1.0,Getting Worse,No,No Opinion,"Company Benefits are great. 
Certain departments have flexible work from home policies. 
There are some areas of the business that are intellectually stimulating and run by intelligent, driven individuals. 
People outside of IMPG seem much happier with their roles/responsibilities.","Lack of appreciation for employees within the IMPG department, resulting in extremely high turnover, poor morale, and toxic work environment. 

During certain times of the year, you can be stuck working past midnight, doing work that easily could be automated/streamlined if management decided to spend the money on internal resources. 

The work is far from stimulating, and the processes in place are painstakingly inefficient. There are certain teams that do not finish their daily responsibilities until 8-9 pm on a regular basis, which puts a hindrance on work-life balance. 

Mid-level management is deficient. Several individuals have been placed in managerial positions solely because they are the only remaining team members as a result of rampant turnover.","When contemplating what has gone wrong, take a hard look in the mirror. People aren't the problem, the hiring process is not the problem... the problems are a broken operating model and poor internal culture. 

Be more appreciative of employees, treat them as human beings rather than just numbers. 

Ditch the arrogance... The business is far from invincible, and just because the firm is established in the space doesn't mean it is immune from external competition.  

Last, but not least, invest in technology. It is 2019 and as much as S&amp;P wants to consider itself a ""publishing firm"", it will need to adapt itself as a Fintech firm in order to survive. Other firms are able to provide similar services and products in a much more efficient manner, and there is only so long clients will put up with delays, mistakes, and expenses until they take their business elsewhere.",Disappointing Experience in IMPG, 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW25578435.htm, ,2019-04-08, , , ,Yes,Less than a year,Full-time,4.0,3.0,4.0,3.0,4.0,4.0,Getting Better,Yes,Approve,"Work-life balance, benefits, culture, values, learning opportunities",Management should be better at communication, ,Great Company, 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW24630185.htm, ,2019-02-10, , , ,No, ,Full-time,4.0,4.0,4.0,4.0,4.0,4.0,Getting Better,Yes,Approve,"Highly professional, collegial and positive culture.",My personal experience was entirely positive and rewarding.,Continue to recruit team players.,Head Channel Management Canada, 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW22492268.htm, ,2018-09-15,New York,New York State,US,No,More than 5 years,Full-time,3.0,3.0,3.0,1.0,3.0,2.0,Getting Better,Yes,No Opinion,"Relatively laid back, semi fair pay, as long as you get the work done no body bothers you","lack of leadership/management skills/no career opportunities, basically a dead end job.","Reward your staff and actually appreciate them, a couple of meetings to inform everyone wouldn't hurt. Updates on direction of where the business is going, higher pay",Index Operations, 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW20884899.htm, ,2018-06-04,New York,New York State,US,Yes,More than a year,Full-time,5.0,3.0,4.0,4.0,5.0,5.0,Getting Better,Yes,Approve,"Relaxed Environment, Benefits, No micro-managing,",Change takes a long time., ,Great Enviornment, 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW17619709.htm, ,2017-10-29, , , ,Yes, ,Full-time,1.0,1.0,1.0,1.0,4.0,1.0,Staying the Same,No,No Rating,"Depending on the group, work life balance can be OK (not investment bank hours)","- Very old school way of thinking, behind the times on company initiatives
- All white male leadership and favoritism seems to go that way
- HR is an atrocity.  The worst I've seen in the industry. 
- Not competitive pay",The whole culture needs to change and it needs to change from the top.,Stay away!!, 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW16556390.htm, ,2017-08-28, , , ,No, ,Full-time,4.0,0.0,0.0,0.0,0.0,0.0, ,Yes,No Rating,Pay decent and good benefits.,"Too much red tape, career paths not well defined",Career paths should be better defined.,Analyst, 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW16083428.htm,Graphic Designer,2017-07-26,Princeton,New Jersey,US,No,More than 5 years,Freelance,5.0,3.0,4.0,5.0,5.0,4.0,Getting Better,Yes,No Rating,"As a freelancer, communication with the team was always smooth and their need were well articulated.  Response time was always fast.","I did not have any bad experiences while working here, except for the fact they did not have the budget to hire full time.", ,Great company to work for, 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW15486839.htm,Senior Analyst,2017-06-15,New York,New York State,US,Yes,More than a year,Full-time,5.0,3.0,5.0,4.0,5.0,4.0,Getting Better,Yes,No Rating,"Great work life balance
Good compensation
Friendly environment",Can't think of any off the top of my head, ,Great Employer, 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW15051394.htm,Analyst,2017-05-14,New York,New York State,US,Yes,Less than a year,Full-time,5.0,5.0,3.0,5.0,5.0,4.0,Getting Better,Yes,No Rating,"Good group, smart, extremely qualified people",Some inefficiency relating to IT curbs productivity,Invest in IT,Good work environment, 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW13985679.htm,Index Manager,2017-02-28,New York,New York State,US,No,More than 8 years,Full-time,3.0,2.0,4.0,3.0,4.0,3.0,Staying the Same,No,No Rating,"Pay is fair, work/life balance is for the most part is reasonable.  Promotions and bonuses are done in a fair way.  Work force is relatively young and an intelligent group.",Long hours during certain times of the year.  Frequent breakdowns in technology resulting in delays.  Frequent team restructuring and promotions which seem to be done just to create the feel of career advancement.  Niche business with little relatable work experience in other more broad finance roles.,"Less middle management, more interaction directly with employees.  More transparency on career paths.",Overall a Good Experience, 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW13237331.htm, ,2017-01-08, , , ,No, ,Full-time,4.0,0.0,0.0,0.0,0.0,0.0, , ,No Rating,Allowed to work autonomously.,Poor job security in department,Better team environment.,Manager, 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW11815854.htm, ,2016-09-06, , , ,Yes, ,Full-time,5.0,3.0,4.0,4.0,4.0,3.0,Getting Better,Yes,No Rating,"Small Firm vibes, despite overall company size. Great opportunity to learn through working with many departments.",Not many - a lot of opportunities to grow., ,Great Company, 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW10977045.htm,Graphic Designer,2016-06-20,New York,New York State,US,Yes,Less than a year,Contract,4.0,5.0,3.0,4.0,4.0,4.0,Getting Better,Yes,No Rating,"-Coworkers are all very helpful, friendly, and driven
-The scale of which your work is seen is quite impressive since its a globally renown company","-None really, but being interested in the work will be better for you if you wish to work here", ,"Great people, good work", 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW9954890.htm,Research Analyst,2016-03-17,New York,New York State,US,Yes,Less than a year, ,5.0,2.0,1.0,4.0,4.0,4.0,Getting Better,Yes,No Rating,Your experience highly depends on the team that you are working with. Mine is a good team,nothing that i can think of, ,Good work good people, 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW7930098.htm, ,2015-09-13, , , ,Yes, , ,3.0,3.0,3.0,3.0,3.0,4.0, ,Yes,No Rating,"- Bright co-workers and leaders
- on going changes and increasing learning path",- Workload which can make it hard to balance your personal/work life, ,Great culture, 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW7849087.htm,Senior Data Associate,2015-09-05,New York,New York State,US,Yes,More than 8 years,Full-time,4.0,3.0,4.0,4.0,2.0,3.0,Getting Better,Yes,No Rating,"Great benefits. 
Great perks (ERG)",Not much life work balance encouragement, ,Senior Data Associate, 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW7455931.htm, ,2015-08-04,New York,New York State,US,Yes,More than 5 years,Full-time,3.0,3.0,5.0,4.0,5.0,2.0,Getting Better,No,No Rating,"Location 
Work life balance 
Ceo","Salary
Politics and favoritism and bias driven by committee chairman.",Value production teams brtter,Boys club, 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW7330388.htm, ,2015-07-23, , , ,No, ,Full-time,4.0,0.0,0.0,0.0,0.0,0.0, , ,No Rating,"Easy going culture, nice people","not innovative, not best in class", ,Associate Director, 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW6109205.htm,Senior Index Manager,2015-03-13,London,England,UK,Yes,More than 3 years,Full-time,3.0,3.0,3.0,3.0,4.0,2.0,Getting Better,No,No Rating,"great exposure, great brand, high complexity of products","management, structure, pay, bonus, inequality, lack of recognition of staff", ,"exposure to complex strategies, valuable experience, steep learning curve", 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW5933241.htm, ,2015-02-17, , , ,Yes, , ,4.0,3.0,4.0,4.0,2.0,3.0,Staying the Same,No,No Rating,Most groups have a great work/life balance and employees generally enjoy working for the company.,Be sure to find your way into the boys club and also the squeaky wheel tends to get the grease., ,"Overall positive experience, interesting company with potential to exceed competitors.", 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW5694360.htm, ,2015-01-14, , , ,No, , ,3.0,3.0,3.0,3.0,3.0,2.0,Staying the Same,Yes,No Rating,You work with very smart individuals that can help you develop as a professional. The company is owned by McGraw Hill but still feels like a small shop. There is some opportunity internally for high performers in years of plenty but you need to be in with the 'in crowd'. In general they try to do the right thing and i would recommend as a good career step.,"Extremely political - very difficult to get decisions out of middle management, so many projects and other solutions fall short of optimal. There are quite a bit of 'dead weight' individuals which hurt any chance of improvement in daily operational processes and are protected by management because they're part of the 'in crowd'. This frustrates the hard workers who often leave because of it.",Trim the fat and minimize the toxic environment created by toxic employees/managers/executives. There are more capable folks out there. Do the right thing and practice what you preach!,Interesting work with lots of bright people, 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW5553452.htm,Summer Intern,2014-12-17,New York,New York State,US,No, , ,4.0,3.0,4.0,4.0,5.0,4.0,Staying the Same,Yes,No Rating,McGraw Hill Financial has a great internship program with weekly events informing interns about the many different subsidiary companies. CEOs speak to the interns and there are fun activities including community service. S&PDJI was full of friendly people willing to share their knowledge. It was a great first internship.,"Most of the employees have been in the company for awhile, but there seems to be a shift to younger people recently!", ,"Great company, great summer internship!", 
"S&P Dow Jones Indices, LLC",http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Dow-Jones-Indices-RVW5284277.htm, ,2014-10-30, , , ,Yes, ,Full-time,5.0,5.0,4.0,4.0,4.0,5.0,Getting Better,Yes,No Rating,"People, Experience, Industry leader, Work life, Career progression",Politics and limited training outside job specific, ,Great experience and recommend SPDJI, 
