All reviews for S&P Global as of 2019-09-17 22:36 PDT. (No filters were used to create this file.)
# -------------------------------------------------------
# Employer's Name: S&P Global
# Content: Glassdoor Reviews
# All Reviews through 2019-09-16
# -------------------------------------------------------
Employer's Name,Review Link,Job Title,Review Date,Review City/Town Name,Review State Name,Review Country Name,Current Job,Length of Employment,Employment Status,Overall Satisfaction,Career Opportunities,Compensation & Benefits,Senior Leadership,Work-Life Balance,Culture & Values,Business Outlook,Recommend to Friend,CEO Approval,Pros,Cons,Advice to Sr. Management,Headline,Employer Response
S&P Global,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-RVW29217989.htm,Compensation Specialist,2019-09-13,New York,New York State,US,Yes,Less than a year,Full-time,5.0,5.0,5.0,5.0,5.0,5.0,Getting Better,Yes,No Opinion,Innovation is welcome! Your experience and ideas are welcome. You’re expected to work hard but work/life balance is strongly encouraged. The benefits are great and will continue to improve.,I can’t think of any., ,Great Place to Work, 
S&P Global,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-RVW29135402.htm,Manager,2019-09-10,New York,New York State,US,No,More than 8 years,Full-time,3.0,2.0,4.0,3.0,5.0,2.0,Staying the Same,Yes,No Opinion,"Strong, talent people, great resume builder.  Most managers are flexible with work arrangements and remote working",Lack of Career Growth: Decline in employee centered benefits/programs I.e.  Recognition &amp; Diversity.  Too much change,Listen to your people/talent and provide growth opportunities to all.,Great Place to Grow Short Term, 
S&P Global,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-RVW29096078.htm,Operations,2019-09-08,Makati,Rizal,Philippines,No,More than 5 years,Full-time,5.0,2.0,5.0,3.0,3.0,4.0,Getting Better,Yes,No Rating,Competitive compensation. Leaders in Manila are reasonable and rational.,"Work culture varies from domain to domain. In Content, slow career advancement. Very minimal opportunity to move up.", ,Great Company to work with, 
S&P Global,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-RVW29064102.htm,Account Manager,2019-09-06, , , ,Yes,More than a year,Full-time,4.0,3.0,3.0,4.0,5.0,5.0,Getting Better,Yes,Approve,"People are nice, great exposure to capital markets",Management/structural changes often and all based in NYC, ,Good place to work, 
S&P Global,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-RVW29023589.htm, ,2019-09-04, , , ,No, ,Full-time,1.0,1.0,1.0,1.0,3.0,1.0, ,No,No Rating,"Bus facility, good for internship","No bonus, no growth, no new opportunities", ,Data Researcher, 
S&P Global,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-RVW28844366.htm, ,2019-08-26, , , ,No,More than a year,Full-time,4.0,5.0,4.0,5.0,4.0,5.0,Getting Better,Yes,Approve,Good atmosphere Great team leader friendly staff  less pressure and great place,Rotational shifts routine work,Nothing,Junior research analyst, 
S&P Global,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-RVW28842216.htm, ,2019-08-26,Dera Nawāb Sāhib,Punjab,Pakistan,Yes,Less than a year,Part-time,5.0,0.0,0.0,0.0,0.0,0.0, , ,No Rating,reliable sources disclosed its an exclusive organization which provides with resourceful working environment n the careers?,"in this perspective,stack holders know better?","as u know,an applicant is considered as beginner so how can i advise,probably management already believes in transparency,loyalty,fundamental principles?",all we need to do is to concentrate on established framework&amp;be aware what is next?, 
S&P Global,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-RVW28818812.htm, ,2019-08-24,Gurgaon,Haryana,India,Yes,More than 5 years,Full-time,4.0,3.0,4.0,2.0,4.0,3.0,Getting Better,Yes,Approve,"Brand Name,  Huge Data, Started changing &amp; adopting new technology","Some teams has very old style of management, also top management is not keen on change","Don't just go for presentation, Ensure that value is created",Changing, 
S&P Global,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-RVW28817836.htm,Relationship Manager,2019-08-23, , , ,Yes,More than 5 years,Full-time,3.0,3.0,3.0,2.0,4.0,4.0, , ,No Rating,great vision and outlook in the next 10 years,very political environment so be prepared for toxic culture, ,review, 
S&P Global,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-RVW28592277.htm,Associate Director,2019-08-12, , , ,Yes,More than 3 years,Full-time,4.0,4.0,2.0,3.0,5.0,3.0, , ,No Rating,Good visibility and learning opportunities,Salaries are below other wall street firms and IT needs to be updated, ,Good company to work for, 
S&P Global,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-RVW28502905.htm, ,2019-08-07, , , ,Yes, ,Full-time,3.0,0.0,0.0,0.0,0.0,0.0, , ,No Rating,The benefits are quite good,senior management don't listen and manage upwards...always, ,na, 
S&P Global,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-RVW28432150.htm,Human Resources Manager,2019-08-04,New York,New York State,US,Yes,More than 5 years,Full-time,1.0,1.0,4.0,1.0,4.0,1.0,Staying the Same,No,No Opinion,Generally good people here trying there best.,"Completely corrupt leadership in HR resulting in massive layoffs and awful moral. SVP is only interested in bringing in her friends that act as her ‘yes men’. She’s laid off the entire leadership team and long tenured employees to afford the salary of her friends coming in. If you can’t trust the leadership in HR, how can employees feel supported this function?",Take a hard look at the SVP and leadership of HR,HR is Not Your Advocate Here,"Thank you for taking time to provide feedback. An essential component of change involves continuously evaluating how we best leverage our talent. It also means welcoming new talent who address existing skill gaps, have deep experience working in an agile environment, know how to drive innovation, challenge and question the status quo, and push boundaries. When positions become available, we strive to fill them with the most qualified candidates and the best way to find talent is through existing networks."
S&P Global,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-RVW28368596.htm,Senior Director,2019-07-31,San Francisco,California,US,Yes,More than 8 years,Full-time,4.0,3.0,4.0,3.0,4.0,3.0,Getting Better,Yes,Approve,"Interesting work, supportive work environment, some travel but not excessive, manageable hours.","Difficult distribution of company ratings and content, not cutting edge in terms of technology, cutting costs by hiring undergrads instead of graduate degree holders, somewhat indifferent to experience and institutional knowledge within staff.",Value your long-term employees more.,Good Work-Life Balance, 
S&P Global,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-RVW28330521.htm,Research Data Analyst,2019-07-30,Ahmedabad,Gujarat,India,Yes,More than a year,Full-time,3.0,3.0,2.0,4.0,4.0,4.0,Staying the Same,Yes,No Opinion,A very good working culture,Salary structure is very low, ,Data researcher, 
S&P Global,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-RVW28298070.htm,Senior Software Engineer,2019-07-28,Hyderabad,Telangana,India,Yes,Less than a year,Full-time,2.0,2.0,2.0,1.0,1.0,4.0,Staying the Same,No,No Opinion,"Nothing pros, you get paid for your work.","work is too much, pressure is more. Onsite people through work and you have to complete it without any delay. Without giving proper KT.","First make yourself professional, and arrange proper KT for the resource. And expect the work.","It's been less than a year, work is too much, pressure is more.", 
S&P Global,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-RVW28277024.htm,Director,2019-07-27,New York,New York State,US,Yes,Less than a year,Full-time,4.0,4.0,5.0,4.0,5.0,4.0,Getting Better,Yes,No Opinion,Exceptionally strong brand and products,"We’re playing catchup with internal processes and systems, especially tech infrastructure and manager development.",Substantially increase investment in technology and the resources employees need to do their jobs more efficiently — will greatly increase the quality and speed to meet customer needs,We’re getting there!, 
S&P Global,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-RVW28268383.htm,Associate Director,2019-07-26,New York,New York State,US,Yes,More than a year,Full-time,1.0,1.0,3.0,1.0,5.0,1.0,Getting Worse,No,Disapprove,Work Life Balance and Benefits,"Management is amateur, does not understand how to lead or adapt to a changing climate.  No charisma, No Inspirational Leaders, People just flying by the wind of night.  No strategic plans.

Culture is aweful, complacent people who do not want to change.  They are living in the past with no path to the future.  

They are lucky they have a strong hold on the Ratings industry or this company would be gone a long time ago.", ,Do Not Come Here,Thank you for your feedback. S&amp;P Global is committed to a strong corporate culture with a strategic vision for our future success. We know our people are what take us from good to great and have dedicated resources to support their personal and professional growth. These commitments are company-wide and supported by all levels of leadership.
S&P Global,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-RVW28206429.htm,Financial Advisor,2019-07-24,Hyderabad,Telangana,India,Yes, , ,5.0,5.0,5.0,5.0,5.0,5.0,Getting Better,Yes,No Opinion,Flexible works must suggest us,I can't mention any cons, ,Good in services, 
S&P Global,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-RVW28161126.htm, ,2019-07-22, , , ,Yes, ,Full-time,1.0,1.0,1.0,1.0,1.0,2.0,Getting Worse,No,Disapprove,only old application to work.,"Lots of work pressure, people here wants everything from next day without giving/ sharing proper knowledge with you.

You have to attend call after office every day.

Cant Happy with work and life balance.

No proper organized work, no documentation of the application.","Please understand from the developers prospect atleast. you are giving salary, it doesnt mean through your trash on them to clean it properly within strict time period.

Sit with developers for one month to understand.",Nothing good here, 
S&P Global,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-RVW28122789.htm, ,2019-07-19, , , ,Yes, , ,4.0,4.0,3.0,4.0,4.0,2.0,Getting Better,Yes,No Opinion,Many pros but the current climate is all about populism and identity politics in the name of employee engagement and diversity.,Employees satisfaction doesn’t increase by changing the dress code and giving half days in Fridays. The latter has caused more issues with our colleagues globally than done any good.,"If HR is so worried about diversity and inclusion , can we publish the diversity numbers for the HR department in the next Town Hall please .  A look on the intranet would show you how skewed that is.  If people spend time reading the research and the empirical evidence around these topics rather than just jumping on the D&I bandwagon , it would be better for the company. Preferential hiring and expecting equality of outcomes , is a foolish endeavour. There is enough evidence out there to prove that.

Also if we just trying to have equal gender representation for all roles, why don’t we start with HR and get to 50-50 there ?",Marxists have taken over in the name of Diversity and inclusion,"S&amp;P Global’s recent enhancements to improve the quality of work-life balance reflect our commitment to putting our people first. We take pride in our CEO-sponsored D&amp;I Council and 9 global employee resource groups that continue to champion diversity &amp; inclusion efforts across our organization. While we celebrate our accomplishments in building a more inclusive work environment, we recognize there are more opportunities ahead and our mission remains unfinished. Read more about our commitment to diversity and inclusion at: https://www.spglobal.com/en/who-we-are/diversity-inclusion/overview."
S&P Global,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-RVW28091873.htm,Senior Release Manager,2019-07-18,Ahmedabad,Gujarat,India,Yes,More than 8 years,Full-time,5.0,5.0,4.0,5.0,5.0,5.0,Getting Better,Yes,Approve,"Process and Policies, Work Culture, Continuous Boost to Knowledge and breakthrough technologies","Compensation, but we have way more flexibility as compared to other companies in the area.", ,Senior Release Manager, 
S&P Global,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-RVW28091627.htm,CDA,2019-07-18, , , ,Yes,More than a year,Full-time,5.0,3.0,3.0,5.0,5.0,5.0,Getting Better,Yes,Approve,Great work life benefits! Great people.,"Low pay, can only really go into the sales track", ,Great company!, 
