All reviews for S&P Global Market Intelligence as of 2019-09-17 22:36 PDT. (No filters were used to create this file.)
# -------------------------------------------------------
# Employer's Name: S&P Global Market Intelligence
# Content: Glassdoor Reviews
# All Reviews through 2019-09-16
# -------------------------------------------------------
Employer's Name,Review Link,Job Title,Review Date,Review City/Town Name,Review State Name,Review Country Name,Current Job,Length of Employment,Employment Status,Overall Satisfaction,Career Opportunities,Compensation & Benefits,Senior Leadership,Work-Life Balance,Culture & Values,Business Outlook,Recommend to Friend,CEO Approval,Pros,Cons,Advice to Sr. Management,Headline,Employer Response
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW29149540.htm,Data Analyst,2019-09-10,Ahmedabad,Gujarat,India,Yes,More than a year,Full-time,4.0,4.0,4.0,5.0,5.0,5.0,Getting Better,No,Approve,Over all the company is Good.,Transitioning into better firm nowadays., ,HR POLICIES AND WORK CULTURE, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW29139226.htm, ,2019-09-10,Hyderabad,Telangana,India,Yes,More than a year,Full-time,1.0,2.0,4.0,1.0,3.0,1.0,Getting Worse,No,No Opinion,Higher salaries than the market,"This organisation has an extremely manipulative, sexist, insecure group of managers and HR with a regressive mindset who will not let anyone under them grow as they are scared to lose their own jobs. Leaders only believe in managing upwards and shut their eyes to all wrongdoings on the floor. 

People from other regions coming to hyderabad quit quickly as they don’t find the existing employees and leadership inclusive &amp; supportive. Eg. women face character assassination everyday if they are seen talking to a male colleagues. Disrespecting people is a norm here.","HR is the most polluted

People sitting in the US: A 1-2 days visit to India every year will not give you the real picture. You see what you are made to see","Don’t join, weak leadership, HR is most manipulative.", 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW29115234.htm,Data Researcher,2019-09-09,Hyderabad,Telangana,India,Yes, ,Full-time,5.0,3.0,3.0,5.0,5.0,4.0, , ,Approve,Brand name plays good role,There is no con as such,Doing well,Gud place to start with, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW29107209.htm,Lead Developer,2019-09-08,Gurgaon,Haryana,India,No,More than a year,Full-time,1.0,1.0,3.0,1.0,5.0,1.0,Getting Worse,No,No Opinion,"All my comments are for technology teams. 
*Work from home
*Yearly increments
* Too Casual work culture","*No serious technical products. 
*Only manual QA work.
*Very difficult for new ones to settle down.
*Old ones don't share information just to maintain their value.
*Directors and above are highly non technical, still handling technical projects, hence creating blunders. 
*No new products to build. 
*Increments are only for the ones who can make their dumb managers/directors  looks good.
*If you can be a good follower(not use your mind)  and not interested in learning, this company is for you.","You guys are total waste, please don't hire more to create more waste.",Lead Developer (Java) Gurgaon, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW29095184.htm,Research Associate,2019-09-08, , , ,Yes, ,Full-time,4.0,0.0,0.0,0.0,0.0,0.0, , ,No Rating,Fun culture and nice people,Not a steep learning curve, ,Good experience, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW29089040.htm,Data Researcher,2019-09-07,Hyderabad,Telangana,India,Yes,More than a year,Full-time,4.0,4.0,2.0,3.0,4.0,4.0,Getting Better,Yes,No Rating,"It's a very good organization to start your career and will get lots of exposure to understand corporate culture. Over all, feel really great to being part of this company.",Salary will be always be a big factors to be considered. Hikes are comparatively less to market average., ,Good place to start your career, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW29070951.htm,Renewal Specialist,2019-09-06,Charlottesville,Virginia,US,Yes,Less than a year,Full-time,5.0,5.0,5.0,5.0,5.0,5.0,Getting Better,Yes,Approve,"The benefits are amazing! Far better than most other companies.  We are encouraged to grow within our careers and management has been very receptive to helping with this.  The culture is great, the workplace is super flexible (flexible hours, ability to work remotely, etc.), and overall this is a great place to work.","Initial training was less than ideal; however, I have always had a sense of 'self-teaching' with every job I've had.", ,Great place to work!, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW29030970.htm, ,2019-09-04, , , ,No, ,Full-time,5.0,3.0,4.0,4.0,5.0,5.0,Getting Better,Yes,Approve,Good place to work and work life balance,"Salary increment , compensation, bonus", ,Research analyst, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW29019857.htm, ,2019-09-04, , , ,Yes, ,Full-time,3.0,2.0,5.0,3.0,5.0,5.0,Getting Worse,Yes,Approve,"Flexible work timings, work life balance, monetary and other benefits
good place to start your career with","switch early as growth is stagnant,","doing good work as a group, provide more growth opportunities which can help employees to grow as a individual in his career path",Research Associate, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28992334.htm,Data Researcher,2019-09-02,Hyderabad,Telangana,India,Yes,More than 3 years,Full-time,4.0,4.0,4.0,3.0,4.0,5.0,Getting Better,Yes,Approve,Employee friendly workplace with good amenities.,Bell curve Appraisal system for employee evaluation, ,Goood  Place to Work, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28986992.htm,SQA Engineer,2019-09-02, , , ,No,More than a year,Full-time,2.0,3.0,2.0,1.0,1.0,1.0, , ,No Rating,"Well aligned processes. 
Cultural diversity with in teams, you will get the chance to work within the team that is rich in culture and belongs to different region including (India, US). 
External Leadership is very professional and Transparent. 
You will get the chance to learn financial and Big data technology stack.","If you are from Pakistan and gonna join this awesome organization then you should consider these factor before joining.
No work life balance. 
Do More strategy, there is always a race with in the department and cross region like India. 
The local management is very very pathetic, Its better to called them mafia because they created a system within the system by manipulating and miss using the policies for there own stakes. 
Weak HR Department, no audit and surveillance activity done by HR, So they can facilitate the employee. 
No Respect for the employee. 
Employees are blackmailed and harassed by their line managers. 
If you are a technology Guy and want to join this organization then you should think before joining.", ,"Must Read Before Joining, Specially if you gonna join ISB, Pakistan office.", 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28939363.htm,Associate - Research,2019-08-30,Hyderabad,Telangana,India,No,More than a year,Full-time,3.0,2.0,2.0,1.0,3.0,3.0, , ,No Rating,Good working environment and management,If you are from Andhra then you will get a chance, ,Research Associate, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28882873.htm,Product Consultant,2019-08-27,New York,New York State,US,No,Less than a year,Full-time,5.0,0.0,3.0,4.0,5.0,4.0, , ,No Opinion,"8 Hour Shifts  
Good work life balance
Friendly team",Could have been paid more competitively, ,Great Place To Kick Off A Career, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28854815.htm,Manager,2019-08-26, , , ,No,More than 3 years,Full-time,2.0,1.0,5.0,1.0,5.0,1.0,Getting Worse,No,Disapprove,"- very good work-life balance, mostly because often there is no real job to do
- incredible pay-to-effort ratio","- poor quality of human talent, especially in EMEA
- the division rides on massive margins from the ratings business and the fundamental data platform is a neglected child
- culture of closeness, animosity and nepotism
- omnipresent toxic internal politics
- senior management detached from front-line reality
- back office functions are an indescribable mess", ,mediocre in every way, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28848188.htm, ,2019-08-26, , , ,No, ,Full-time,5.0,5.0,4.0,5.0,4.0,5.0,Getting Better,Yes,Approve,"Great teamwork 
Good salary",I did not find any, ,Great environment, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28841213.htm,Regional Sales Manager,2019-08-26,Indore,Madhya Pradesh,India,Yes,More than a year,Full-time,4.0,0.0,0.0,0.0,0.0,0.0, , ,No Rating,Good place to work and explore your skills,"Adoptability, working culture environment  and attitude",Nothing  but all good and up to the mark,Best experience, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28808820.htm,Sales,2019-08-23,New York,New York State,US,Yes,More than 5 years,Full-time,4.0,5.0,5.0,4.0,5.0,5.0,Getting Better,Yes,Approve,"Fair compensation
Uncapped earnings
Great culture
Great management on Commercial Team
Great energy and inclusive, supportive atmosphere","Product team does a horrific job coming up with new, relevant content. The launch of the new product has been delayed several years and as such, our innovation has been cripplingly slow. Our Product team also appears to be very slow to react, which makes things difficult for the Sales team.",We need new talent in Product. Too many empty suits that don't seem to understand our client needs and don't have any sense of urgency.,"Great place to work, but Product Team is subpar", 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28784567.htm,Senior Director,2019-08-22,Toronto,Ontario,Canada,No,More than a year,Full-time,5.0,3.0,4.0,4.0,4.0,4.0,Getting Better,Yes,Approve,Opportunity to face and solve new problems every day,"With a large group of people, somtimes there is duplication of effort",Continue to reward performance,Great place to work, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28776585.htm, ,2019-08-22, , , ,Yes, ,Full-time,4.0,3.0,3.0,4.0,5.0,4.0,Getting Better,Yes,Approve,"Good balance between professional and personal life
Transparency in dataset
No biasness",Pay is low in comparison of work, ,Data Researcher, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28757003.htm,Senior Accountant,2019-08-21,Hyderabad,Telangana,India,No,More than 8 years,Full-time,5.0,5.0,5.0,5.0,5.0,5.0, , ,No Rating,Best in the finance industry,It's a leading company in the market and no downside about it,Good Management Keep it up,Senior research associate, 
