All reviews for S&P Global Platts as of 2019-09-17 22:36 PDT. (No filters were used to create this file.)
# -------------------------------------------------------
# Employer's Name: S&P Global Platts
# Content: Glassdoor Reviews
# All Reviews through 2019-09-16
# -------------------------------------------------------
Employer's Name,Review Link,Job Title,Review Date,Review City/Town Name,Review State Name,Review Country Name,Current Job,Length of Employment,Employment Status,Overall Satisfaction,Career Opportunities,Compensation & Benefits,Senior Leadership,Work-Life Balance,Culture & Values,Business Outlook,Recommend to Friend,CEO Approval,Pros,Cons,Advice to Sr. Management,Headline,Employer Response
S&P Global Platts,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Platts-RVW28866069.htm,Business Development Manager,2019-08-27,New York,New York State,US,No,More than 3 years,Full-time,4.0,3.0,4.0,3.0,3.0,5.0, , ,No Rating,"Good salary, great commissions and nice place to work.",Not enough room for advancement., ,Great people. Great experience., 
S&P Global Platts,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Platts-RVW28857507.htm,Analyst,2019-08-26, , , ,Yes, ,Full-time,3.0,2.0,1.0,1.0,5.0,3.0,Getting Worse, ,No Opinion,"Great people to work with
Work/life balance
Affords great experience in energy fundamentals market - this job is a launchpad, not a career though","Pay is very low, raises hardly keep pace with inflation - promotions bring little monetary value, no incentive to work harder and longer hours
Feedback from (some) managers is almost nonexistent 
Management seems to have little direction, akin to a rudderless ship
Entrepreneurial spirit is encouraged but things take forever to get done
Slow decision making process, bureaucratic 
Little upward mobility unless someone leaves, which has become less frequent
Management plays favorites","Stop trying to grow the company with no clear direction while mobility and opportunity languish below the executive level. Pay your employees more to inspire some motivation, the money is borderline insulting for what some people are capable of there. Decide if you want to train analysts to move on, or develop them there and provide opportunities. Lastly, town halls and company speak revolved around automating things, taking the people out of the process - this is not exactly motivating language. Thankfully, initiatives in this vein that were discussed in 2016 and 2017 still have not come to fruition and still seem a long way off.","Great people, no direction from management", 
S&P Global Platts,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Platts-RVW28672800.htm,Global Product Marketing Manager,2019-08-16, , , ,Yes, ,Full-time,3.0,1.0,3.0,1.0,4.0,3.0,Getting Better,No,No Opinion,"Work life balance for some, dependent on manager
Nice office","Lack of career progression
Poor training for professional advancement", ,Ok place to work but not if you want to advance your career in a marketing profession,Thank you for your feedback. S&amp;P Global is committed to developing our people by providing training and development across all divisions and job profiles in addition to $20k per year in tuition reimbursement. We have dedicated the resources to support their personal and professional growth. These commitments are company-wide and supported by all levels of leadership.
S&P Global Platts,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Platts-RVW28608667.htm,Senior Operations Analyst,2019-08-13,Houston,Texas,US,Yes,More than 3 years,Full-time,5.0,3.0,5.0,4.0,4.0,5.0,Getting Better,Yes,Approve,"quarterly 15-minute massages, 4 weeks paid vacation, working remotely flexibility, nice and caring managers and employees",Notoriously underpays it's employees compared to other Price Reporting Agencies., ,Great workplace, 
S&P Global Platts,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Platts-RVW28173280.htm,Senior Energy Analyst,2019-07-22,Denver,Colorado,US,Yes,More than 5 years,Full-time,5.0,3.0,5.0,5.0,5.0,5.0,Getting Better,Yes,Approve,"Work/life balance, really good/nice people, great benefits",career opportunities within company can be vague but seeing good progress here with new internal career week program, ,I enjoy it here very much, 
S&P Global Platts,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Platts-RVW27837210.htm, ,2019-07-06, , , ,Yes, ,Full-time,5.0,0.0,0.0,0.0,0.0,0.0, , ,No Rating,"-good environment 
-open conversation 
-quick responses","-long hours 
-large number of people because it is big scale", ,Editor senior in chief hi, 
S&P Global Platts,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Platts-RVW27828252.htm,Editor,2019-07-06, , , ,No,More than 3 years,Full-time,3.0,2.0,2.0,4.0,3.0,4.0,Staying the Same,Yes,No Opinion,"Really great people, lots of opportunities to network and develop skills..","Slow career progression and compensation,  its probably better to leave and come back at a higher grade and salary.", ,Good place to work, 
S&P Global Platts,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Platts-RVW27653751.htm, ,2019-06-27, , , ,No, ,Full-time,2.0,2.0,4.0,1.0,4.0,1.0,Staying the Same,No,Disapprove,"-Decent pay, especially if you come from a journalism background
-Good work life balance","- limited progression
- in the beginning, there's lots to learn and people seem reasonably smart
-past a year, and you realise that this company absolutely cannot innovate, particularly because it is filled with senior leadership who have been there for years and are more interested in securing their position and surrounding themselves with a group of friends, rather than hiring or nurturing genuinely competent people. Having done their time, they now sit around making decisions from the London office that often do not make any sense for fast moving commodity markets. Additionally, for many of these markets, Asia is where you see all the action. However, many major decisions for Asia are made in London by people who have no understanding of the nuances of these markets or how these Asian commodity markets work. Nonetheless, top down decisions are carried out, regardless of market or employee feedback. 
- The culture is tense and many people keep to themselves, intent on carrying out their jobs without scrutiny.
-There is a culture of hiring managers who have connections with leadership, but often have insufficient competence for the job. This is part of the organizational rot that is eating away at this company. This leads to the next point. 
- Bullying and micromanagement is common across many teams, and little has been done to remedy it. Bullying managers are kept on, and shuffled on to other roles (Catholic priest-style) in the organisation.","- Stop being complacent, make yourself genuinely accessible to ground level staff.
- dare to take bad leaders to action
- stop treating employees like commodities
- have a competent HR function
- actually hire competent leaders and let them shake things up
- value industry feedback and stop being hellbent monetization, focus on the product",Needlessly political,"Thank you for your review. At S&amp;P Global, our people come first. We are happy to hear that our improved practices and benefits have made a difference! 

As a global company with team members all over the globe, we are all committed to developing both our managers and team members to foster a positive and inclusive work environment where success is seen at all levels of our organization globally.

S&amp;P Global is an equal opportunity employer committed to the EEOC policies and making all employment decisions without discrimination. We have a zero tolerance policy for workplace bullying of any kind, and advise our people to report any instances to our People Team or Employee Relations."
S&P Global Platts,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Platts-RVW27555700.htm, ,2019-06-23, , , ,Yes, ,Full-time,4.0,0.0,0.0,0.0,0.0,0.0, , ,No Rating,Good work and life balance. Decent welfare and friendly culture,Many BAU and operational work in editorial department., ,Associate Editor, 
S&P Global Platts,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Platts-RVW26073990.htm, ,2019-05-10, , , ,Yes, ,Full-time,3.0,0.0,0.0,0.0,0.0,0.0, , ,No Rating,Good work life balance,The salary is really uncompetitive, ,Company Review, 
S&P Global Platts,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Platts-RVW25899693.htm,Energy Analyst,2019-04-29,London,England,UK,Yes,More than 3 years,Full-time,4.0,4.0,3.0,4.0,5.0,4.0,Staying the Same,Yes,No Opinion,"- exposure to various commodities
- learning from people with different backgrounds, expertise and experiences
- good launching pad for the next role","- too much politics, lots of approval layers, not enough IT resource, therefore it's slow
- some managers don't even know how to use excel properly..
- change comes veeeery slowly
- low compensation","less politics, higher compensation (it's under industry average), more transparency on career progression. Some managers don't even know how to use excel properly..",Overall good place, 
S&P Global Platts,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Platts-RVW25874644.htm, ,2019-04-27, , , ,Yes, ,Full-time,4.0,4.0,4.0,5.0,5.0,5.0,Getting Better,Yes,Approve,"Good work-life balance, positive office environment","somewhat outdated technology infrastructure, computers, software, etc.", ,"Good work-life balance, positive office environment", 
S&P Global Platts,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Platts-RVW25775878.htm,Business Analyst,2019-04-21,Hyderabad,Telangana,India,Yes,More than 3 years,Full-time,4.0,0.0,0.0,0.0,0.0,0.0, ,No,No Rating,"Good work culture
Cabs facility
Unlimited WFH","Senior leadership's poor vision
Lot of favouritism
Salary disparities even on same grade",Care more for your employees and don't fool them,Experience, 
S&P Global Platts,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Platts-RVW24444196.htm,Editor/Senior Pricing Specialist,2019-01-29,Houston,Texas,US,No,More than a year,Full-time,3.0,2.0,3.0,3.0,3.0,3.0,Staying the Same,Yes,No Opinion,most other reporters were helpful; ability to travel,Limited upward mobility for reporters, ,Same old same ol, 
