All reviews for SNL Financial as of 2019-12-01 20:10 PST. (No filters were used to create this file.)
# -------------------------------------------------------
# Employer's Name: SNL Financial
# Content: Glassdoor Reviews
# All Reviews through 2019-11-30
# -------------------------------------------------------
Employer's Name,Review Link,Job Title,Review Date,Review City/Town Name,Review State Name,Review Country Name,Current Job,Length of Employment,Employment Status,Overall Satisfaction,Career Opportunities,Compensation & Benefits,Senior Leadership,Work-Life Balance,Culture & Values,Business Outlook,Recommend to Friend,CEO Approval,Pros,Cons,Advice to Sr. Management,Headline,Employer Response
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW15058913.htm,Web Designer,2017-05-15,Ahmedabad,Gujarat,India,No, ,Full-time,1.0,1.0,0.0,1.0,1.0,2.0, ,No,No Rating,"- Favorite candidate to Manager gets 100% hike (Wow., that's great.. Isn't it?)
- Free Coffee
- Nice Infrastructure.","- No growth opportunity
- Promotes Favoritism (to become a favorite, you may need to bend on your knees too)
- No exposure
- No Motivation, in fact demotivating the hard/smart workers 
- No ethical or professional manner to have a discussion in one-to-one.
- Manager can even say to you that it would be difficult to get any increment if you don't agree with him. I heard once.
- Literal torture to work under such management.","Monitor every thing that happens in India office. All are politics driven and unless involved in depth managers will fool you around with their soft spoken skills.

Try to have one-to-one with each employees without notifying managers of the team. 

Don't turn a blind eye on people who have stayed with the company for long, make them accountable for their actions.

Ask employees if they have been traumatized or  threatened by their Managers.

Just don't believe a manager/director, why one should get 100% hike and others just 1-10% hike. It can't be possible that all are doing worst and only one is doing this much great for the company.",Sewer in Palace, 
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW14756054.htm,Senior Analyst,2017-04-24,Ahmedabad,Gujarat,India,No,More than 3 years,Full-time,1.0,1.0,3.0,1.0,1.0,3.0,Getting Worse,No,Approve,There is nothing to be appreciated about the company it just gives money for the work.  More time you spend in office more you are paid for.,"Poor Management.
Political skill required to sustain in long run.
Agree to all your boss says for promotions and increments.
Poor work life balance.",Monitoring every thing that happens in India office. All are politics driven and unless involved in depth managers will fool you around with their soft spoken skills.,Fool around company, 
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW14728600.htm,Analyst,2017-04-21,Jersey City,New Jersey,US,No,More than a year,Full-time,4.0,2.0,3.0,2.0,3.0,4.0,Staying the Same,Yes,No Rating,work/life balance and overall firm culture.,Jersey City office management, ,Analyst, 
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW13504848.htm, ,2017-01-26, , , ,No,More than a year,Full-time,3.0,2.0,2.0,1.0,4.0,2.0,Staying the Same,Yes,No Opinion,Nice people. Work was easy and didn't have to work hard to do well,"Poor management, very political review system, and work wasn't challenging",Respect your employees and have confidence it their abilities. Managers should have manger training,Fine company, 
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW11847323.htm,Senior Analyst,2016-09-08,Ahmedabad,Gujarat,India,No, , ,3.0,3.0,4.0,3.0,3.0,3.0, , ,No Rating,Good atmosphare to work with if you have a good manager.,"Politics, drag and pull stetegy", ,Good PLact to work, 
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW11754399.htm,Newswriter,2016-08-31,Manila,Manila,Philippines,No,Less than a year, ,4.0,4.0,4.0,2.0,3.0,3.0,Getting Better,Yes,Approve,"SNL offers excellent training. It pays well, too. The managers who were based in the United States are really helpful.","People here seems to be disconnected to the realities of life. 

The managers in the Manila office tend to power trip.","I have nothing much to say to the real managers. But the locally hired managers have brought the call center culture to the office, which I think is not necessary at all.","Good salary, excellent training", 
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW11139789.htm, ,2016-07-05, , , ,No, ,Full-time,3.0,3.0,3.0,2.0,3.0,4.0,Getting Worse,Yes,No Rating,"smart people, great location downtown",atmosphere was that of an old boys network, ,smart people, 
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW11121863.htm,Project Manager I,2016-07-03,Ahmedabad,Gujarat,India,No,More than a year,Full-time,2.0,1.0,2.0,1.0,4.0,1.0,Getting Worse,No,Disapprove,you can use all your time whenever you come or go no one will ask you,Very Poor Management and specially mid management is just yes man., ,Project Manager, 
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW10993107.htm, ,2016-06-21, , , ,No, , ,4.0,0.0,0.0,0.0,0.0,0.0, , ,No Rating,Excellent benefits. Plenty of work to do at all times and it changed often so there was never the chance of being bored or unchallenged.,No cons to report since this was a great company to work for provided you were diligent in your work., ,Great company, 
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW10565304.htm,Consultant,2016-05-11,London,England,UK,No,More than a year,Full-time,2.0,4.0,2.0,2.0,1.0,1.0,Getting Worse,No,No Rating,Fair opportunity to progress career and some attention to quality,"Inappropriate reward system, management over-centralised in US and cumbersome","Sell the company - oh yes, they did!",Consultant, 
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW10099443.htm, ,2016-03-30, , , ,No,More than 5 years,Full-time,4.0,4.0,3.0,4.0,5.0,3.0,Getting Better,Yes,No Rating,They reward talent and accomplishments. They have a strong merit based mentality and recognize out-performance. They are a lean shop.,"Lack of clear directions. Goals are often unclear and employees are given a wide mandate to deliver, which can be frustrating to many. The organization also lacks diversity.",Management is a strong point for this company. My only suggestion is to put effort in increasing diversity of the talent pool.,Account Manager, 
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW9777934.htm,Business Intelligence Analyst,2016-03-02,Charlottesville,Virginia,US,No,Less than a year,Intern,4.0,3.0,3.0,5.0,5.0,4.0,Staying the Same,Yes,Approve,Great company with alot of great people. Charlottesville is a great town,"Just got bought by McGraw Hill, not sure how much the company will change",none,Good Company, 
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW9709560.htm,Senior Analyst,2016-02-25,Ahmedabad,Gujarat,India,No,More than a year,Full-time,4.0,5.0,3.0,3.0,4.0,4.0,Getting Better,Yes,Approve,"*Work/Life balance
*Continuous employee engagement activities
*Well defined parameters for growth
*HR support to the employees has been immensely good","*Work politics is prevalent many a times, so, one needs to be capable enough of finding his/her way out of it
*Vague parameters for subjective grading during employee evaluation (this criteria comprises 20% of the overall grading) Rest 80%, which is objective is very transparent", ,One of the very few best companies to get into in Ahmedabad, 
